Cruise,SampID,Name,impute_conc_nM
TN397,220902_Smp_TN397_S9_1800_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S9_1800_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S9_1800_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S9_BB_A,(3-Carboxypropyl)trimethylammonium,2.4927223964592406e-5
TN397,220902_Smp_TN397_S9_BB_B,(3-Carboxypropyl)trimethylammonium,2.3794168329838203e-5
TN397,220902_Smp_TN397_S10_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S10_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S10_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S11_600_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S11_600_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S11_1800_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S11_1800_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S11_1800_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_600_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_600_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_600_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_800_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_800_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_800_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_1800_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_1800_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_1800_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_Blk_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S12_Blk_B,(3-Carboxypropyl)trimethylammonium,5.816352258404894e-5
TN397,220902_Smp_TN397_S12_Blk_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S13_1800_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S13_1800_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S13_1800_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S14_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S14_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S14_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S15_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S15_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S15_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S16_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S16_U_B,(3-Carboxypropyl)trimethylammonium,4.362264193803671e-5
TN397,220902_Smp_TN397_S16_U_C,(3-Carboxypropyl)trimethylammonium,4.362264193803671e-5
TN397,220902_Smp_TN397_S17_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S17_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S17_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S18_U_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S18_U_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_S18_U_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U1_A,(3-Carboxypropyl)trimethylammonium,8.724528387607341e-5
TN397,220902_Smp_TN397_U1_B,(3-Carboxypropyl)trimethylammonium,9.025374194076561e-5
TN397,220902_Smp_TN397_U1_C,(3-Carboxypropyl)trimethylammonium,9.693920430674824e-5
TN397,220902_Smp_TN397_U2_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U2_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U2_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U3_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U3_B,(3-Carboxypropyl)trimethylammonium,5.341547992412658e-5
TN397,220902_Smp_TN397_U3_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U4_A,(3-Carboxypropyl)trimethylammonium,6.158490626546359e-5
TN397,220902_Smp_TN397_U4_B,(3-Carboxypropyl)trimethylammonium,6.158490626546359e-5
TN397,220902_Smp_TN397_U4_C,(3-Carboxypropyl)trimethylammonium,6.158490626546359e-5
TN397,220902_Smp_TN397_U5_A,(3-Carboxypropyl)trimethylammonium,7.698113283182948e-5
TN397,220902_Smp_TN397_U5_B,(3-Carboxypropyl)trimethylammonium,8.724528387607341e-5
TN397,220902_Smp_TN397_U5_C,(3-Carboxypropyl)trimethylammonium,7.270440323006119e-5
TN397,220902_Smp_TN397_U6_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U6_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U6_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U7_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U7_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U7_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U8_BB,(3-Carboxypropyl)trimethylammonium,2.6173585162822025e-5
TN397,220902_Smp_TN397_U9_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U9_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U9_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U10_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U10_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U10_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U11_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U11_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U11_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U12_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U12_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U12_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U13_A,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U13_B,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
TN397,220902_Smp_TN397_U13_C,(3-Carboxypropyl)trimethylammonium,5.234717032564405e-5
G3_DepthProfiles,190715_Blk_KM1906S6C31000-Blk_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Blk_KM1906S6C31000-Blk_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Blk_KM1906U14-Blk_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D40_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D40_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D40_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D70_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D70_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D70_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D125_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D125_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D125_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D300_A,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D300_B,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D300_C,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D500_A,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D500_B,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S4C27D500_C,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S4C28D15_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C28D15_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S4C28D15_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D80_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D80_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D80_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D125_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D125_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D125_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D200_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D200_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D200_C,(3-Carboxypropyl)trimethylammonium,7.764349773256241e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D400_A,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D400_B,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D400_C,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D1000_A,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D1000_B,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S5C3D1000_C,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D75_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D75_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D75_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D115_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D115_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D115_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D200_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D200_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D200_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D400_A,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D400_B,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D400_C,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D1000_A,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D1000_B,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906S6C3D1000_C,(3-Carboxypropyl)trimethylammonium,4.076283630959526e-4
G3_DepthProfiles,190715_Smp_KM1906U12_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906U12_B,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906U12_C,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
G3_DepthProfiles,190715_Smp_KM1906U13_A,(3-Carboxypropyl)trimethylammonium,8.152567261919052e-4
