cruise_comp,Name,SampID,Area,IS,IS.area,Cruise,match.name,IS.Conc.uM,umol.in.vial.ave,Vol_L
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU20_B,29321602,"Arsenobetaine, 13C2",3637201920,KM1906,Arsenobetaine,1,0.008061582129594829,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU20_C,25953338,"Arsenobetaine, 13C2",3794682112,KM1906,Arsenobetaine,1,0.00683939714421064,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU21_A,20489618,"Arsenobetaine, 13C2",3412770816,KM1906,Arsenobetaine,1,0.006003807200864203,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU21_B,29383264,"Arsenobetaine, 13C2",4047084288,KM1906,Arsenobetaine,1,0.007260353852061902,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU21_C,21799826,"Arsenobetaine, 13C2",3237401344,KM1906,Arsenobetaine,1,0.00673374218504062,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU22_A,25063048,"Arsenobetaine, 13C2",3840390656,KM1906,Arsenobetaine,1,0.0065261714874873394,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU22_B,29331220,"Arsenobetaine, 13C2",3022443008,KM1906,Arsenobetaine,1,0.009704474136440027,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU22_C,29718966,"Arsenobetaine, 13C2",3932871424,KM1906,Arsenobetaine,1,0.007556556723070741,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU23_A,33858656,"Arsenobetaine, 13C2",3914596096,KM1906,Arsenobetaine,1,0.00864933576023267,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU23_B,28694304,"Arsenobetaine, 13C2",2988475904,KM1906,Arsenobetaine,1,0.009601651451026724,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU23_C,32347656,"Arsenobetaine, 13C2",3575427584,KM1906,Arsenobetaine,1,0.009047213302474762,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU24_A,30237914,"Arsenobetaine, 13C2",3629795072,KM1906,Arsenobetaine,1,0.008330474145290812,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU24_B,29342232,"Arsenobetaine, 13C2",3621626112,KM1906,Arsenobetaine,1,0.008101949536639523,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU24_C,32756102,"Arsenobetaine, 13C2",3537560576,KM1906,Arsenobetaine,1,0.009259516917456738,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU1_A,9998251008,"Glycine betaine, 13C5, 15N",2802585344,KM1906,Glycine betaine,1,3.5675099170146805,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU1_B,12467728384,"Glycine betaine, 13C5, 15N",2378534912,KM1906,Glycine betaine,1,5.241768082149555,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU1_C,12029815808,"Glycine betaine, 13C5, 15N",2672937472,KM1906,Glycine betaine,1,4.500597538856307,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU2_A,8536987648,"Glycine betaine, 13C5, 15N",2469833216,KM1906,Glycine betaine,1,3.456503699397976,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU2_B,11312330752,"Glycine betaine, 13C5, 15N",2021491840,KM1906,Glycine betaine,1,5.596030875890155,10
KM1906_Glycine betaine,Glycine betaine,220628_Smp_MU2_C,12088125440,"Glycine betaine, 13C5, 15N",2030854912,KM1906,Glycine betaine,1,5.952234878313158,10
