Region,compound.name.figure,mean.relabun
PEDP,Proline,-1.1472597045186945
PEDP,Proline betaine,-2.531648760040653
PEDP,Sarcosine,-1.2247165515800946
PEDP,TMAB,-1.9980925236271252
PEDP,TMAO,-0.09074699663212862
PEDP,Threonine,-1.0039859661014148
PEDP,Trigonelline,-1.8555248130640671
PEDP,beta-Alanine,-1.1374805477065397
PEDP,beta-Alanine betaine,-0.6392910369146468
PEDP,beta-Glutamic acid,-1.2953406975568211
SS,(Iso)leucine,-0.5812670441838058
SS,Alanine,-0.3996054685875613
SS,Asparagine,-1.305292775647352
SS,Aspartic acid,-0.35199915367382995
SS,Betonicine,-2.4325877560571065
SS,Carnitine,-2.328901585641637
SS,DMSA,-1.2696815466980689
SS,DMSP,-0.9067494195010318
SS,Ectoine,-3.0100595328864754
SS,GBT,-0.12167022704921078
SS,Glutamic acid,-0.2194642450696931
SS,Glutamine,-0.7215517757779675
SS,Gonyol,-1.424082241978716
SS,Homarine,-0.5811407822734983
SS,Hydroxyectoine,-2.431031383966786
SS,Hydroxyisoleucine,-1.3298007282684883
SS,Proline,-0.6942353925295902
SS,Proline betaine,-2.456412635410571
SS,Sarcosine,-1.2317836103682789
SS,TMAB,-1.9470404601727314
SS,TMAO,-0.7584532435453332
SS,Threonine,-0.5928408559534671
SS,Trigonelline,-1.613089818348188
SS,beta-Alanine,-1.0177298096454812
SS,beta-Alanine betaine,-0.49586496252454126
SS,beta-Glutamic acid,-2.5109056142738737
