SampID,MF,Area,Cruise
220628_Smp_MU6_A,"DL-Valine, 2H8",81157840,KM1906
220628_Smp_MU6_B,"DL-Valine, 2H8",83655736,KM1906
220628_Smp_MU6_C,"DL-Valine, 2H8",92876584,KM1906
220628_Smp_MU7_A,"DL-Valine, 2H8",71182336,KM1906
220628_Smp_MU7_B,"DL-Valine, 2H8",84511736,KM1906
220628_Smp_MU7_C,"DL-Valine, 2H8",73064448,KM1906
220628_Smp_MU8_A,"DL-Valine, 2H8",77516632,KM1906
220628_Smp_MU8_B,"DL-Valine, 2H8",79251736,KM1906
220628_Smp_MU8_C,"DL-Valine, 2H8",85114112,KM1906
220628_Smp_MU9_A,"DL-Valine, 2H8",70740744,KM1906
220628_Smp_MU9_B,"DL-Valine, 2H8",67818176,KM1906
220628_Smp_MU9_C,"DL-Valine, 2H8",78014040,KM1906
220628_Smp_MU10_A,"DL-Valine, 2H8",91363904,KM1906
220628_Smp_MU10_B,"DL-Valine, 2H8",79481440,KM1906
220628_Smp_MU10_C,"DL-Valine, 2H8",109549160,KM1906
220628_Smp_MU11_A,"DL-Valine, 2H8",72294176,KM1906
220628_Smp_MU11_B,"DL-Valine, 2H8",68218696,KM1906
220628_Smp_MU11_C,"DL-Valine, 2H8",68070440,KM1906
220628_Smp_MU14_A,"DL-Valine, 2H8",73856656,KM1906
220628_Smp_MU14_B,"DL-Valine, 2H8",72219048,KM1906
220628_Smp_MU14_C,"DL-Valine, 2H8",74454640,KM1906
220628_Smp_MU15_A,"DL-Valine, 2H8",70524048,KM1906
220628_Smp_MU15_B,"DL-Valine, 2H8",122372224,KM1906
220628_Smp_MU15_C,"DL-Valine, 2H8",74301824,KM1906
220628_Smp_MU16_A,"DL-Valine, 2H8",83063576,KM1906
220628_Smp_MU16_B,"DL-Valine, 2H8",97538128,KM1906
220628_Smp_MU16_C,"DL-Valine, 2H8",84265952,KM1906
220628_Smp_MU17_A,"DL-Valine, 2H8",73408624,KM1906
220628_Smp_MU17_B,"DL-Valine, 2H8",61791096,KM1906
220628_Smp_MU17_C,"DL-Valine, 2H8",69129320,KM1906
220628_Smp_MU18_A,"DL-Valine, 2H8",69286088,KM1906
220628_Smp_MU18_B,"DL-Valine, 2H8",76435016,KM1906
220628_Smp_MU18_C,"DL-Valine, 2H8",71718016,KM1906
220628_Smp_MU19_A,"DL-Valine, 2H8",81624416,KM1906
220628_Smp_MU19_B,"DL-Valine, 2H8",72907328,KM1906
220628_Smp_MU19_C,"DL-Valine, 2H8",70189664,KM1906
220628_Smp_MU20_A,"DL-Valine, 2H8",98671944,KM1906
220628_Smp_MU20_B,"DL-Valine, 2H8",112819320,KM1906
220628_Smp_MU20_C,"DL-Valine, 2H8",91147384,KM1906
220628_Smp_MU21_A,"DL-Valine, 2H8",68325296,KM1906
220628_Smp_MU21_B,"DL-Valine, 2H8",102407832,KM1906
220628_Smp_MU21_C,"DL-Valine, 2H8",64208124,KM1906
220628_Smp_MU22_A,"DL-Valine, 2H8",79409216,KM1906
220628_Smp_MU22_B,"DL-Valine, 2H8",65934544,KM1906
220628_Smp_MU22_C,"DL-Valine, 2H8",77148280,KM1906
220628_Smp_MU23_A,"DL-Valine, 2H8",77032792,KM1906
220628_Smp_MU23_B,"DL-Valine, 2H8",70989072,KM1906
220628_Smp_MU23_C,"DL-Valine, 2H8",101435504,KM1906
220628_Smp_MU24_A,"DL-Valine, 2H8",101315416,KM1906
220628_Smp_MU24_B,"DL-Valine, 2H8",103151960,KM1906
220628_Smp_MU24_C,"DL-Valine, 2H8",70525296,KM1906
220628_Poo_TruePooG3_Full1,"Glycine betaine, 13C5, 15N",2496527360,KM1906
220628_Poo_TruePooG3_Full2,"Glycine betaine, 13C5, 15N",2470914560,KM1906
220628_Poo_TruePooG3_Full3,"Glycine betaine, 13C5, 15N",2270038016,KM1906
220628_Poo_TruePooG3_Half1,"Glycine betaine, 13C5, 15N",1293750400,KM1906
220628_Poo_TruePooG3_Half2,"Glycine betaine, 13C5, 15N",1279933312,KM1906
220628_Poo_TruePooG3_Half3,"Glycine betaine, 13C5, 15N",1229182208,KM1906
220628_Smp_MU1_A,"Glycine betaine, 13C5, 15N",2802585344,KM1906
