SampID,Compound,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,detected,impute.conc.nM
170706_Smp_S6E37D15_Ds,Arsenobetaine,0.00282136828352335,2.655405443316102e-4,0.00132770272165805,NA,NA,Yes,0
170706_Smp_S3E15D15_A,Betonicine,0.17212921295766026,0.01377033703661282,0.09639235925628974,0.01377033703661282,NA,Yes,0
170706_Smp_S3E15D15_B,Betonicine,0.07482778757047245,0.00598622300563779,0.04190356103946457,0.00598622300563779,NA,Yes,0
170706_Smp_S3E15D15_C,Betonicine,0.11078188435341896,0.00886255074827351,0.06203785523791461,0.00886255074827351,NA,Yes,0
170706_Smp_S3E15E15_Ds,Betonicine,0.04772939252084477,0.00381835140166758,0.02672845981167307,0.00381835140166758,NA,Yes,0
170706_Smp_S4E16D15_A,Betonicine,0.0712341368532465,0.00569873094825972,0.03989111663781804,0.00569873094825972,NA,Yes,0
170706_Smp_S4E16D15_B,Betonicine,0.09854675856904714,0.00788374068552377,0.0551861847986664,0.00788374068552377,NA,Yes,0
170706_Smp_S4E16D15_C,Betonicine,0.06376612516926639,0.00510129001354131,0.03570903009478918,0.00510129001354131,NA,Yes,0
170706_Smp_S4E16D15_Ds,Betonicine,0.04387341301882359,0.00350987304150588,0.02456911129054121,0.00350987304150588,NA,Yes,0
170706_Smp_S5E28D15_A,Betonicine,0.03400522740837251,0.0027204181926698,0.0190429273486886,0.0027204181926698,NA,Yes,0
170706_Smp_S5E28D15_B,Betonicine,0.03456652732051835,0.00276532218564146,0.01935725529949027,0.00276532218564146,NA,Yes,0
170706_Smp_S5E28D15_C,Betonicine,0.04116332269308686,0.00329306581544694,0.02305146070812864,0.00329306581544694,NA,Yes,0
170706_Smp_S5E28D15_Ds,Betonicine,0.02307729991054082,0.00194335157141396,0.01360346099989775,0.00194335157141396,NA,Yes,0
170706_Smp_S6E37D15_A,Betonicine,0.6449001482465807,0.05159201185972645,0.3611440830180851,0.05159201185972645,NA,Yes,0
170706_Smp_S6E37D15_B,Betonicine,0.4162446311732183,0.03329957049385746,0.23309699345700224,0.03329957049385746,NA,Yes,0
170706_Smp_S6E37D15_C,Betonicine,0.3455442039469816,0.02764353631575852,0.1935047542103097,0.02764353631575852,NA,Yes,0
170706_Smp_S6E37D15_Ds,Betonicine,0.18265628946697315,0.01719118018512688,0.1203382612958882,0.01719118018512688,NA,Yes,0
170706_Smp_S3E15D15_A,Carnitine,0.1289995780087536,0.01031996624070028,0.07223976368490201,0.01031996624070028,NA,Yes,0
170706_Smp_S3E15D15_B,Carnitine,0.08008203417697364,0.00640656273415789,0.04484593913910523,0.00640656273415789,NA,Yes,0
170706_Smp_S3E15D15_C,Carnitine,0.11145995220712272,0.00891679617656981,0.06241757323598872,0.00891679617656981,NA,Yes,0
170706_Smp_S3E15E15_Ds,Carnitine,0.05753734565314371,0.00460298765225149,0.03222091356576047,0.00460298765225149,NA,Yes,0
170706_Smp_S4E16D15_A,Carnitine,0.08201011252318877,0.0065608090018551,0.0459256630129857,0.0065608090018551,NA,Yes,0
170706_Smp_S4E16D15_B,Carnitine,0.1129439215366356,0.00903551372293084,0.06324859606051593,0.00903551372293084,NA,Yes,0
170706_Smp_S4E16D15_C,Carnitine,0.08495623759009577,0.00679649900720766,0.04757549305045363,0.00679649900720766,NA,Yes,0
170706_Smp_S4E16D15_Ds,Carnitine,0.06009140810371482,0.00480731264829718,0.03365118853808029,0.00480731264829718,NA,Yes,0
170706_Smp_S5E28D15_A,Carnitine,0.07834316019638965,0.00626745281571117,0.0438721697099782,0.00626745281571117,NA,Yes,0
170706_Smp_S5E28D15_B,Carnitine,0.07018888059840353,0.00561511044787228,0.03930577313510597,0.00561511044787228,NA,Yes,0
170706_Smp_S5E28D15_C,Carnitine,0.1004177072351526,0.00803341657881221,0.05623391605168547,0.00803341657881221,NA,Yes,0
170706_Smp_S5E28D15_Ds,Carnitine,0.05470647969211238,0.00460686144775683,0.03224803013429782,0.00460686144775683,NA,Yes,0
170706_Smp_S6E37D15_A,Carnitine,1.885725158800224,0.1508580127040179,1.0560060889281253,0.1508580127040179,NA,Yes,0
170706_Smp_S6E37D15_B,Carnitine,1.3929185359218998,0.111433482873752,0.7800343801162639,0.111433482873752,NA,Yes,0
170706_Smp_S6E37D15_C,Carnitine,1.2141952528202182,0.09713562022561746,0.6799493415793222,0.09713562022561746,NA,Yes,0
170706_Smp_S6E37D15_Ds,Carnitine,0.30614268805633327,0.02881342946412548,0.20169400624887837,0.02881342946412548,NA,Yes,0
170706_Smp_S3E15D15_A,Dimethylsulfonioacetate,1.0634989034601217,0.08507991227680974,0.34031964910723894,NA,0.08507991227680974,Yes,0
170706_Smp_S3E15D15_B,Dimethylsulfonioacetate,0.45805363305587177,0.03664429064446974,0.14657716257787895,NA,0.03664429064446974,Yes,0
170706_Smp_S3E15D15_C,Dimethylsulfonioacetate,0.5164288467246678,0.04131430773797342,0.16525723095189368,NA,0.04131430773797342,Yes,0
170706_Smp_S3E15E15_Ds,Dimethylsulfonioacetate,0.10677451252880134,0.0085419610023041,0.03416784400921642,NA,0.0085419610023041,Yes,0
170706_Smp_S4E16D15_A,Dimethylsulfonioacetate,0.9626799890208436,0.07701439912166747,0.30805759648666986,NA,0.07701439912166747,Yes,0
170706_Smp_S4E16D15_B,Dimethylsulfonioacetate,1.0559597292465388,0.0844767783397231,0.3379071133588924,NA,0.0844767783397231,Yes,0
170706_Smp_S4E16D15_C,Dimethylsulfonioacetate,0.7963789176242597,0.06371031340994078,0.2548412536397631,NA,0.06371031340994078,Yes,0
170706_Smp_S4E16D15_Ds,Dimethylsulfonioacetate,0.3178178872264391,0.02542543097811513,0.10170172391246052,NA,0.02542543097811513,Yes,0
170706_Smp_S5E28D15_A,Dimethylsulfonioacetate,0.7979430524880313,0.0638354441990425,0.25534177679617,NA,0.0638354441990425,Yes,0
170706_Smp_S5E28D15_B,Dimethylsulfonioacetate,0.85833162048552,0.0686665296388416,0.2746661185553664,NA,0.0686665296388416,Yes,0
170706_Smp_S5E28D15_C,Dimethylsulfonioacetate,1.572628284268457,0.12581026274147653,0.5032410509659061,NA,0.12581026274147653,Yes,0
170706_Smp_S5E28D15_Ds,Dimethylsulfonioacetate,0.14108295369379678,0.01188066978474078,0.04752267913896313,NA,0.01188066978474078,Yes,0
170706_Smp_S6E37D15_A,Dimethylsulfonioacetate,12.476326582608282,0.9981061266086624,3.99242450643465,NA,0.9981061266086624,Yes,0
170706_Smp_S6E37D15_B,Dimethylsulfonioacetate,7.307063191352622,0.5845650553082097,2.3382602212328387,NA,0.5845650553082097,Yes,0
170706_Smp_S6E37D15_C,Dimethylsulfonioacetate,5.054452120798976,0.404356169663918,1.617424678655672,NA,0.404356169663918,Yes,0
170706_Smp_S6E37D15_Ds,Dimethylsulfonioacetate,1.093191558348515,0.10288861725633082,0.4115544690253233,NA,0.10288861725633082,Yes,0
170706_Smp_S3E15D15_A,Dimethylsulfoniopropionate,12.622079903853512,1.009766392308281,5.048831961541405,NA,1.009766392308281,Yes,0
170706_Smp_S3E15D15_B,Dimethylsulfoniopropionate,3.353261740703416,0.2682609392562732,1.341304696281366,NA,0.2682609392562732,Yes,0
170706_Smp_S3E15D15_C,Dimethylsulfoniopropionate,4.426461722288643,0.3541169377830914,1.770584688915457,NA,0.3541169377830914,Yes,0
170706_Smp_S3E15E15_Ds,Dimethylsulfoniopropionate,0.5144372490491711,0.04115497992393368,0.2057748996196684,NA,0.04115497992393368,Yes,0
170706_Smp_S4E16D15_A,Dimethylsulfoniopropionate,4.954560034469675,0.396364802757574,1.98182401378787,NA,0.396364802757574,Yes,0
170706_Smp_S4E16D15_B,Dimethylsulfoniopropionate,6.052474885737477,0.4841979908589982,2.420989954294991,NA,0.4841979908589982,Yes,0
170706_Smp_S4E16D15_C,Dimethylsulfoniopropionate,2.8818098154233165,0.23054478523386532,1.1527239261693265,NA,0.23054478523386532,Yes,0
170706_Smp_S4E16D15_Ds,Dimethylsulfoniopropionate,0.6410598500291935,0.05128478800233548,0.2564239400116774,NA,0.05128478800233548,Yes,0
170706_Smp_S5E28D15_A,Dimethylsulfoniopropionate,0.9213906190290176,0.07371124952232141,0.3685562476116071,NA,0.07371124952232141,Yes,0
170706_Smp_S5E28D15_B,Dimethylsulfoniopropionate,1.859797192325075,0.14878377538600598,0.7439188769300299,NA,0.14878377538600598,Yes,0
170706_Smp_S5E28D15_C,Dimethylsulfoniopropionate,0.4080739764829501,0.03264591811863601,0.16322959059318004,NA,0.03264591811863601,Yes,0
170706_Smp_S5E28D15_Ds,Dimethylsulfoniopropionate,0.02289252288841557,0.00192779140112973,0.00963895700564866,NA,0.00192779140112973,No,0
