time.round,cruise,median.totsf.biovol.ul.l,median.pro.biovol.ul.l,median.syn.biovol.ul.l,median.picoeuk.biovol.ul.l,median.totifcb.biovol.ul.l,sum.median.biovol.ul.l,fraction.biovol.seaflow
2021-11-25T19:00:00Z,TN397,0.024541404718039228,0.011704424070025681,7.032896628356787e-4,0.011967458040933755,0.025853863150000003,0.05039526786803923,0.48697835642626736
2021-11-25T20:00:00Z,TN397,0.028034725361373875,0.014405868150625507,8.553336265996036e-4,0.013018257795930126,0.0322046746,0.06023939996137387,0.465388522783262
2021-11-25T21:00:00Z,TN397,0.03136214976761158,0.01600172248464632,9.106642714724882e-4,0.014765321383641675,0.03512933715,0.06649148691761159,0.47167165635011077
2021-11-25T22:00:00Z,TN397,0.030923709908632496,0.01588384448298278,8.935288092911259e-4,0.014120757567826223,0.042194617999999996,0.07311832790863249,0.42292692944612026
2021-11-25T23:00:00Z,TN397,0.03136475219105693,0.01710329195303431,8.762189922402843e-4,0.013467792099599984,0.047340983,0.07870573519105693,0.39850656518129823
2021-11-26T00:00:00Z,TN397,0.03438783169075385,0.019791994280014213,9.046535055619107e-4,0.013109200748173861,0.058496947349999995,0.09288477904075385,0.370220310000048
2021-11-26T01:00:00Z,TN397,0.035306842475436764,0.020556651707428306,9.90341598134518e-4,0.014115585612036931,0.0430623763,0.07836921877543676,0.4505192603311107
2021-11-26T02:00:00Z,TN397,0.04169772357179384,0.025552224742177145,9.633189775173181e-4,0.014933225783930637,0.0108239991,0.05252172267179384,0.7939138598396944
2021-11-26T03:00:00Z,TN397,0.040745013188310336,0.02602343831264236,8.824727378100523e-4,0.013779897513938655,NA,NA,NA
2021-11-26T04:00:00Z,TN397,0.03782976078670208,0.02424097225554027,7.901989917437917e-4,0.012490453655815087,0.0470926115,0.08492237228670207,0.44546283585892965
2021-11-26T05:00:00Z,TN397,0.03259688084016307,0.02045533756350882,7.712767380834492e-4,0.01105346211588492,0.0467477856,0.07934466644016308,0.4108263642994284
2021-11-26T06:00:00Z,TN397,0.031495101033284886,0.0191974393770586,7.196810754670749e-4,0.011368146178189167,0.0401950277,0.07169012873328488,0.43932270160176295
2021-11-26T07:00:00Z,TN397,0.02838122211473057,0.018466677212372523,6.909340818823916e-4,0.009287935019877432,0.035899421199999997,0.06428064331473057,0.4415205052595782
2021-11-26T08:00:00Z,TN397,0.029239482195513332,0.01892618768866139,6.798374642081565e-4,0.009636743426541559,0.036238729,0.06547821119551334,0.44655285570044506
2021-11-26T09:00:00Z,TN397,0.027612394619155038,0.01699557275292264,7.105371499359946e-4,0.009461704729188421,0.03861098105000001,0.06622337566915504,0.416958428049691
2021-11-26T10:00:00Z,TN397,0.026264230532113096,0.015155573042205297,9.210019372372803e-4,0.010334127277374889,0.039859117,0.0661233475321131,0.3972005579323968
2021-11-26T11:00:00Z,TN397,0.025413021113518133,0.014795829636586455,0.0011475199756443447,0.009273068281761455,0.03664414855,0.06205716966351813,0.4095098318423281
