Rep,Compound,Area,Batch
170706_Std_4uM-StdsInH2O_1,Sarcosine,37887668,G2
170706_Std_4uM-StdsInH2O_2,Sarcosine,52713724,G2
170706_Std_4uM-StdsInH2O_3,Sarcosine,52941848,G2
170706_Std_4uM-StdsInH2O_4,Sarcosine,20230328,G2
170706_Std_4uM-StdsInH2O_5,Sarcosine,50191296,G2
170706_Std_4uM-StdsInH2O_6,Sarcosine,59925828,G2
170706_Std_4uM-StdsInAqMatrix_1,Sarcosine,12300925,G2
170706_Std_4uM-StdsInAqMatrix_2,Sarcosine,15379405,G2
170706_Std_4uM-StdsInAqMatrix_3,Sarcosine,14987871,G2
170706_Std_4uM-StdsInAqMatrix_4,Sarcosine,7200427,G2
170706_Std_4uM-StdsInAqMatrix_5,Sarcosine,16200123,G2
170706_Blk_Blk0p2_1,Sarcosine,40901,G2
170706_Blk_Blk0p2_2,Sarcosine,38228,G2
170706_Blk_BlkMQ_1,Sarcosine,217803,G2
170706_Blk_BlkMQ_3,Sarcosine,10152,G2
170706_Blk_MQBlk_2,Sarcosine,65081,G2
170706_Poo_TruePoo_Full1,Sarcosine,1789705,G2
170706_Poo_TruePoo_Full2,Sarcosine,1488621,G2
170706_Poo_TruePoo_Full3,Sarcosine,1370857,G2
170706_Poo_TruePoo_Full4,Sarcosine,1391200,G2
170706_Poo_TruePoo_Full5,Sarcosine,1445454,G2
170706_Poo_TruePoo_Full6,Sarcosine,1338258,G2
170706_Poo_TruePoo_Full7,Sarcosine,1104307,G2
170706_Poo_TruePoo_Half1,Sarcosine,954219,G2
170706_Poo_TruePoo_Half2,Sarcosine,829880,G2
170706_Poo_TruePoo_Half3,Sarcosine,875441,G2
170706_Poo_TruePoo_Half4,Sarcosine,681664,G2
170706_Poo_TruePoo_Half5,Sarcosine,637720,G2
170706_Poo_TruePoo_Half6,Sarcosine,1012704,G2
170706_Poo_TruePoo_Half7,Sarcosine,656615,G2
170706_Smp_S3E15D15_A,Sarcosine,956098,G2
170706_Smp_S3E15D15_B,Sarcosine,829828,G2
170706_Smp_S3E15D15_C,Sarcosine,742713,G2
170706_Smp_S3E15E15_Ds,Sarcosine,51414,G2
170706_Smp_S4E16D15_A,Sarcosine,485821,G2
170706_Smp_S4E16D15_B,Sarcosine,433092,G2
170706_Smp_S4E16D15_C,Sarcosine,543638,G2
170706_Smp_S4E16D15_Ds,Sarcosine,133925,G2
170706_Smp_S5E28D15_A,Sarcosine,420082,G2
170706_Smp_S5E28D15_B,Sarcosine,258813,G2
170706_Smp_S5E28D15_C,Sarcosine,777823,G2
170706_Smp_S5E28D15_Ds,Sarcosine,177561,G2
170706_Smp_S6E37D15_A,Sarcosine,4428404,G2
170706_Smp_S6E37D15_B,Sarcosine,3850120,G2
170706_Smp_S6E37D15_C,Sarcosine,2712556,G2
170706_Smp_S6E37D15_Ds,Sarcosine,296608,G2
170706_Std_4uM-StdsInH2O_1,L-Serine,2541131,G2
170706_Std_4uM-StdsInH2O_2,L-Serine,3732197,G2
170706_Std_4uM-StdsInH2O_3,L-Serine,4217973,G2
170706_Std_4uM-StdsInH2O_4,L-Serine,2834341,G2
170706_Std_4uM-StdsInH2O_5,L-Serine,4862509,G2
170706_Std_4uM-StdsInH2O_6,L-Serine,6630156,G2
170706_Std_4uM-StdsInAqMatrix_1,L-Serine,3105278,G2
170706_Std_4uM-StdsInAqMatrix_2,L-Serine,3879291,G2
170706_Std_4uM-StdsInAqMatrix_3,L-Serine,4145320,G2
170706_Std_4uM-StdsInAqMatrix_4,L-Serine,3683921,G2
170706_Std_4uM-StdsInAqMatrix_5,L-Serine,4882150,G2
170706_Blk_Blk0p2_1,L-Serine,12360,G2
170706_Blk_Blk0p2_2,L-Serine,181172,G2
170706_Blk_BlkMQ_1,L-Serine,0,G2
170706_Blk_BlkMQ_3,L-Serine,9992,G2
170706_Blk_MQBlk_2,L-Serine,154932,G2
170706_Poo_TruePoo_Full1,L-Serine,1649397,G2
170706_Poo_TruePoo_Full2,L-Serine,590315,G2
170706_Poo_TruePoo_Full3,L-Serine,670939,G2
170706_Poo_TruePoo_Full4,L-Serine,664965,G2
170706_Poo_TruePoo_Full5,L-Serine,933133,G2
170706_Poo_TruePoo_Full6,L-Serine,990743,G2
170706_Poo_TruePoo_Full7,L-Serine,963987,G2
170706_Poo_TruePoo_Half1,L-Serine,710055,G2
170706_Poo_TruePoo_Half2,L-Serine,328977,G2
170706_Poo_TruePoo_Half3,L-Serine,497689,G2
170706_Poo_TruePoo_Half4,L-Serine,473109,G2
170706_Poo_TruePoo_Half5,L-Serine,578054,G2
170706_Poo_TruePoo_Half6,L-Serine,619330,G2
170706_Poo_TruePoo_Half7,L-Serine,472505,G2
170706_Smp_S3E15D15_A,L-Serine,277991,G2
170706_Smp_S3E15D15_B,L-Serine,285156,G2
170706_Smp_S3E15D15_C,L-Serine,167120,G2
170706_Smp_S3E15E15_Ds,L-Serine,91751,G2
170706_Smp_S4E16D15_A,L-Serine,137477,G2
170706_Smp_S4E16D15_B,L-Serine,209494,G2
170706_Smp_S4E16D15_C,L-Serine,102221,G2
170706_Smp_S4E16D15_Ds,L-Serine,33834,G2
170706_Smp_S5E28D15_A,L-Serine,220172,G2
170706_Smp_S5E28D15_B,L-Serine,269880,G2
170706_Smp_S5E28D15_C,L-Serine,1087141,G2
170706_Smp_S5E28D15_Ds,L-Serine,114954,G2
170706_Smp_S6E37D15_A,L-Serine,3202451,G2
170706_Smp_S6E37D15_B,L-Serine,3991668,G2
170706_Smp_S6E37D15_C,L-Serine,8525294,G2
170706_Smp_S6E37D15_Ds,L-Serine,525538,G2
170706_Std_4uM-StdsInH2O_1,L-Proline,345733248,G2
170706_Std_4uM-StdsInH2O_2,L-Proline,430017696,G2
170706_Std_4uM-StdsInH2O_3,L-Proline,444469440,G2
170706_Std_4uM-StdsInH2O_4,L-Proline,285614432,G2
170706_Std_4uM-StdsInH2O_5,L-Proline,414523712,G2
170706_Std_4uM-StdsInH2O_6,L-Proline,501117504,G2
170706_Std_4uM-StdsInAqMatrix_1,L-Proline,476723328,G2
170706_Std_4uM-StdsInAqMatrix_2,L-Proline,470894624,G2
170706_Std_4uM-StdsInAqMatrix_3,L-Proline,481790080,G2
170706_Std_4uM-StdsInAqMatrix_4,L-Proline,382503200,G2
170706_Std_4uM-StdsInAqMatrix_5,L-Proline,433262944,G2
170706_Blk_Blk0p2_1,L-Proline,948940,G2
170706_Blk_Blk0p2_2,L-Proline,403305,G2
170706_Blk_BlkMQ_1,L-Proline,1060962,G2
170706_Blk_BlkMQ_3,L-Proline,4494931,G2
170706_Blk_MQBlk_2,L-Proline,467772,G2
170706_Poo_TruePoo_Full1,L-Proline,156440048,G2
170706_Poo_TruePoo_Full2,L-Proline,107263976,G2
170706_Poo_TruePoo_Full3,L-Proline,109664552,G2
170706_Poo_TruePoo_Full4,L-Proline,127591536,G2
170706_Poo_TruePoo_Full5,L-Proline,134897184,G2
170706_Poo_TruePoo_Full6,L-Proline,129521904,G2
170706_Poo_TruePoo_Full7,L-Proline,102175048,G2
170706_Poo_TruePoo_Half1,L-Proline,73979744,G2
170706_Poo_TruePoo_Half2,L-Proline,55293352,G2
170706_Poo_TruePoo_Half3,L-Proline,59320228,G2
170706_Poo_TruePoo_Half4,L-Proline,64081948,G2
170706_Poo_TruePoo_Half5,L-Proline,67727016,G2
170706_Poo_TruePoo_Half6,L-Proline,72140656,G2
170706_Poo_TruePoo_Half7,L-Proline,53724136,G2
170706_Smp_S3E15D15_A,L-Proline,38238556,G2
170706_Smp_S3E15D15_B,L-Proline,30047394,G2
170706_Smp_S3E15D15_C,L-Proline,31735034,G2
170706_Smp_S3E15E15_Ds,L-Proline,8690877,G2
170706_Smp_S4E16D15_A,L-Proline,23523358,G2
170706_Smp_S4E16D15_B,L-Proline,22382572,G2
170706_Smp_S4E16D15_C,L-Proline,23204430,G2
170706_Smp_S4E16D15_Ds,L-Proline,10699296,G2
170706_Smp_S5E28D15_A,L-Proline,35793028,G2
170706_Smp_S5E28D15_B,L-Proline,35286016,G2
170706_Smp_S5E28D15_C,L-Proline,101135616,G2
170706_Smp_S5E28D15_Ds,L-Proline,16490603,G2
170706_Smp_S6E37D15_A,L-Proline,538485056,G2
170706_Smp_S6E37D15_B,L-Proline,458791360,G2
170706_Smp_S6E37D15_C,L-Proline,491946336,G2
170706_Smp_S6E37D15_Ds,L-Proline,79043552,G2
170706_Std_4uM-StdsInH2O_1,Glycine betaine,3044742912,G2
170706_Std_4uM-StdsInH2O_2,Glycine betaine,3389491712,G2
170706_Std_4uM-StdsInH2O_3,Glycine betaine,3723117312,G2
170706_Std_4uM-StdsInH2O_4,Glycine betaine,2978614016,G2
170706_Std_4uM-StdsInH2O_5,Glycine betaine,3901255936,G2
170706_Std_4uM-StdsInH2O_6,Glycine betaine,3923445760,G2
170706_Std_4uM-StdsInAqMatrix_1,Glycine betaine,13004817408,G2
170706_Std_4uM-StdsInAqMatrix_2,Glycine betaine,11185370112,G2
170706_Std_4uM-StdsInAqMatrix_3,Glycine betaine,11768037376,G2
170706_Std_4uM-StdsInAqMatrix_4,Glycine betaine,8141869056,G2
170706_Std_4uM-StdsInAqMatrix_5,Glycine betaine,7102464000,G2
170706_Blk_Blk0p2_1,Glycine betaine,135508912,G2
170706_Blk_Blk0p2_2,Glycine betaine,21254772,G2
170706_Blk_BlkMQ_1,Glycine betaine,27639478,G2
170706_Blk_BlkMQ_3,Glycine betaine,99343360,G2
170706_Blk_MQBlk_2,Glycine betaine,18643254,G2
170706_Poo_TruePoo_Full1,Glycine betaine,8175322112,G2
170706_Poo_TruePoo_Full2,Glycine betaine,8588360192,G2
170706_Poo_TruePoo_Full3,Glycine betaine,8553222656,G2
170706_Poo_TruePoo_Full4,Glycine betaine,8989130752,G2
170706_Poo_TruePoo_Full5,Glycine betaine,9512054784,G2
170706_Poo_TruePoo_Full6,Glycine betaine,9085723648,G2
170706_Poo_TruePoo_Full7,Glycine betaine,9279706112,G2
170706_Poo_TruePoo_Half1,Glycine betaine,3948019712,G2
170706_Poo_TruePoo_Half2,Glycine betaine,4397179392,G2
170706_Poo_TruePoo_Half3,Glycine betaine,4336582656,G2
170706_Poo_TruePoo_Half4,Glycine betaine,4575654912,G2
170706_Poo_TruePoo_Half5,Glycine betaine,4840426496,G2
170706_Poo_TruePoo_Half6,Glycine betaine,4860781568,G2
170706_Poo_TruePoo_Half7,Glycine betaine,4736174592,G2
170706_Smp_S3E15D15_A,Glycine betaine,5976833536,G2
170706_Smp_S3E15D15_B,Glycine betaine,2963163648,G2
170706_Smp_S3E15D15_C,Glycine betaine,4443326464,G2
170706_Smp_S3E15E15_Ds,Glycine betaine,1173682560,G2
170706_Smp_S4E16D15_A,Glycine betaine,3383257088,G2
170706_Smp_S4E16D15_B,Glycine betaine,4912871936,G2
170706_Smp_S4E16D15_C,Glycine betaine,3331328768,G2
170706_Smp_S4E16D15_Ds,Glycine betaine,1590644096,G2
170706_Smp_S5E28D15_A,Glycine betaine,4862282240,G2
170706_Smp_S5E28D15_B,Glycine betaine,4992046080,G2
170706_Smp_S5E28D15_C,Glycine betaine,6771496448,G2
170706_Smp_S5E28D15_Ds,Glycine betaine,3264485376,G2
170706_Smp_S6E37D15_A,Glycine betaine,28161409024,G2
170706_Smp_S6E37D15_B,Glycine betaine,24288196608,G2
170706_Smp_S6E37D15_C,Glycine betaine,23725473792,G2
170706_Smp_S6E37D15_Ds,Glycine betaine,5343512576,G2
170706_Std_4uM-StdsInH2O_1,L-Threonine,10720571,G2
170706_Std_4uM-StdsInH2O_2,L-Threonine,16450396,G2
170706_Std_4uM-StdsInH2O_3,L-Threonine,18445042,G2
170706_Std_4uM-StdsInH2O_4,L-Threonine,11769701,G2
170706_Std_4uM-StdsInH2O_5,L-Threonine,20171114,G2
170706_Std_4uM-StdsInH2O_6,L-Threonine,25732548,G2
170706_Std_4uM-StdsInAqMatrix_1,L-Threonine,6417853,G2
170706_Std_4uM-StdsInAqMatrix_2,L-Threonine,7232139,G2
170706_Std_4uM-StdsInAqMatrix_3,L-Threonine,6822158,G2
170706_Std_4uM-StdsInAqMatrix_4,L-Threonine,7636857,G2
170706_Std_4uM-StdsInAqMatrix_5,L-Threonine,12364315,G2
170706_Blk_Blk0p2_1,L-Threonine,56475,G2
170706_Blk_Blk0p2_2,L-Threonine,58158,G2
170706_Blk_BlkMQ_1,L-Threonine,90309,G2
170706_Blk_BlkMQ_3,L-Threonine,175319,G2
170706_Blk_MQBlk_2,L-Threonine,42731,G2
170706_Poo_TruePoo_Full1,L-Threonine,2988716,G2
170706_Poo_TruePoo_Full2,L-Threonine,1372160,G2
