SampID,Vol_L,Cruise
220628_Smp_MU0.2_Blk1,2.1,KM1906
220628_Smp_MU0.2_Blk2,2.1,KM1906
220628_Smp_MU0.3_Blk1,2.1,KM1906
220628_Smp_MU0.3_Blk2,2.1,KM1906
220628_Smp_MU0.2_PreBlk1,2.1,KM1906
220628_Smp_MU0.2_PreBlk2,2.1,KM1906
220628_Smp_MU0.3_PreBlk1,2.1,KM1906
220628_Smp_MU0.3_PreBlk2,2.1,KM1906
220628_Smp_MU20_A,10,KM1906
220628_Smp_MU20_B,10,KM1906
220628_Smp_MU20_C,10,KM1906
220628_Smp_MU21_A,10,KM1906
220628_Smp_MU21_B,10,KM1906
220628_Smp_MU21_C,10,KM1906
220628_Smp_MU22_A,10,KM1906
220628_Smp_MU22_B,10,KM1906
220628_Smp_MU22_C,10,KM1906
220628_Smp_MU23_A,10,KM1906
220628_Smp_MU23_B,10,KM1906
220628_Smp_MU23_C,10,KM1906
220628_Smp_MU24_A,10,KM1906
220628_Smp_MU24_B,10,KM1906
220628_Smp_MU24_C,10,KM1906
220628_Smp_MU25_A,60,KM1906
220628_Smp_MU25_B,60,KM1906
221006_Smp_S1_C1_5m_A,2,RC078
221006_Smp_S1_C1_5m_B,2,RC078
221006_Smp_S1_C1_5m_C,2,RC078
221006_Smp_S1_C1_DCM_A,2.5,RC078
221006_Smp_S1_C1_DCM_B,1.5,RC078
221006_Smp_S1_C1_DCM_C,1,RC078
221006_Smp_S2_C1_SRF_A,3.5,RC078
221006_Smp_S2_C1_SRF_B,3,RC078
221006_Smp_S2_C1_SRF_C,3.5,RC078
221006_Smp_S2_C2_D1_A,4.5,RC078
221006_Smp_S2_C2_D1_B,4.8,RC078
221006_Smp_S2_C2_D1_C,4.8,RC078
221006_Smp_S2_C2_D2_A,4,RC078
221006_Smp_S2_C2_D2_B,4.5,RC078
221006_Smp_S2_C2_D2_C,4.3,RC078
221006_Smp_S2_C3_D3_A,4,RC078
221006_Smp_S2_C3_D3_B,4.5,RC078
221006_Smp_S2_C3_D3_C,4.575,RC078
221006_Smp_S2_C3_D4_A,4,RC078
221006_Smp_S2_C3_D4_B,4,RC078
221006_Smp_S2_C3_D4_C,4.5,RC078
221006_Smp_S2_C4_D5_A,2.8,RC078
221006_Smp_S2_C4_D5_B,2.5,RC078
221006_Smp_S2_C4_D5_C,2.6,RC078
221006_Smp_S2_C4_D6_A,3,RC078
221006_Smp_S2_C4_D6_B,3,RC078
221006_Smp_S2_C4_D6_C,3,RC078
221006_Smp_S3_C1_D1_A,3.1,RC078
