Rep,SampID,replicate,Cruise,Compound,min.area.flag,blk.ratio.flag,smp.remove,Vol_L,umol.in.vial.ave,nM.in.smp,nM_C,nM_N,nM_S
220628_Smp_MU14_A,MU14,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.7266801524841321,0.05813441219873056,0.4069408853911139,0.05813441219873056,NA
220628_Smp_MU14_B,MU14,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.9265990305860692,0.07412792244688554,0.5188954571281987,0.07412792244688554,NA
220628_Smp_MU14_C,MU14,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.8064900141583657,0.06451920113266926,0.4516344079286848,0.06451920113266926,NA
220628_Smp_MU15_A,MU15,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,1.679125210461411,0.13433001683691287,0.94031011785839,0.13433001683691287,NA
220628_Smp_MU15_B,MU15,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,2.480360731374045,0.1984288585099236,1.389002009569465,0.1984288585099236,NA
220628_Smp_MU15_C,MU15,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,2.0637768452542113,0.1651021476203369,1.1557150333423585,0.1651021476203369,NA
220628_Smp_MU16_A,MU16,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.18395024218482853,0.01471601937478628,0.103012135623504,0.01471601937478628,NA
220628_Smp_MU16_B,MU16,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.32416878603423377,0.0259335028827387,0.18153452017917088,0.0259335028827387,NA
220628_Smp_MU16_C,MU16,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.27760892570323503,0.0222087140562588,0.1554609983938116,0.0222087140562588,NA
220628_Smp_MU17_A,MU17,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,1.0125476033166834,0.08100380826533468,0.5670266578573427,0.08100380826533468,NA
220628_Smp_MU17_B,MU17,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.9861710756664008,0.07889368605331205,0.5522558023731844,0.07889368605331205,NA
220628_Smp_MU17_C,MU17,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,1.332724972037474,0.1066179977629979,0.7463259843409853,0.1066179977629979,NA
220628_Smp_MU18_A,MU18,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.7500265758442058,0.06000212606753646,0.42001488247275526,0.06000212606753646,NA
220628_Smp_MU18_B,MU18,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.8494094933202512,0.0679527594656201,0.4756693162593407,0.0679527594656201,NA
220628_Smp_MU18_C,MU18,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.7279844193958136,0.05823875355166508,0.4076712748616556,0.05823875355166508,NA
220628_Smp_MU19_A,MU19,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,3.836302202131143,0.3069041761704914,2.14832923319344,0.3069041761704914,NA
220628_Smp_MU19_B,MU19,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,4.506547822251567,0.3605238257801253,2.5236667804608772,0.3605238257801253,NA
220628_Smp_MU19_C,MU19,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,4.212604733477522,0.3370083786782017,2.359058650747412,0.3370083786782017,NA
220628_Smp_MU20_A,MU20,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.5540158202774376,0.044321265622195,0.310248859355365,0.044321265622195,NA
220628_Smp_MU20_B,MU20,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.8745311984477824,0.06996249587582258,0.4897374711307581,0.06996249587582258,NA
220628_Smp_MU20_C,MU20,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.7199328190341692,0.05759462552273353,0.4031623786591347,0.05759462552273353,NA
220628_Smp_MU21_A,MU21,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.2262472545242312,0.01809978036193849,0.12669846253356945,0.01809978036193849,NA
220628_Smp_MU21_B,MU21,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.36100439937730566,0.02888035195018445,0.20216246365129115,0.02888035195018445,NA
220628_Smp_MU21_C,MU21,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.1936156123157833,0.01548924898526266,0.10842474289683866,0.01548924898526266,NA
220628_Smp_MU22_A,MU22,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.15740564164632928,0.01259245133170634,0.08814715932194439,0.01259245133170634,NA
220628_Smp_MU22_B,MU22,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.22883680930907424,0.01830694474472593,0.12814861321308155,0.01830694474472593,NA
220628_Smp_MU22_C,MU22,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.2348618553221338,0.0187889484257707,0.13152263898039493,0.0187889484257707,NA
220628_Smp_MU23_A,MU23,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.2837222299505346,0.02269777839604277,0.1588844487722994,0.02269777839604277,NA
220628_Smp_MU23_B,MU23,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.2910072521130381,0.02328058016904304,0.16296406118330128,0.02328058016904304,NA
220628_Smp_MU23_C,MU23,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.3128630032151644,0.02502904025721315,0.17520328180049208,0.02502904025721315,NA
220628_Smp_MU24_A,MU24,A,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.28642662883720377,0.0229141303069763,0.1603989121488341,0.0229141303069763,NA
220628_Smp_MU24_B,MU24,B,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.30438899563547683,0.02435111965083814,0.17045783755586705,0.02435111965083814,NA
220628_Smp_MU24_C,MU24,C,KM1906,(3-Carboxypropyl)trimethylammonium,NA,NA,NA,10,0.22423336554604148,0.01793866924368331,0.12557068470578325,0.01793866924368331,NA
220628_Smp_MU1_A,MU1,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,0.3137170936688552,0.02509736749350841,0.22587630744157575,NA,NA
220628_Smp_MU1_B,MU1,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,0.6333189084170032,0.05066551267336026,0.4559896140602424,NA,NA
220628_Smp_MU1_C,MU1,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.2359462192000097,0.09887569753600078,0.88988127782400706,NA,NA
220628_Smp_MU2_A,MU2,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,0.9647368640538037,0.0771789491243043,0.6946105421187387,NA,NA
220628_Smp_MU2_B,MU2,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.4752076272185457,0.11801661017748365,1.0621494915973528,NA,NA
220628_Smp_MU2_C,MU2,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.356594410855638,0.10852755286845105,0.9767479758160592,NA,NA
220628_Smp_MU3_A,MU3,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,0.9911280956640548,0.07929024765312438,0.7136122288781195,NA,NA
220628_Smp_MU3_B,MU3,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,0.7138829910980476,0.05711063928784381,0.5139957535905944,NA,NA
220628_Smp_MU3_C,MU3,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,0.5820426085979749,0.04656340868783799,0.4190706781905419,NA,NA
220628_Smp_MU4_A,MU4,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.1275726870871727,0.17020581496697382,1.5318523347027644,NA,NA
220628_Smp_MU4_B,MU4,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,3.017035300061943,0.24136282400495543,2.1722654160445987,NA,NA
220628_Smp_MU4_C,MU4,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.687036076418012,0.21496288611344097,1.9346659750209687,NA,NA
220628_Smp_MU5_A,MU5,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.1674222550501672,0.09339378040401336,0.8405440236361204,NA,NA
220628_Smp_MU5_B,MU5,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.3583246751557845,0.10866597401246277,0.9779937661121648,NA,NA
220628_Smp_MU5_C,MU5,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.2881814822838926,0.1030545185827114,0.9274906672444028,NA,NA
220628_Smp_MU6_A,MU6,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.4542858530969114,0.1963428682477529,1.767085814229776,NA,NA
220628_Smp_MU6_B,MU6,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.4930339977659783,0.19944271982127823,1.7949844783915043,NA,NA
220628_Smp_MU6_C,MU6,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.1448866247779537,0.0915909299822363,0.8243183698401266,NA,NA
220628_Smp_MU7_A,MU7,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.0139323902763535,0.08111459122210828,0.7300313209989745,NA,NA
220628_Smp_MU7_B,MU7,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.0661749391935234,0.08529399513548186,0.7676459562193367,NA,NA
220628_Smp_MU7_C,MU7,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.285401051061803,0.10283208408494424,0.9254887567644982,NA,NA
220628_Smp_MU8_A,MU8,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.1718851728868205,0.17375081383094565,1.5637573244785108,NA,NA
220628_Smp_MU8_B,MU8,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.63835085404753,0.21106806832380237,1.8996126149142216,NA,NA
220628_Smp_MU8_C,MU8,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.7924111688915414,0.1433928935113233,1.2905360416019098,NA,NA
220628_Smp_MU9_A,MU9,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.218430973768565,0.17747447790148516,1.5972703011133664,NA,NA
220628_Smp_MU9_B,MU9,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.4324767657927475,0.1145981412634198,1.0313832713707782,NA,NA
220628_Smp_MU9_C,MU9,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.408104491407973,0.19264835931263785,1.7338352338137404,NA,NA
220628_Smp_MU10_A,MU10,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.0059063566707533,0.16047250853366027,1.4442525768029424,NA,NA
220628_Smp_MU10_B,MU10,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,4.3503960514001445,0.3480316841120116,3.1322851570081043,NA,NA
220628_Smp_MU10_C,MU10,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.6824967573990703,0.13459974059192562,1.2113976653273306,NA,NA
220628_Smp_MU11_A,MU11,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,25.428272581770493,2.034261806541639,18.308356258874753,NA,NA
220628_Smp_MU11_B,MU11,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,24.43956939152365,1.9551655513218915,17.596489961897024,NA,NA
220628_Smp_MU11_C,MU11,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,21.337731477694877,1.70701851821559,15.363166663940312,NA,NA
220628_Smp_MU14_A,MU14,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,9.819045511420574,0.7855236409136459,7.069712768222813,NA,NA
220628_Smp_MU14_B,MU14,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,8.732453566123976,0.698596285289918,6.287366567609262,NA,NA
220628_Smp_MU14_C,MU14,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,11.79451000965581,0.9435608007724648,8.492047206952183,NA,NA
220628_Smp_MU15_A,MU15,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,11.8411932422872,0.9472954593829758,8.525659134446782,NA,NA
220628_Smp_MU15_B,MU15,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,11.690728115784127,0.9352582492627302,8.417324243364572,NA,NA
220628_Smp_MU15_C,MU15,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,8.60027970947414,0.6880223767579312,6.192201390821381,NA,NA
220628_Smp_MU16_A,MU16,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,33.270222583562486,2.661617806684999,23.95456026016499,NA,NA
220628_Smp_MU16_B,MU16,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,33.492557868722095,2.6794046294977676,24.11464166547991,NA,NA
220628_Smp_MU16_C,MU16,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,25.699238295364314,2.055939063629145,18.503451572662307,NA,NA
220628_Smp_MU17_A,MU17,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,52.1802027558338,4.1744162204667035,37.56974598420033,NA,NA
220628_Smp_MU17_B,MU17,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,69.98932741574428,5.599146193259542,50.39231573933588,NA,NA
220628_Smp_MU17_C,MU17,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,68.61802267676866,5.489441814141492,49.40497632727343,NA,NA
220628_Smp_MU18_A,MU18,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,25.651595657650212,2.052127652612017,18.469148873508153,NA,NA
220628_Smp_MU18_B,MU18,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,19.32641230932958,1.5461129847463664,13.915016862717298,NA,NA
220628_Smp_MU18_C,MU18,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,30.36818891030938,2.4294551128247504,21.86509601542275,NA,NA
220628_Smp_MU19_A,MU19,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,6.909046253440952,0.5527237002752761,4.974513302477485,NA,NA
220628_Smp_MU19_B,MU19,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,9.855809822285272,0.7884647857828219,7.096183072045397,NA,NA
220628_Smp_MU19_C,MU19,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,7.656660413216619,0.6125328330573294,5.512795497515965,NA,NA
220628_Smp_MU20_A,MU20,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,10.638848171303044,0.8511078537042435,7.659970683338191,NA,NA
220628_Smp_MU20_B,MU20,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,8.454934036054128,0.6763947228843302,6.087552505958972,NA,NA
220628_Smp_MU20_C,MU20,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,10.700718208207087,0.8560574566565671,7.704517109909103,NA,NA
220628_Smp_MU21_A,MU21,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.740095364088588,0.219207629127087,1.972868662143783,NA,NA
220628_Smp_MU21_B,MU21,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.8107915871778613,0.1448633269742289,1.3037699427680602,NA,NA
220628_Smp_MU21_C,MU21,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.7524241806287915,0.22019393445030327,1.9817454100527296,NA,NA
220628_Smp_MU22_A,MU22,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.943268826588013,0.15546150612704102,1.3991535551433691,NA,NA
220628_Smp_MU22_B,MU22,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,4.143980587002584,0.33151844696020666,2.98366602264186,NA,NA
220628_Smp_MU22_C,MU22,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.0343694126460994,0.16274955301168795,1.4647459771051916,NA,NA
220628_Smp_MU23_A,MU23,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.9477210836978545,0.2358176866958283,2.122359180262455,NA,NA
220628_Smp_MU23_B,MU23,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.8276318761373007,0.22621055009098404,2.0358949508188564,NA,NA
220628_Smp_MU23_C,MU23,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.5555069389511917,0.20444055511609532,1.839964996044858,NA,NA
220628_Smp_MU24_A,MU24,A,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.669677724026355,0.13357421792210838,1.2021679612989755,NA,NA
220628_Smp_MU24_B,MU24,B,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,1.6003626306259788,0.1280290104500783,1.1522610940507048,NA,NA
220628_Smp_MU24_C,MU24,C,KM1906,2-O-alpha-D-Glucosylglycerol,NA,NA,NA,10,2.203743519732176,0.17629948157857409,1.5866953342071668,NA,NA
220628_Smp_MU1_A,MU1,A,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.002127490016592,1.701992013273606e-4,0.00102119520796416,3.403984026547212e-4,NA
220628_Smp_MU1_B,MU1,B,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00158717493847644,1.2697399507811545e-4,7.618439704686927e-4,2.539479901562309e-4,NA
220628_Smp_MU1_C,MU1,C,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00769586312362551,6.156690498900408e-4,0.00369401429934024,0.00123133809978008,NA
220628_Smp_MU2_A,MU2,A,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00173805373976716,1.3904429918137304e-4,8.342657950882382e-4,2.780885983627461e-4,NA
220628_Smp_MU2_B,MU2,B,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00100549580760713,8.043966460857048e-5,4.826379876514229e-4,1.6087932921714096e-4,NA
220628_Smp_MU2_C,MU2,C,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00507519553985795,4.060156431886365e-4,0.00243609385913181,8.12031286377273e-4,NA
220628_Smp_MU3_A,MU3,A,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00105453676448349,8.436294115867967e-5,5.06177646952078e-4,1.6872588231735933e-4,NA
220628_Smp_MU3_B,MU3,B,KM1906,5-Hydroxyectoine,NA,NA,NA,10,8.764133845087224e-4,7.01130707606978e-5,4.206784245641868e-4,1.402261415213956e-4,NA
220628_Smp_MU3_C,MU3,C,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.0028858811701063,2.3087049360850435e-4,0.00138522296165102,4.617409872170087e-4,NA
220628_Smp_MU4_A,MU4,A,KM1906,5-Hydroxyectoine,NA,Flag,NA,10,5.19066220022558e-4,4.152529760180464e-5,2.491517856108279e-4,8.305059520360929e-5,NA
220628_Smp_MU4_B,MU4,B,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00115097915772984,9.207833261838792e-5,5.524699957103275e-4,1.8415666523677584e-4,NA
220628_Smp_MU4_C,MU4,C,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00198257206769528,1.5860576541562292e-4,9.516345924937376e-4,3.1721153083124584e-4,NA
220628_Smp_MU5_A,MU5,A,KM1906,5-Hydroxyectoine,NA,NA,NA,10,6.133770041559741e-4,4.907016033247792e-5,2.9442096199486754e-4,9.814032066495584e-5,NA
220628_Smp_MU5_B,MU5,B,KM1906,5-Hydroxyectoine,NA,Flag,NA,10,4.599267180356978e-4,3.679413744285582e-5,2.2076482465713493e-4,7.358827488571165e-5,NA
220628_Smp_MU5_C,MU5,C,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00140313719703706,1.122509757629656e-4,6.735058545777935e-4,2.245019515259312e-4,NA
220628_Smp_MU6_A,MU6,A,KM1906,5-Hydroxyectoine,NA,Flag,NA,10,4.747626888519349e-4,3.7981015108154786e-5,2.2788609064892872e-4,7.596203021630957e-5,NA
220628_Smp_MU6_B,MU6,B,KM1906,5-Hydroxyectoine,NA,NA,NA,10,9.295244434426886e-4,7.43619554754151e-5,4.461717328524906e-4,1.487239109508302e-4,NA
220628_Smp_MU6_C,MU6,C,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00122365288450977,9.78922307607823e-5,5.873533845646938e-4,1.957844615215646e-4,NA
220628_Smp_MU7_A,MU7,A,KM1906,5-Hydroxyectoine,NA,NA,NA,10,9.711679782066304e-4,7.769343825653043e-5,4.661606295391826e-4,1.5538687651306087e-4,NA
220628_Smp_MU7_B,MU7,B,KM1906,5-Hydroxyectoine,NA,NA,NA,10,0.00101723959518454,8.137916761476359e-5,4.8827500568858153e-4,1.6275833522952718e-4,NA
