Cruise,Parent_ID,Part.SampID,Diss.SampID,Compound,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.detected,Part.Impute.Conc.nM,Diss.detected,Diss.Conc.Vial.uM,Diss.Conc.nM,Diss.Conc.C.nM,Diss.Conc.N.nM,Diss.Conc.S.nM,Diss.Impute.Conc.nM,Diss.LOD.nM,Diss.Conc.no.blk.sub.nM,Diss.LOD.no.blk.sub.nM
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,(3-Carboxypropyl)trimethylammonium,0.2039257873948024,0.01631406299158419,0.11419844094108932,0.01631406299158419,NA,Yes,5.234717032564405e-5,Yes,0.00178939126156222,0.034212693127217655,0.2394888518905236,0.034212693127217655,NA,0.00154358305471733,0.00154358305471733,0.0382348560162868,0.00556574594378648
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.16691552288642392,0.01335324183091391,0.04005972549274174,NA,0.01335324183091391,Yes,5.773290854041151e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,2-O-alpha-D-Glucosylglycerol,0.04431703373864987,0.00354536269909199,0.03190826429182791,NA,NA,Yes,1.6741197304606694e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,5-Hydroxyectoine,9.088635359893976e-4,7.270908287915181e-5,4.362544972749109e-4,1.4541816575830362e-4,NA,Yes,5.871464016727651e-7,No,6.379378092384597e-5,8.165492530318694e-4,0.004899295518191216,0.0016330985060637388,NA,2.981783067038601e-4,2.981783067038601e-4,0.00135156315516622,8.331922088382107e-4
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Betonicine,0.0556724092527235,0.00445379274021788,0.03117654918152516,0.00445379274021788,NA,Yes,2.408648525555309e-5,Yes,0.00253409104498148,0.026591532683088552,0.18614072878161986,0.026591532683088552,NA,5.908157657269902e-4,5.908157657269902e-4,0.02840909243252785,0.00240837551516629
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Carnitine,0.13363196474820585,0.01069055717985646,0.07483390025899528,0.01069055717985646,NA,Yes,1.647389015757741e-4,Yes,0.00180177301796011,0.015376654308744249,0.10763658016120975,0.015376654308744249,NA,7.195391209348896e-4,7.195391209348896e-4,0.01801773017960114,0.00336061499179178
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Dimethylsulfonioacetate,0.5513081891524304,0.04410465513219443,0.17641862052877771,NA,0.04410465513219443,Yes,1.444935975753952e-5,Yes,0.08281831595862674,0.8716401555862258,3.486560622344903,NA,0.8716401555862258,0.00190388134630173,0.00190388134630173,0.8736109278336154,0.00387465359369133
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Dimethylsulfoniopropionate,1.2068648892674383,0.09654919114139504,0.48274595570697526,NA,0.09654919114139504,Yes,1.1972011069971628e-4,Yes,0.23205670681449617,4.181033790375218,20.90516895187609,NA,4.181033790375218,2.457687794022725e-4,2.457687794022725e-4,4.1812019245855145,4.139029896990334e-4
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Ectoine,0.01501158650850526,0.00120092692068042,0.00720556152408252,0.00240185384136084,NA,Yes,8.627795642355144e-5,No,1.0788251713479036e-4,-0.0067649708883054695,-0.04058982532983282,-0.013529941776610939,NA,0.0026164259740440402,0.0026164259740440402,0.00226643943560483,0.01164783629795434
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Gonyol,2.7660839923778755,0.22128671939023004,1.54900703573161,NA,0.22128671939023004,Yes,9.732664307637168e-4,Yes,0.14494807629332526,1.5795521832443695,11.056865282710586,NA,1.5795521832443695,0.22373499369495736,0.22373499369495736,2.0415222013144403,0.6857050117650281
TN397,TN397_S1_U_B,220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,Hydroxyisoleucine,2.5178458656024323,0.2014276692481946,1.2085660154891675,0.2014276692481946,NA,Yes,0.00220209595538393,Yes,0.05584217828464119,0.739865779018936,4.439194674113616,0.739865779018936,NA,0.043893335439155856,0.043893335439155856,0.883578770326601,0.18760632674682085
