Cruise,Rep,Compound,detected
KM1906,220628_Smp_MU22_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU22_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU22_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU23_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU23_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU23_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU24_A,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU24_B,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU24_C,2-O-alpha-D-Glucosylglycerol,Yes
KM1906,220628_Smp_MU1_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU1_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU1_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU2_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU2_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU2_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU3_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU3_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU3_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU4_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU4_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU4_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU5_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU5_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU5_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU6_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU6_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU6_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU7_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU7_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU7_C,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU8_A,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU8_B,5-Hydroxyectoine,Yes
KM1906,220628_Smp_MU8_C,5-Hydroxyectoine,Yes
