Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
220628_Smp_MU20_A,MU20,A,KM1906,2-O-alpha-D-Glucosylglycerol,35596132,NA,NA,NA
220628_Smp_MU20_B,MU20,B,KM1906,2-O-alpha-D-Glucosylglycerol,31721272,NA,NA,NA
220628_Smp_MU20_C,MU20,C,KM1906,2-O-alpha-D-Glucosylglycerol,35236160,NA,NA,NA
220628_Smp_MU21_A,MU21,A,KM1906,2-O-alpha-D-Glucosylglycerol,9636364,NA,NA,NA
220628_Smp_MU21_B,MU21,B,KM1906,2-O-alpha-D-Glucosylglycerol,6556209,NA,NA,NA
220628_Smp_MU21_C,MU21,C,KM1906,2-O-alpha-D-Glucosylglycerol,8744436,NA,NA,NA
220628_Smp_MU22_A,MU22,A,KM1906,2-O-alpha-D-Glucosylglycerol,7177520,NA,NA,NA
220628_Smp_MU22_B,MU22,B,KM1906,2-O-alpha-D-Glucosylglycerol,12691198,NA,NA,NA
220628_Smp_MU22_C,MU22,C,KM1906,2-O-alpha-D-Glucosylglycerol,7346771,NA,NA,NA
220628_Smp_MU23_A,MU23,A,KM1906,2-O-alpha-D-Glucosylglycerol,10195841,NA,NA,NA
220628_Smp_MU23_B,MU23,B,KM1906,2-O-alpha-D-Glucosylglycerol,8396797,NA,NA,NA
220628_Smp_MU23_C,MU23,C,KM1906,2-O-alpha-D-Glucosylglycerol,9105702,NA,NA,NA
220628_Smp_MU24_A,MU24,A,KM1906,2-O-alpha-D-Glucosylglycerol,5846891,NA,NA,NA
220628_Smp_MU24_B,MU24,B,KM1906,2-O-alpha-D-Glucosylglycerol,5264926,NA,NA,NA
220628_Smp_MU24_C,MU24,C,KM1906,2-O-alpha-D-Glucosylglycerol,7508559,NA,NA,NA
220628_Std_4uMStdsMix1InH2O_1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,0,NA,NA,NA
