Part.SampID,Diss.SampID,Cruise,Compound,compound.name.figure,order,class,Part.Conc.nM,Part.C.nM,Part.N.nM,Part.S.nM,Diss.Conc.nM.adj,Diss.N.nM.adj,Diss.S.nM.adj,Total.Conc.nM,Total.C.nM,Total.N.nM,Total.S.nM,Part.Flag,Diss.Flag,Tot.Flag,Diss.LOD.nM.adj,Lat,Long,depth_m,Local_Date,Local_Time,station,Region,Treatment
220628_Smp_MU7_C,220623_Smp_MU7_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02736103998080295,0.19152727986562068,0.02736103998080295,NA,0.01500887815512212,0.01500887815512212,NA,0.04236991813592507,0.2965894269514755,0.04236991813592507,NA,NA,NA,NA,0.00313928717680363,32.18,-158,7,4/13/19,05:45:00,NA,NPSG,NA
220628_Smp_MU8_A,220623_Smp_MU8_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01692935104357838,0.11850545730504866,0.01692935104357838,NA,0.33271611826343367,0.33271611826343367,NA,0.34964546930701207,2.4475182851490844,0.34964546930701207,NA,NA,NA,NA,0.00313928717680363,34.16,-158,7,4/13/19,18:45:00,NA,NPSG,NA
220628_Smp_MU8_B,220623_Smp_MU8_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01191322006868324,0.08339254048078269,0.01191322006868324,NA,0.02838477899789401,0.02838477899789401,NA,0.04029799906657725,0.2820859934660408,0.04029799906657725,NA,NA,NA,NA,0.00313928717680363,34.16,-158,7,4/13/19,18:45:00,NA,NPSG,NA
220628_Smp_MU8_C,220623_Smp_MU8_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.0108400775299817,0.07588054270987192,0.0108400775299817,NA,0.00636702699590932,0.00636702699590932,NA,0.01720710452589102,0.12044973168123722,0.01720710452589102,NA,NA,NA,NA,0.00313928717680363,34.16,-158,7,4/13/19,18:45:00,NA,NPSG,NA
220628_Smp_MU9_A,220623_Smp_MU9_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.0199195636007986,0.13943694520559025,0.0199195636007986,NA,0.03091122191653627,0.03091122191653627,NA,0.05083078551733487,0.35581549862134415,0.05083078551733487,NA,NA,NA,NA,0.00313928717680363,35.59,-158,7,4/14/19,06:00:00,NA,NPSG,NA
220628_Smp_MU9_B,220623_Smp_MU9_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.03004943638116567,0.21034605466815973,0.03004943638116567,NA,0.11175111185129992,0.11175111185129992,NA,0.1418005482324656,0.9926038376272592,0.1418005482324656,NA,NA,NA,NA,0.00313928717680363,35.59,-158,7,4/14/19,06:00:00,NA,NPSG,NA
220628_Smp_MU9_C,220623_Smp_MU9_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02610906849758536,0.18276347948309757,0.02610906849758536,NA,0.03914301969029125,0.03914301969029125,NA,0.06525208818787662,0.4567646173151363,0.06525208818787662,NA,NA,NA,NA,0.00313928717680363,35.59,-158,7,4/14/19,06:00:00,NA,NPSG,NA
220628_Smp_MU10_A,220623_Smp_MU10_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.00952034441344288,0.06664241089410018,0.00952034441344288,NA,0.2830819469599737,0.2830819469599737,NA,0.2926022913734166,2.048216039613916,0.2926022913734166,NA,NA,NA,NA,0.00313928717680363,36.57,-158,7,4/14/19,18:20:00,NA,NPTZ,NA
220628_Smp_MU10_B,220623_Smp_MU10_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.00877805177677851,0.06144636243744963,0.00877805177677851,NA,0.22387701417329536,0.22387701417329536,NA,0.23265506595007387,1.628585461650517,0.23265506595007387,NA,NA,NA,NA,0.00313928717680363,36.57,-158,7,4/14/19,18:20:00,NA,NPTZ,NA
220628_Smp_MU10_C,220623_Smp_MU10_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.00489218111833535,0.03424526782834748,0.00489218111833535,NA,0.1959038731796978,0.1959038731796978,NA,0.20079605429803313,1.405572380086232,0.20079605429803313,NA,NA,NA,NA,0.00313928717680363,36.57,-158,7,4/14/19,18:20:00,NA,NPTZ,NA
