Compound,lat_bin,mean_lat,mean_part_conc,sd_part_conc
Homarine,"[42,43)",42.212,0.6966376358612004,0.06808072876077029
Sucrose,"[-3,-2)",-2.409,0.22159700760531972,0.2058348281156887
Sucrose,"[-2,-1)",-1.1918000000000002,0.41698626369493735,0.44612561572355536
Sucrose,"[0,1)",0.15163333333333334,0.3562165500632075,0.2920715020847989
Sucrose,"[1,2)",1.1248,0.26105770504204934,0.005863606560015702
Sucrose,"[3,4)",3.2711,0.369969849897906,0.25504442824340823
Sucrose,"[4,5)",4.7578125,0.3130469138040164,0.2746533600879128
Sucrose,"[6,7)",6.62985,0.3364243825527839,0.17868106638045023
Sucrose,"[8,9)",8.388,0.22429733388871356,0.048614340173545115
Sucrose,"[9,10)",9.2497,0.20499808699243457,0.010889516753906989
Sucrose,"[10,11)",10.69765,0.2653916012007895,0.19509621351137169
Sucrose,"[11,12)",11.92,0.16715517868151714,0.0058849498834764175
Sucrose,"[12,13)",12.389,0.40385819355751534,0.09699094582227628
Sucrose,"[13,14)",13.9487,0.15149834811781024,0.01964059070161903
Sucrose,"[14,15)",14.772,0.11486522159706682,0.0034425079781340664
Sucrose,"[19,20)",19.655566666666665,0.29966150181224477,0.08447873833862078
Sucrose,"[21,22)",21,0.16770420042296957,0.001982617462797439
Sucrose,"[22,23)",22.24,0.12861508193385604,0.013455791970414835
Sucrose,"[24,25)",24.265,0.13649107340209576,0.0509143563366092
Sucrose,"[25,26)",25.765,0.21467113807537183,0.037082001119684335
Sucrose,"[27,28)",27.26865,0.19792724418347454,0.04198749914902478
Sucrose,"[28,29)",28.32288,0.08688596189262915,0.029731138610323796
Sucrose,"[29,30)",29.28,0.11161984130617379,0.00762762915555834
Sucrose,"[31,32)",31.17,0.12837460992504365,0.021794720259055732
Sucrose,"[32,33)",32.18,0.059901596116359,0.0019028481144650312
Sucrose,"[33,34)",33.34,0.20307251498168225,0.010224611227994477
Sucrose,"[34,35)",34.275,0.12527773463679348,0.0776252972758293
Sucrose,"[35,36)",35.57,0.0786479225864042,0.032520441827150075
Sucrose,"[36,37)",36.57,0.05439517211698362,0.00750837495896963
Sucrose,"[37,38)",37.43,0.13740879694479569,0.025906850078576366
Sucrose,"[38,39)",38.515,0.04605327516310747,0.016235764561415303
Sucrose,"[40,41)",40.31,0.051335674815800855,0.023794577789327285
Sucrose,"[42,43)",42.212,0.04877937096036721,0.012809840264092274
