SampID,MF,Area,Batch
220111_Smp_SA16_A,"L-Cysteic acid, 2H3",5165815,Bacteria
220111_Smp_SA16_B,"L-Cysteic acid, 2H3",5462224,Bacteria
220111_Smp_SA16_C,"L-Cysteic acid, 2H3",4789071,Bacteria
220111_Smp_SA36_A,"L-Cysteic acid, 2H3",5181286,Bacteria
220111_Smp_SA36_B,"L-Cysteic acid, 2H3",5641764,Bacteria
220111_Smp_SA36_C,"L-Cysteic acid, 2H3",4620120,Bacteria
220111_Smp_SA42_A,"L-Cysteic acid, 2H3",5978077,Bacteria
220111_Smp_SA44_B,"L-Cysteic acid, 2H3",6019139,Bacteria
220111_Smp_SA44_C,"L-Cysteic acid, 2H3",5419322,Bacteria
220111_Smp_SA48_A,"L-Cysteic acid, 2H3",4957421,Bacteria
220111_Smp_SA48_B,"L-Cysteic acid, 2H3",4763596,Bacteria
220111_Smp_SA48_C,"L-Cysteic acid, 2H3",4590198,Bacteria
220111_Smp_SA53_A,"L-Cysteic acid, 2H3",5103826,Bacteria
220111_Smp_SA53_B,"L-Cysteic acid, 2H3",5124130,Bacteria
220111_Smp_SA53_C,"L-Cysteic acid, 2H3",4558389,Bacteria
220111_Smp_SA55_A,"L-Cysteic acid, 2H3",7388474,Bacteria
220111_Smp_SA55_B,"L-Cysteic acid, 2H3",6471617,Bacteria
220111_Smp_SA55_C,"L-Cysteic acid, 2H3",7530122,Bacteria
220111_Smp_SA59_A,"L-Cysteic acid, 2H3",4480917,Bacteria
220111_Smp_SA59_B,"L-Cysteic acid, 2H3",4708642,Bacteria
220111_Smp_SA59_C,"L-Cysteic acid, 2H3",4689933,Bacteria
