Cruise,SampID,Compound,detected,Diss.Conc.Vial.uM,Diss.Conc.nM,Diss.Conc.C.nM,Diss.Conc.N.nM,Diss.Conc.S.nM,impute.conc.nM,LOD.nM,Diss.Conc.no.blk.sub.nM,LOD.no.blk.sub.nM
KM1906,220623_Smp_MU12_B,(3-Carboxypropyl)trimethylammonium,Yes,0.02449783525480206,0.5194468273807018,3.6361277916649124,0.5194468273807018,NA,0.0031392871768036396,0.0031392871768036396,0.5234580182650013,0.00715047806110314
KM1906,220623_Smp_MU12_C,(3-Carboxypropyl)trimethylammonium,Yes,0.06412194918269798,1.3661159284041184,9.562811498828829,1.3661159284041184,NA,0.0031392871768036396,0.0031392871768036396,1.370127119288418,0.00715047806110314
KM1906,220623_Smp_MU13_A,(3-Carboxypropyl)trimethylammonium,Yes,0.00156808517268368,0.029494902549112502,0.20646431784378752,0.029494902549112502,NA,0.0031392871768036396,0.0031392871768036396,0.033506093433412,0.00715047806110314
KM1906,220623_Smp_MU13_B,(3-Carboxypropyl)trimethylammonium,Yes,0.00149959512568566,0.02803144000641975,0.19622008004493827,0.02803144000641975,NA,0.0031392871768036396,0.0031392871768036396,0.03204263089071925,0.00715047806110314
KM1906,220623_Smp_MU13_C,(3-Carboxypropyl)trimethylammonium,Yes,0.00719297738281239,0.1496849070390422,1.0477943492732953,0.1496849070390422,NA,0.0031392871768036396,0.0031392871768036396,0.15369609792334168,0.00715047806110314
KM1906,220623_Smp_MU14_A,(3-Carboxypropyl)trimethylammonium,Yes,0.00574553473753528,0.11875664538782194,0.8312965177147535,0.11875664538782194,NA,0.0031392871768036396,0.0031392871768036396,0.12276783627212144,0.00715047806110314
KM1906,220623_Smp_MU14_B,(3-Carboxypropyl)trimethylammonium,Yes,0.00603438274723954,0.12492861140714377,0.8745002798500064,0.12492861140714377,NA,0.0031392871768036396,0.0031392871768036396,0.12893980229144328,0.00715047806110314
KM1906,220623_Smp_MU14_C,(3-Carboxypropyl)trimethylammonium,Yes,0.00308129277424719,0.06182839830901667,0.43279878816311673,0.06182839830901667,NA,0.0031392871768036396,0.0031392871768036396,0.06583958919331617,0.00715047806110314
KM1906,220623_Smp_MU15_A,(3-Carboxypropyl)trimethylammonium,Yes,0.00281297692672625,0.05609515370386843,0.39266607592707903,0.05609515370386843,NA,0.0031392871768036396,0.0031392871768036396,0.06010634458816793,0.00715047806110314
KM1906,220623_Smp_MU15_B,(3-Carboxypropyl)trimethylammonium,Yes,0.00532021537540604,0.10966862482950482,0.7676803738065338,0.10966862482950482,NA,0.0031392871768036396,0.0031392871768036396,0.11367981571380432,0.00715047806110314
KM1906,220623_Smp_MU15_C,(3-Carboxypropyl)trimethylammonium,Yes,0.00334473002156843,0.06745739932015428,0.47220179524107997,0.06745739932015428,NA,0.0031392871768036396,0.0031392871768036396,0.07146859020445379,0.00715047806110314
KM1906,220623_Smp_MU16_A,(3-Carboxypropyl)trimethylammonium,Yes,0.00348014324189712,0.0703508441989724,0.4924559093928068,0.0703508441989724,NA,0.0031392871768036396,0.0031392871768036396,0.07436203508327191,0.00715047806110314
KM1906,220623_Smp_MU16_B,(3-Carboxypropyl)trimethylammonium,Yes,0.00225901311467893,0.04425832011311355,0.30980824079179486,0.04425832011311355,NA,0.0031392871768036396,0.0031392871768036396,0.04826951099741305,0.00715047806110314
KM1906,220623_Smp_MU16_C,(3-Carboxypropyl)trimethylammonium,Yes,0.00947033337728506,0.19834635991238986,1.388424519386729,0.19834635991238986,NA,0.0031392871768036396,0.0031392871768036396,0.20235755079668935,0.00715047806110314
KM1906,220623_Smp_MU17_A,(3-Carboxypropyl)trimethylammonium,Yes,0.00275272005036911,0.05480761361076706,0.3836532952753694,0.05480761361076706,NA,0.0031392871768036396,0.0031392871768036396,0.05881880449506656,0.00715047806110314
