Part.SampID,Diss.SampID,Cruise,Lat,Long,Local_Date,Local_Time,depth_m,UTC.time.round,sst,sss,lat,lon,chla,pc,pn,N_N,SRP,bact_abu,bact_c,chla_interp,pc_interp,pn_interp,N_N_interp,SRP_interp,bact_abu_interp,bact_c_interp,DON,pp_13c,pp_14c,DON_interp,pp_13c_interp,pp_14c_interp
220902_Smp_TN397_S14_U_B,220602_Smp_TN397_S14_U_B,TN397,3.5272,-144.4492,9/12/21,06:27:00,7,2021-12-09T15:00:00Z,26.716792333333338,34.6513865,3.5198607618333333,-144.44435321689352,0.02582957095874163,NA,NA,NA,NA,NA,NA,0.02582957095874163,2.4298774748917067,0.41760439779934744,2.8952007516685163,NA,556.7012957955956,6.454067905249956,NA,NA,NA,5.343989870740072,12.920851932020392,22.27416536351147
220902_Smp_TN397_S14_U_C,220602_Smp_TN397_S14_U_C,TN397,3.5272,-144.4492,9/12/21,06:27:00,7,2021-12-09T15:00:00Z,26.716792333333338,34.6513865,3.5198607618333333,-144.44435321689352,0.02582957095874163,NA,NA,NA,NA,NA,NA,0.02582957095874163,2.4298774748917067,0.41760439779934744,2.8952007516685163,NA,556.7012957955956,6.454067905249956,NA,NA,NA,5.343989870740072,12.920851932020392,22.27416536351147
220902_Smp_TN397_S15_U_A,220602_Smp_TN397_S15_U_A,TN397,6.4995,-146.652,10/12/21,06:30:00,7,2021-12-10T16:00:00Z,27.24140468703649,34.83133417383566,6.4995525327598145,-146.652080430441,0.15426540460004923,NA,NA,NA,NA,NA,NA,0.15426540460004923,2.074776721232379,0.35489120967905435,2.004084150777374,NA,691.0307103712731,7.762474674055277,NA,NA,NA,5.618248552276243,12.77890886585171,18.174582839929663
220902_Smp_TN397_S15_U_B,220602_Smp_TN397_S15_U_B,TN397,6.4995,-146.652,10/12/21,06:30:00,7,2021-12-10T16:00:00Z,27.24140468703649,34.83133417383566,6.4995525327598145,-146.652080430441,0.15426540460004923,NA,NA,NA,NA,NA,NA,0.15426540460004923,2.074776721232379,0.35489120967905435,2.004084150777374,NA,691.0307103712731,7.762474674055277,NA,NA,NA,5.618248552276243,12.77890886585171,18.174582839929663
220902_Smp_TN397_S15_U_C,220602_Smp_TN397_S15_U_C,TN397,6.4995,-146.652,10/12/21,06:30:00,7,2021-12-10T16:00:00Z,27.24140468703649,34.83133417383566,6.4995525327598145,-146.652080430441,0.15426540460004923,NA,NA,NA,NA,NA,NA,0.15426540460004923,2.074776721232379,0.35489120967905435,2.004084150777374,NA,691.0307103712731,7.762474674055277,NA,NA,NA,5.618248552276243,12.77890886585171,18.174582839929663
220902_Smp_TN397_S16_U_A,220602_Smp_TN397_S16_U_A,TN397,9.2497,-148.6967,11/12/21,06:00:00,7,2021-12-11T16:00:00Z,27.689131888888888,34.14297630555556,9.24975721513426,-148.69672765075464,0.05383168779918155,NA,NA,NA,NA,NA,NA,0.05383168779918155,1.394714452043308,0.23353176740563533,NA,NA,467.80904367720905,5.235727204685299,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S16_U_B,220602_Smp_TN397_S16_U_B,TN397,9.2497,-148.6967,11/12/21,06:00:00,7,2021-12-11T16:00:00Z,27.689131888888888,34.14297630555556,9.24975721513426,-148.69672765075464,0.05383168779918155,NA,NA,NA,NA,NA,NA,0.05383168779918155,1.394714452043308,0.23353176740563533,NA,NA,467.80904367720905,5.235727204685299,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S16_U_C,220602_Smp_TN397_S16_U_C,TN397,9.2497,-148.6967,11/12/21,06:00:00,7,2021-12-11T16:00:00Z,27.689131888888888,34.14297630555556,9.24975721513426,-148.69672765075464,0.05383168779918155,NA,NA,NA,NA,NA,NA,0.05383168779918155,1.394714452043308,0.23353176740563533,NA,NA,467.80904367720905,5.235727204685299,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S17_U_A,220602_Smp_TN397_S17_U_A,TN397,11.92,-150.6948,12/12/21,06:00:00,7,2021-12-12T16:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220902_Smp_TN397_S17_U_B,220602_Smp_TN397_S17_U_B,TN397,11.92,-150.6948,12/12/21,06:00:00,7,2021-12-12T16:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
