Batch,Type,Organism,SampID,Compound,Part.Conc.Vial.uM,Part.Conc.uM,Part.Conc.C.uM,Part.Conc.N.uM,Part.Conc.S.uM,Detected
Cyano,Cyano,WH8501,211221_Smp_8501_B,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Cyano,Cyano,WH8501,211221_Smp_8501_C,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Cyano,Cyano,WH8501,211221_Smp_8501_D,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Cyano,Cyano,As9601,211221_Smp_As9601_A,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Cyano,Cyano,As9601,211221_Smp_As9601_B,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Cyano,Cyano,As9601,211221_Smp_As9601_C,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Cyano,Cyano,MED4,211221_Smp_MED4_D,(3-Carboxypropyl)trimethylammonium,3.6104358054060005e-5,1.8052179027030006e-7,1.2636525318921003e-6,1.8052179027030006e-7,NA,No
Cyano,Cyano,MED4,211221_Smp_MED4_E,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Cyano,Cyano,MED4,211221_Smp_MED4_F,(3-Carboxypropyl)trimethylammonium,6.929674913622894e-5,3.464837456811447e-7,2.425386219768013e-6,3.464837456811447e-7,NA,No
Cyano,Cyano,NATL2A,211221_Smp_Nat_A,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Cyano,Cyano,NATL2A,211221_Smp_Nat_B,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Cyano,Cyano,NATL2A,211221_Smp_Nat_C,(3-Carboxypropyl)trimethylammonium,5.971116448493961e-5,9.553786317590335e-7,6.6876504223132365e-6,9.553786317590335e-7,NA,No
Diatom,NA,NA,211215_Blk_MediaBlk_A,(3-Carboxypropyl)trimethylammonium,3.716881828349655e-5,NA,NA,NA,NA,NA
Diatom,NA,NA,211215_Blk_MediaBlk_B,(3-Carboxypropyl)trimethylammonium,1.1415322521429102e-5,NA,NA,NA,NA,NA
Diatom,NA,NA,211215_Blk_MediaBlk_Fc,(3-Carboxypropyl)trimethylammonium,0,NA,NA,NA,NA,NA
Diatom,NA,NA,211215_Blk_MediaBlk_Pc55x,(3-Carboxypropyl)trimethylammonium,1.383702737810452e-5,NA,NA,NA,NA,NA
Diatom,NA,NA,211215_Blk_MediaBlk_Z,(3-Carboxypropyl)trimethylammonium,1.5148409066291828e-5,NA,NA,NA,NA,NA
Diatom,Diatom,Cy,211215_Smp_Cy_A,(3-Carboxypropyl)trimethylammonium,0.09126665589422216,6.084443726281477e-4,0.00425911060839703,6.084443726281477e-4,NA,Yes
Diatom,Diatom,Cy,211215_Smp_Cy_B,(3-Carboxypropyl)trimethylammonium,0.08039655006249559,5.359770004166372e-4,0.00375183900291646,5.359770004166372e-4,NA,Yes
Diatom,Diatom,Cy,211215_Smp_Cy_C,(3-Carboxypropyl)trimethylammonium,0.08938804310886199,5.959202873924133e-4,0.00417144201174689,5.959202873924133e-4,NA,Yes
Diatom,Diatom,Fc,211215_Smp_Fc_A,(3-Carboxypropyl)trimethylammonium,0.04869871715329334,NA,NA,NA,NA,Yes
Diatom,Diatom,Fc,211215_Smp_Fc_B,(3-Carboxypropyl)trimethylammonium,0.05441433372946643,NA,NA,NA,NA,Yes
Diatom,Diatom,Fc,211215_Smp_Fc_C,(3-Carboxypropyl)trimethylammonium,0.04606049027614246,NA,NA,NA,NA,Yes
Diatom,Diatom,Np,211215_Smp_Np_A,(3-Carboxypropyl)trimethylammonium,0.02615376126256055,1.1623893894471356e-4,8.13672572612995e-4,1.1623893894471356e-4,NA,Yes
Diatom,Diatom,Np,211215_Smp_Np_C,(3-Carboxypropyl)trimethylammonium,0.01231782020063709,4.9271280802548365e-5,3.4489896561783857e-4,4.9271280802548365e-5,NA,Yes
Diatom,Diatom,Np,211215_Smp_Np_F,(3-Carboxypropyl)trimethylammonium,0.02106252741800317,8.425010967201268e-5,5.897507677040888e-4,8.425010967201268e-5,NA,Yes
Diatom,Diatom,Pc55x,211215_Smp_Pc55x_A,(3-Carboxypropyl)trimethylammonium,8.209516229724782,0.04378408655853217,0.3064886059097252,0.04378408655853217,NA,Yes
Diatom,Diatom,Pc55x,211215_Smp_Pc55x_B,(3-Carboxypropyl)trimethylammonium,10.686275254358565,0.05699346802324567,0.39895427616271967,0.05699346802324567,NA,Yes
Diatom,Diatom,Pc55x,211215_Smp_Pc55x_C,(3-Carboxypropyl)trimethylammonium,6.849599903140622,0.03653119948341665,0.2557183963839165,0.03653119948341665,NA,Yes
Diatom,Diatom,Pt,211215_Smp_Pt_C,(3-Carboxypropyl)trimethylammonium,0.5325257318971773,0.0021301029275887,0.01491072049312096,0.0021301029275887,NA,Yes
Diatom,Diatom,Pt,211215_Smp_Pt_F,(3-Carboxypropyl)trimethylammonium,0.4582817705951235,0.00183312708238049,0.01283188957666345,0.00183312708238049,NA,Yes
Diatom,Diatom,To,211215_Smp_To_A,(3-Carboxypropyl)trimethylammonium,0.18659332548808483,7.463733019523394e-4,0.00522461311366637,7.463733019523394e-4,NA,Yes
Diatom,Diatom,To,211215_Smp_To_B,(3-Carboxypropyl)trimethylammonium,0.18733843035684947,7.493537214273977e-4,0.00524547604999178,7.493537214273977e-4,NA,Yes
Diatom,Diatom,To,211215_Smp_To_C,(3-Carboxypropyl)trimethylammonium,0.09586830924243855,3.834732369697543e-4,0.00268431265878828,3.834732369697543e-4,NA,Yes
Diatom,Diatom,Tp,211215_Smp_Tp_A,(3-Carboxypropyl)trimethylammonium,0.12303156132542135,4.2793586547972646e-4,0.00299555105835808,4.2793586547972646e-4,NA,Yes
Diatom,Diatom,Tp,211215_Smp_Tp_E,(3-Carboxypropyl)trimethylammonium,0.09849302918828846,3.9397211675315383e-4,0.00275780481727207,3.9397211675315383e-4,NA,Yes
Diatom,Diatom,Tp,211215_Smp_Tp_F,(3-Carboxypropyl)trimethylammonium,0.11259184676253504,3.9162381482620885e-4,0.00274136670378346,3.9162381482620885e-4,NA,Yes
Dino_Green,NA,NA,211218_Blk_MediaBlk_21,(3-Carboxypropyl)trimethylammonium,0,NA,NA,NA,NA,NA
Dino_Green,NA,NA,211218_Blk_MediaBlk_49,(3-Carboxypropyl)trimethylammonium,7.933463033721795e-5,NA,NA,NA,NA,NA
Dino_Green,NA,NA,211218_Blk_MediaBlk_71,(3-Carboxypropyl)trimethylammonium,0,NA,NA,NA,NA,NA
Dino_Green,NA,NA,211218_Blk_MediaBlk_3430,(3-Carboxypropyl)trimethylammonium,0,NA,NA,NA,NA,NA
Dino_Green,NA,NA,211218_Blk_MediaBlk_N,(3-Carboxypropyl)trimethylammonium,0,NA,NA,NA,NA,NA
Dino_Green,NA,NA,211218_Blk_MediaBlk_O,(3-Carboxypropyl)trimethylammonium,0,NA,NA,NA,NA,NA
Dino_Green,Dino,449,211218_Smp_449_A,(3-Carboxypropyl)trimethylammonium,0.6201458570927811,0.01033576428487968,0.07235034999415779,0.01033576428487968,NA,Yes
Dino_Green,Dino,449,211218_Smp_449_B,(3-Carboxypropyl)trimethylammonium,0.7972404038055465,0.01328734006342577,0.09301138044398044,0.01328734006342577,NA,Yes
Dino_Green,Dino,449,211218_Smp_449_C,(3-Carboxypropyl)trimethylammonium,0.7299447616548883,0.01216574602758147,0.0851602221930703,0.01216574602758147,NA,Yes
Dino_Green,Dino,1314,211218_Smp_1314_A,(3-Carboxypropyl)trimethylammonium,0.5600795705414682,0.00933465950902446,0.06534261656317128,0.00933465950902446,NA,Yes
Dino_Green,Dino,1314,211218_Smp_1314_B,(3-Carboxypropyl)trimethylammonium,0.4975562270343368,0.00829260378390561,0.05804822648733928,0.00829260378390561,NA,Yes
Dino_Green,Dino,1314,211218_Smp_1314_C,(3-Carboxypropyl)trimethylammonium,0.4953007465154818,0.00825501244192469,0.05778508709347287,0.00825501244192469,NA,Yes
Dino_Green,Prasinophyte,1545,211218_Smp_1545_A,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Dino_Green,Prasinophyte,1545,211218_Smp_1545_B,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Dino_Green,Prasinophyte,1545,211218_Smp_1545_C,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Dino_Green,Dino,1771,211218_Smp_1771_A,(3-Carboxypropyl)trimethylammonium,0.5709348399355286,0.00951558066559214,0.066609064659145,0.00951558066559214,NA,Yes
Dino_Green,Dino,1771,211218_Smp_1771_B,(3-Carboxypropyl)trimethylammonium,0.7321438831388474,0.01220239805231412,0.08541678636619884,0.01220239805231412,NA,Yes
Dino_Green,Dino,1771,211218_Smp_1771_C,(3-Carboxypropyl)trimethylammonium,0.5263408766775458,0.00877234794462576,0.06140643561238033,0.00877234794462576,NA,Yes
Dino_Green,Dino,2021,211218_Smp_2021_A,(3-Carboxypropyl)trimethylammonium,8.189766555639965,0.06685523718889767,0.4679866603222837,0.06685523718889767,NA,Yes
Dino_Green,Dino,2021,211218_Smp_2021_B,(3-Carboxypropyl)trimethylammonium,8.608837835292892,0.07027622722688075,0.4919335905881652,0.07027622722688075,NA,Yes
Dino_Green,Dino,2021,211218_Smp_2021_C,(3-Carboxypropyl)trimethylammonium,4.530892887147345,0.07551488145245573,0.5286041701671901,0.07551488145245573,NA,Yes
Dino_Green,Prasinophyte,3430,211218_Smp_3430_A,(3-Carboxypropyl)trimethylammonium,9.488204678466892e-5,1.518112748554703e-6,1.0626789239882922e-5,1.518112748554703e-6,NA,No
Dino_Green,Prasinophyte,3430,211218_Smp_3430_B,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Dino_Green,Prasinophyte,3430,211218_Smp_3430_C,(3-Carboxypropyl)trimethylammonium,0,0,0,0,NA,No
Haptophyte,NA,NA,220104_Blk_MediaBlk_C,(3-Carboxypropyl)trimethylammonium,0,NA,NA,NA,NA,NA
Haptophyte,NA,NA,220104_Blk_MediaBlk_H,(3-Carboxypropyl)trimethylammonium,1.5159064868817124e-5,NA,NA,NA,NA,NA
Haptophyte,NA,NA,220104_Blk_MediaBlk_LInoSi,(3-Carboxypropyl)trimethylammonium,0,NA,NA,NA,NA,NA
Haptophyte,NA,NA,220104_Blk_MediaBlk_RAC5,(3-Carboxypropyl)trimethylammonium,1.0312264123510704e-4,NA,NA,NA,NA,NA
Haptophyte,Haptophyte,116,220104_Smp_116-1_A,(3-Carboxypropyl)trimethylammonium,0.0054037874726477,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,116,220104_Smp_116-1_B,(3-Carboxypropyl)trimethylammonium,0.00609204416065812,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,116,220104_Smp_116-1_C,(3-Carboxypropyl)trimethylammonium,0.00532160784279016,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,371,220104_Smp_371_A,(3-Carboxypropyl)trimethylammonium,0.00866569535641583,4.6217041900884456e-5,3.235192933061912e-4,4.6217041900884456e-5,NA,Yes
Haptophyte,Haptophyte,371,220104_Smp_371_B,(3-Carboxypropyl)trimethylammonium,0.01126430904030212,6.007631488161134e-5,4.2053420417127935e-4,6.007631488161134e-5,NA,Yes
Haptophyte,Haptophyte,371,220104_Smp_371_C,(3-Carboxypropyl)trimethylammonium,0.00600087744935819,4.8007019594865555e-5,3.360491371640589e-4,4.8007019594865555e-5,NA,Yes
Haptophyte,Haptophyte,2090,220104_Smp_2090_A,(3-Carboxypropyl)trimethylammonium,0.00230818269390866,2.051717950141036e-5,1.4362025650987252e-4,2.051717950141036e-5,NA,Yes
Haptophyte,Haptophyte,2090,220104_Smp_2090_B,(3-Carboxypropyl)trimethylammonium,2.968958314551256e-4,2.375166651641005e-6,1.6626166561487035e-5,2.375166651641005e-6,NA,Yes
Haptophyte,Haptophyte,2090,220104_Smp_2090_C,(3-Carboxypropyl)trimethylammonium,0.00649346835199352,5.19477468159482e-5,3.636342277116374e-4,5.19477468159482e-5,NA,Yes
Haptophyte,Haptophyte,Ca,220104_Smp_Ca_A,(3-Carboxypropyl)trimethylammonium,0.1511969156814022,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Ca,220104_Smp_Ca_B,(3-Carboxypropyl)trimethylammonium,0.1594617798840361,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Ca,220104_Smp_Ca_C,(3-Carboxypropyl)trimethylammonium,0.13978078170597105,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cr,220104_Smp_Cr_A,(3-Carboxypropyl)trimethylammonium,0.08511947076036364,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cr,220104_Smp_Cr_B,(3-Carboxypropyl)trimethylammonium,0.06967098892257073,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cr,220104_Smp_Cr_C,(3-Carboxypropyl)trimethylammonium,0.07328422030658645,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cs,220104_Smp_Cs_A,(3-Carboxypropyl)trimethylammonium,0.6380819916931072,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cs,220104_Smp_Cs_B,(3-Carboxypropyl)trimethylammonium,0.7508580542942195,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cs,220104_Smp_Cs_C,(3-Carboxypropyl)trimethylammonium,0.6306491372135801,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,P3,220104_Smp_P3_A,(3-Carboxypropyl)trimethylammonium,3.846580679113008e-4,NA,NA,NA,NA,No
Haptophyte,Haptophyte,P3,220104_Smp_P3_B,(3-Carboxypropyl)trimethylammonium,1.6156612605294464e-4,NA,NA,NA,NA,No
Haptophyte,Haptophyte,P3,220104_Smp_P3_C,(3-Carboxypropyl)trimethylammonium,1.949299795217684e-4,NA,NA,NA,NA,No
Haptophyte,Haptophyte,P5,220104_Smp_P5-5_A,(3-Carboxypropyl)trimethylammonium,0.00446515911532119,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,P5,220104_Smp_P5-5_B,(3-Carboxypropyl)trimethylammonium,0.00329780495937876,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,P5,220104_Smp_P5-5_C,(3-Carboxypropyl)trimethylammonium,0.00444019662719261,NA,NA,NA,NA,Yes
Haptophyte,NA,NA,220104_Blk_MediaBlk_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,NA
Haptophyte,NA,NA,220104_Blk_MediaBlk_H,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,NA
Haptophyte,NA,NA,220104_Blk_MediaBlk_LInoSi,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,NA
Haptophyte,NA,NA,220104_Blk_MediaBlk_RAC5,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,NA
Haptophyte,Haptophyte,116,220104_Smp_116-1_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,No
Haptophyte,Haptophyte,116,220104_Smp_116-1_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,No
Haptophyte,Haptophyte,116,220104_Smp_116-1_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,No
Haptophyte,Haptophyte,371,220104_Smp_371_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",7.182417566176884,0.03830622701961005,0.11491868105883014,NA,0.03830622701961005,Yes
Haptophyte,Haptophyte,371,220104_Smp_371_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",7.888553179869839,0.04207228362597247,0.1262168508779174,NA,0.04207228362597247,Yes
Haptophyte,Haptophyte,371,220104_Smp_371_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",7.09990270103698,0.05679922160829583,0.1703976648248875,NA,0.05679922160829583,Yes
Haptophyte,Haptophyte,2090,220104_Smp_2090_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",3.237768233297837,0.02878016207375855,0.08634048622127566,NA,0.02878016207375855,Yes
Haptophyte,Haptophyte,2090,220104_Smp_2090_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",4.52271618923928,0.03618172951391424,0.10854518854174272,NA,0.03618172951391424,Yes
Haptophyte,Haptophyte,2090,220104_Smp_2090_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",6.687118624511593,0.05349694899609274,0.1604908469882782,NA,0.05349694899609274,Yes
Haptophyte,Haptophyte,Ca,220104_Smp_Ca_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.12591740711118285,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Ca,220104_Smp_Ca_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.10218676631281937,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Ca,220104_Smp_Ca_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.14129369274508988,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cr,220104_Smp_Cr_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.19773866282769925,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cr,220104_Smp_Cr_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.1994158321160504,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cr,220104_Smp_Cr_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.18712244889107316,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cs,220104_Smp_Cs_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.2411566953611993,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cs,220104_Smp_Cs_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.2513964231322407,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,Cs,220104_Smp_Cs_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",0.23052176710253763,NA,NA,NA,NA,Yes
Haptophyte,Haptophyte,P3,220104_Smp_P3_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,No
Haptophyte,Haptophyte,P3,220104_Smp_P3_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,No
Haptophyte,Haptophyte,P3,220104_Smp_P3_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,No
Haptophyte,Haptophyte,P5,220104_Smp_P5-5_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,No
Haptophyte,Haptophyte,P5,220104_Smp_P5-5_B,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,No
Haptophyte,Haptophyte,P5,220104_Smp_P5-5_C,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,No
Bacteria,NA,NA,220111_Blk_MediaBlk_A,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,NA
Bacteria,NA,NA,220111_Blk_MediaBlk_AMS,"(R)-2,3-Dihydroxypropane-1-sulfonate",11.762744861675596,NA,NA,NA,NA,NA
Bacteria,NA,NA,220111_Blk_MediaBlk_AOA,"(R)-2,3-Dihydroxypropane-1-sulfonate",0,NA,NA,NA,NA,NA
