Part.SampID,replicate,SampID.shared,Diss.SampID
NA,C,UKH4_0nM,220602_Smp_TN397_UKH4_0nM_C
NA,A,UKH5_0nM,220602_Smp_TN397_UKH5_0nM_A
NA,B,UKH5_0nM,220602_Smp_TN397_UKH5_0nM_B
NA,C,UKH5_0nM,220602_Smp_TN397_UKH5_0nM_C
NA,A,UKT1_0nM,220602_Smp_TN397_UKT1_0nM_A
NA,B,UKT1_0nM,220602_Smp_TN397_UKT1_0nM_B
NA,C,UKT1_0nM,220602_Smp_TN397_UKT1_0nM_C
NA,A,UKT2_0nM,220602_Smp_TN397_UKT2_0nM_A
NA,B,UKT2_0nM,220602_Smp_TN397_UKT2_0nM_B
NA,C,UKT2_0nM,220602_Smp_TN397_UKT2_0nM_C
NA,A,UKT3_0nM,220602_Smp_TN397_UKT3_0nM_A
NA,B,UKT3_0nM,220602_Smp_TN397_UKT3_0nM_B
NA,C,UKT3_0nM,220602_Smp_TN397_UKT3_0nM_C
NA,A,UKT4_0nM,220602_Smp_TN397_UKT4_0nM_A
NA,B,UKT4_0nM,220602_Smp_TN397_UKT4_0nM_B
NA,C,UKT4_0nM,220602_Smp_TN397_UKT4_0nM_C
NA,A,UKT5_0nM,220602_Smp_TN397_UKT5_0nM_A
NA,B,UKT5_0nM,220602_Smp_TN397_UKT5_0nM_B
NA,C,UKT5_0nM,220602_Smp_TN397_UKT5_0nM_C
NA,A,UnfiltMQ1,220602_Smp_TN397_UnfiltMQ1_A
NA,B,UnfiltMQ1,220602_Smp_TN397_UnfiltMQ1_B
NA,C,UnfiltMQ1,220602_Smp_TN397_UnfiltMQ1_C
221006_Smp_S1_C1_5m_A,A,S1_C1_5m,NA
221006_Smp_S1_C1_5m_B,B,S1_C1_5m,NA
221006_Smp_S1_C1_5m_C,C,S1_C1_5m,NA
221006_Smp_S1_C1_DCM_A,A,S1_C1_DCM,NA
221006_Smp_S1_C1_DCM_B,B,S1_C1_DCM,NA
221006_Smp_S1_C1_DCM_C,C,S1_C1_DCM,NA
221006_Smp_S2_C1_SRF_A,A,S2_C1_SRF,NA
221006_Smp_S2_C1_SRF_B,B,S2_C1_SRF,NA
221006_Smp_S2_C1_SRF_C,C,S2_C1_SRF,NA
221006_Smp_S2_C2_D1_A,A,S2_C2_D1,NA
221006_Smp_S2_C2_D1_B,B,S2_C2_D1,NA
221006_Smp_S2_C2_D1_C,C,S2_C2_D1,NA
221006_Smp_S2_C2_D2_A,A,S2_C2_D2,NA
221006_Smp_S2_C2_D2_B,B,S2_C2_D2,NA
221006_Smp_S2_C2_D2_C,C,S2_C2_D2,NA
221006_Smp_S2_C3_D3_A,A,S2_C3_D3,NA
221006_Smp_S2_C3_D3_B,B,S2_C3_D3,NA
221006_Smp_S2_C3_D3_C,C,S2_C3_D3,NA
221006_Smp_S2_C3_D4_A,A,S2_C3_D4,NA
221006_Smp_S2_C3_D4_B,B,S2_C3_D4,NA
221006_Smp_S2_C3_D4_C,C,S2_C3_D4,NA
221006_Smp_S2_C4_D5_A,A,S2_C4_D5,240415_Smp_S2_C4_D5_A
221006_Smp_S2_C4_D5_B,B,S2_C4_D5,240415_Smp_S2_C4_D5_B
221006_Smp_S2_C4_D5_C,C,S2_C4_D5,240415_Smp_S2_C4_D5_C
221006_Smp_S2_C4_D6_A,A,S2_C4_D6,240415_Smp_S2_C4_D6_A
221006_Smp_S2_C4_D6_B,B,S2_C4_D6,240415_Smp_S2_C4_D6_B
221006_Smp_S2_C4_D6_C,C,S2_C4_D6,240415_Smp_S2_C4_D6_C
221006_Smp_S3_C1_D1_A,A,S3_C1_D1,NA
221006_Smp_S3_C1_D1_B,B,S3_C1_D1,NA
221006_Smp_S3_C1_D1_C,C,S3_C1_D1,NA
221006_Smp_S3_C1_D2_A,A,S3_C1_D2,NA
221006_Smp_S3_C1_D2_B,B,S3_C1_D2,NA
221006_Smp_S3_C1_D2_C,C,S3_C1_D2,NA
221006_Smp_S3_C2_D3_A,A,S3_C2_D3,240415_Smp_S3_C2_D3_A
221006_Smp_S3_C2_D3_B,B,S3_C2_D3,240415_Smp_S3_C2_D3_B
221006_Smp_S3_C2_D3_C,C,S3_C2_D3,240415_Smp_S3_C2_D3_C
221006_Smp_S3_C2_D4_A,A,S3_C2_D4,240415_Smp_S3_C2_D4_A
221006_Smp_S3_C2_D4_B,B,S3_C2_D4,240415_Smp_S3_C2_D4_B
221006_Smp_S3_C2_D4_C,C,S3_C2_D4,240415_Smp_S3_C2_D4_C
221006_Smp_S4_C1_D1_A,A,S4_C1_D1,NA
221006_Smp_S4_C1_D1_B,B,S4_C1_D1,NA
221006_Smp_S4_C1_D1_C,C,S4_C1_D1,NA
221006_Smp_S4_C1_D2_A,A,S4_C1_D2,NA
221006_Smp_S4_C1_D2_B,B,S4_C1_D2,NA
221006_Smp_S4_C1_D2_C,C,S4_C1_D2,NA
221006_Smp_S4_C2_D3_A,A,S4_C2_D3,NA
221006_Smp_S4_C2_D3_B,B,S4_C2_D3,NA
221006_Smp_S4_C2_D3_C,C,S4_C2_D3,NA
221006_Smp_S4_C2_D4_A,A,S4_C2_D4,NA
221006_Smp_S4_C2_D4_B,B,S4_C2_D4,NA
221006_Smp_S4_C2_D4_C,C,S4_C2_D4,NA
221006_Smp_S5_C3_D1_A,A,S5_C3_D1,NA
221006_Smp_S5_C3_D1_B,B,S5_C3_D1,NA
221006_Smp_S5_C3_D1_C,C,S5_C3_D1,NA
221006_Smp_S5_C3_D2_A,A,S5_C3_D2,240415_Smp_S5_C3_D2_A
221006_Smp_S5_C3_D2_B,B,S5_C3_D2,240415_Smp_S5_C3_D2_B
221006_Smp_S5_C3_D2_C,C,S5_C3_D2,240415_Smp_S5_C3_D2_C
221006_Smp_S5_C3_D3_A,A,S5_C3_D3,240415_Smp_S5_C3_D3_A
221006_Smp_S5_C3_D3_B,B,S5_C3_D3,240415_Smp_S5_C3_D3_B
221006_Smp_S5_C3_D3_C,C,S5_C3_D3,240415_Smp_S5_C3_D3_C
221006_Smp_S6_C1_D1_A,A,S6_C1_D1,240415_Smp_S6_C1_D1_A
221006_Smp_S6_C1_D1_B,B,S6_C1_D1,240415_Smp_S6_C1_D1_B
221006_Smp_S6_C1_D1_C,C,S6_C1_D1,240415_Smp_S6_C1_D1_C
221006_Smp_S6_C1_D2_A,A,S6_C1_D2,240415_Smp_S6_C1_D2_A
221006_Smp_S6_C1_D2_B,B,S6_C1_D2,240415_Smp_S6_C1_D2_B
221006_Smp_S6_C1_D2_C,C,S6_C1_D2,240415_Smp_S6_C1_D2_C
221006_Smp_S6_C2_D3_A,A,S6_C2_D3,NA
221006_Smp_S6_C2_D3_B,B,S6_C2_D3,NA
221006_Smp_S6_C2_D3_C,C,S6_C2_D3,NA
221006_Smp_S6_C2_D4_A,A,S6_C2_D4,NA
221006_Smp_S6_C2_D4_B,B,S6_C2_D4,NA
221006_Smp_S6_C2_D4_C,C,S6_C2_D4,NA
221006_Smp_S7_C1_D1_B,B,S7_C1_D1,NA
221006_Smp_S7_C1_D1_C,C,S7_C1_D1,NA
221006_Smp_S7_C1_D2_A,A,S7_C1_D2,NA
221006_Smp_S7_C1_D2_B,B,S7_C1_D2,NA
221006_Smp_S7_C1_D2_C,C,S7_C1_D2,NA
221006_Smp_S7_C2_D3_A,A,S7_C2_D3,NA
221006_Smp_S7_C2_D3_B,B,S7_C2_D3,NA
221006_Smp_S7_C2_D3_C,C,S7_C2_D3,NA
221006_Smp_S7_C2_D4_A,A,S7_C2_D4,NA
221006_Smp_S7_C2_D4_B,B,S7_C2_D4,NA
221006_Smp_S7_C2_D4_C,C,S7_C2_D4,NA
221006_Smp_S7_C3_D5_A,A,S7_C3_D5,240415_Smp_S7_C3_D5_A
221006_Smp_S7_C3_D5_B,B,S7_C3_D5,240415_Smp_S7_C3_D5_B
221006_Smp_S7_C3_D5_C,C,S7_C3_D5,240415_Smp_S7_C3_D5_C
221006_Smp_S7_C3_D6_A,A,S7_C3_D6,240415_Smp_S7_C3_D6_A
221006_Smp_S7_C3_D6_B,B,S7_C3_D6,240415_Smp_S7_C3_D6_B
221006_Smp_S7_C3_D6_C,C,S7_C3_D6,240415_Smp_S7_C3_D6_C
221006_Smp_S8_C1_D1_A_2L,NA,S8_C1_D1_A_2L,NA
221006_Smp_S8_C1_D1_A_4L,NA,S8_C1_D1_A_4L,NA
221006_Smp_S8_C1_D2_A,A,S8_C1_D2,NA
