Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,smp.remove,Blk.Av
220623_Smp_MU16_C,MU16,C,KM1906,5-Hydroxyectoine,59522.80351256766,NA,Flag,NA,71315.41666666667
220623_Smp_MU17_A,MU17,A,KM1906,5-Hydroxyectoine,291873,NA,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,5-Hydroxyectoine,279637,NA,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,5-Hydroxyectoine,59522.80351256766,NA,Flag,Smp_Remove,71315.41666666667
220623_Smp_MU2_B,MU2,B,KM1906,5-Hydroxyectoine,59522.80351256766,Flag,Flag,Smp_Remove,71315.41666666667
220623_Smp_MU2_C,MU2,C,KM1906,5-Hydroxyectoine,332607,NA,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,5-Hydroxyectoine,59522.80351256766,NA,Flag,NA,71315.41666666667
220623_Smp_MU3_B,MU3,B,KM1906,5-Hydroxyectoine,175250,NA,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,5-Hydroxyectoine,176099,NA,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,5-Hydroxyectoine,59522.80351256766,Flag,Flag,Smp_Remove,71315.41666666667
220623_Smp_MU4_B,MU4,B,KM1906,5-Hydroxyectoine,59522.80351256766,Flag,Flag,Smp_Remove,71315.41666666667
220623_Smp_MU4_C,MU4,C,KM1906,5-Hydroxyectoine,59522.80351256766,NA,Flag,Smp_Remove,71315.41666666667
220623_Smp_MU5_A,MU5,A,KM1906,5-Hydroxyectoine,59522.80351256766,NA,Flag,Smp_Remove,71315.41666666667
220623_Smp_MU5_B,MU5,B,KM1906,5-Hydroxyectoine,59522.80351256766,Flag,Flag,Smp_Remove,71315.41666666667
220623_Smp_MU5_C,MU5,C,KM1906,5-Hydroxyectoine,139942,NA,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,5-Hydroxyectoine,123080,NA,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,5-Hydroxyectoine,59522.80351256766,NA,Flag,NA,71315.41666666667
220623_Smp_MU6_C,MU6,C,KM1906,5-Hydroxyectoine,145469,NA,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,5-Hydroxyectoine,59522.80351256766,NA,Flag,Smp_Remove,71315.41666666667
220623_Smp_MU7_B,MU7,B,KM1906,5-Hydroxyectoine,59522.80351256766,Flag,Flag,Smp_Remove,71315.41666666667
220623_Smp_MU7_C,MU7,C,KM1906,5-Hydroxyectoine,235223,NA,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,5-Hydroxyectoine,59522.80351256766,Flag,Flag,NA,71315.41666666667
220623_Smp_MU8_B,MU8,B,KM1906,5-Hydroxyectoine,126943,NA,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,5-Hydroxyectoine,344021,NA,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,5-Hydroxyectoine,59522.80351256766,NA,Flag,NA,71315.41666666667
220623_Smp_MU9_B,MU9,B,KM1906,5-Hydroxyectoine,164480,NA,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,5-Hydroxyectoine,187064,NA,NA,NA,NA
220623_Std_4uMStdsMix1InH2O_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,1187131008,NA,NA,NA,NA
220623_Std_4uMStdsMix1InH2O_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,1397564800,NA,NA,NA,NA
220623_Std_4uMStdsMix1InMatrix_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,626432512,NA,NA,NA,NA
220623_Std_4uMStdsMix1InMatrix_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,1308721280,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,606753600,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,687095168,NA,NA,NA,NA
220623_Std_4uMStdsMix2InMatrix_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,650762880,NA,NA,NA,NA
220623_Std_4uMStdsMix2InMatrix_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,714844160,NA,NA,NA,NA
220623_Std_H2OinMatrix_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,713223,NA,NA,NA,NA
220623_Std_H2OinMatrix_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,982115,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,1427011,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,1318591,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full3,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,1644686,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,649571,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,652883,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half3,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,915899,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_A,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,14198,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_B,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,0,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_C,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,21282,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_A,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,34290,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_B,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,97147,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_C,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,22507,NA,NA,NA,NA
220623_Smp_CXSPE_Blk3_A,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,17758,NA,NA,NA,NA
