Name,Cruise,RFmax,RFmin,RF,RFratio
L-Methionine,RC078,34729344,18518914,26624129,1.2467884884702682
L-Methionine,TN397,101901432,59476520,80688976,1.0764627322868818
L-Proline,G3_DepthProfiles,372878528,297368096,335123312,0.9268259482611614
L-Proline,G4_DepthProfiles,371421728,173656928,272539328,0.6707788783080528
L-Proline,KM1906,566854784,480655392,523755088,0.6639859103517781
L-Proline,PERIFIX,348228960,190053440,269141200,0.40457174598121914
L-Proline,RC078,57640528,26307924,41974226,1.1791739140597617
L-Proline,TN397,102460008,54265264,78362636,1.0937859256272477
L-Serine,G3_DepthProfiles,8155612.5,6261003,7208307.75,0.9658359597658326
L-Serine,G4_DepthProfiles,12580538,4278749.5,8429643.75,0.9652918110596505
L-Serine,KM1906,31280900,20592916,25936908,0.8318515310587735
L-Serine,PERIFIX,24805984,14679056,19742520,0.7591313514108942
L-Serine,RC078,4798132,2265010,3531571,1.2631134227478
L-Serine,TN397,15476153,8821745,12148949,1.0675806400106582
L-Threonine,G3_DepthProfiles,19665334,16317358,17991346,0.9338868858730259
L-Threonine,G4_DepthProfiles,33264758,10320079,21792418.5,0.7922893358720642
L-Threonine,KM1906,54701180,50158640,52429910,0.4208975957761979
L-Threonine,PERIFIX,97922072,45544452,71733262,1.6077183690806462
L-Threonine,RC078,9953010,3308427,6630718.5,1.4321332374247973
L-Threonine,TN397,26632088,13501209,20066648.5,0.9674636982546025
L-Tyrosine,G3_DepthProfiles,36249016,29730756,32989886,0.8158873932523943
L-Tyrosine,G4_DepthProfiles,89881856,27357992,58619924,0.7417294660809639
L-Tyrosine,KM1906,115242200,92092960,103667580,0.7757598850206773
L-Tyrosine,PERIFIX,118803136,57052828,87927982,0.7176798642542643
L-Tyrosine,RC078,22104084,9440865,15772474.5,1.7210875286269953
L-Tyrosine,TN397,80255904,40130156,60193030,1.1101279208068693
Proline betaine,G3_DepthProfiles,2193806080,1991327744,2092566912,0.7910767098458031
Proline betaine,G4_DepthProfiles,2198503936,1824169728,2011336832,0.8729679159005168
Proline betaine,KM1906,2542803456,2203110912,2372957184,1.0147919971949169
Proline betaine,PERIFIX,3009067264,2186395904,2597731584,0.8879303020205808
Proline betaine,RC078,728920576,552679488,640800032,1.0708460392512775
Proline betaine,TN397,2931275264,1975225472,2453250368,1.0856080738364104
Sarcosine,G3_DepthProfiles,75863632,62978796,69421214,0.4600099383841411
Sarcosine,G4_DepthProfiles,62901432,32479772,47690602,0.6115741048950344
Sarcosine,KM1906,162453600,142939200,152696400,0.6867583789673217
Sarcosine,PERIFIX,112297512,63612836,87955174,0.47393407161984025
Sarcosine,RC078,12741623,6782298,9761960.5,1.0635518724783446
Sarcosine,TN397,31522542,20635476,26079009,0.824721907459248
