Cruise,Rep,Compound,detected
KM1906,220623_Smp_MU5_A,Arsenobetaine,No
KM1906,220623_Smp_MU5_B,Arsenobetaine,No
KM1906,220623_Smp_MU5_C,Arsenobetaine,No
KM1906,220623_Smp_MU6_A,Arsenobetaine,No
KM1906,220623_Smp_MU6_B,Arsenobetaine,No
KM1906,220623_Smp_MU6_C,Arsenobetaine,No
KM1906,220623_Smp_MU7_A,Arsenobetaine,No
KM1906,220623_Smp_MU7_B,Arsenobetaine,No
KM1906,220623_Smp_MU7_C,Arsenobetaine,No
KM1906,220623_Smp_MU8_A,Arsenobetaine,No
KM1906,220623_Smp_MU8_B,Arsenobetaine,No
KM1906,220623_Smp_MU8_C,Arsenobetaine,No
KM1906,220623_Smp_MU9_A,Arsenobetaine,No
KM1906,220623_Smp_MU9_B,Arsenobetaine,No
KM1906,220623_Smp_MU9_C,Arsenobetaine,No
KM1906,220623_Smp_MU1_A,beta-Alanine,Yes
KM1906,220623_Smp_MU1_B,beta-Alanine,Yes
KM1906,220623_Smp_MU1_C,beta-Alanine,Yes
KM1906,220623_Smp_MU10_A,beta-Alanine,Yes
KM1906,220623_Smp_MU10_B,beta-Alanine,Yes
KM1906,220623_Smp_MU10_C,beta-Alanine,Yes
KM1906,220623_Smp_MU11_A,beta-Alanine,Yes
KM1906,220623_Smp_MU11_B,beta-Alanine,Yes
KM1906,220623_Smp_MU11_C,beta-Alanine,Yes
KM1906,220623_Smp_MU12_A,beta-Alanine,Yes
KM1906,220623_Smp_MU12_B,beta-Alanine,Yes
KM1906,220623_Smp_MU12_C,beta-Alanine,Yes
KM1906,220623_Smp_MU13_A,beta-Alanine,Yes
KM1906,220623_Smp_MU13_B,beta-Alanine,Yes
KM1906,220623_Smp_MU13_C,beta-Alanine,Yes
KM1906,220623_Smp_MU14_A,beta-Alanine,Yes
KM1906,220623_Smp_MU14_B,beta-Alanine,Yes
KM1906,220623_Smp_MU14_C,beta-Alanine,Yes
KM1906,220623_Smp_MU15_A,beta-Alanine,Yes
KM1906,220623_Smp_MU15_B,beta-Alanine,Yes
KM1906,220623_Smp_MU15_C,beta-Alanine,Yes
KM1906,220623_Smp_MU16_A,beta-Alanine,Yes
KM1906,220623_Smp_MU16_B,beta-Alanine,Yes
KM1906,220623_Smp_MU16_C,beta-Alanine,Yes
KM1906,220623_Smp_MU17_A,beta-Alanine,Yes
KM1906,220623_Smp_MU17_B,beta-Alanine,Yes
KM1906,220623_Smp_MU2_A,beta-Alanine,Yes
KM1906,220623_Smp_MU2_B,beta-Alanine,Yes
KM1906,220623_Smp_MU2_C,beta-Alanine,Yes
KM1906,220623_Smp_MU3_A,beta-Alanine,Yes
KM1906,220623_Smp_MU3_B,beta-Alanine,Yes
KM1906,220623_Smp_MU3_C,beta-Alanine,Yes
KM1906,220623_Smp_MU4_A,beta-Alanine,Yes
KM1906,220623_Smp_MU4_B,beta-Alanine,Yes
KM1906,220623_Smp_MU4_C,beta-Alanine,Yes
KM1906,220623_Smp_MU5_A,beta-Alanine,Yes
KM1906,220623_Smp_MU5_B,beta-Alanine,Yes
KM1906,220623_Smp_MU5_C,beta-Alanine,Yes
KM1906,220623_Smp_MU6_A,beta-Alanine,Yes
KM1906,220623_Smp_MU6_B,beta-Alanine,Yes
KM1906,220623_Smp_MU6_C,beta-Alanine,Yes
KM1906,220623_Smp_MU7_A,beta-Alanine,Yes
KM1906,220623_Smp_MU7_B,beta-Alanine,Yes
KM1906,220623_Smp_MU7_C,beta-Alanine,Yes
KM1906,220623_Smp_MU8_A,beta-Alanine,Yes
KM1906,220623_Smp_MU8_B,beta-Alanine,Yes
KM1906,220623_Smp_MU8_C,beta-Alanine,Yes
KM1906,220623_Smp_MU9_A,beta-Alanine,Yes
KM1906,220623_Smp_MU9_B,beta-Alanine,Yes
KM1906,220623_Smp_MU9_C,beta-Alanine,Yes
KM1906,220623_Smp_MU1_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU1_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU1_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU10_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU10_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU10_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU11_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU11_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU11_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU12_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU12_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU12_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU13_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU13_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU13_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU14_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU14_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU14_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU15_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU15_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU15_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU16_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU16_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU16_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU17_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU17_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU2_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU2_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU2_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU3_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU3_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU3_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU4_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU4_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU4_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU5_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU5_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU5_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU6_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU6_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU6_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU7_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU7_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU7_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU8_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU8_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU8_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU9_A,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU9_B,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU9_C,beta-Alaninebetaine,Yes
KM1906,220623_Smp_MU1_A,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU1_B,beta-Glutamic acid,No
KM1906,220623_Smp_MU1_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU10_A,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU10_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU10_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU11_A,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU11_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU11_C,beta-Glutamic acid,No
KM1906,220623_Smp_MU12_A,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU12_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU12_C,beta-Glutamic acid,No
KM1906,220623_Smp_MU13_A,beta-Glutamic acid,No
KM1906,220623_Smp_MU13_B,beta-Glutamic acid,No
KM1906,220623_Smp_MU13_C,beta-Glutamic acid,No
KM1906,220623_Smp_MU14_A,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU14_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU14_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU15_A,beta-Glutamic acid,No
KM1906,220623_Smp_MU15_B,beta-Glutamic acid,No
KM1906,220623_Smp_MU15_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU16_A,beta-Glutamic acid,No
KM1906,220623_Smp_MU16_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU16_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU17_A,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU17_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU2_A,beta-Glutamic acid,No
KM1906,220623_Smp_MU2_B,beta-Glutamic acid,No
KM1906,220623_Smp_MU2_C,beta-Glutamic acid,No
KM1906,220623_Smp_MU3_A,beta-Glutamic acid,No
KM1906,220623_Smp_MU3_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU3_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU4_A,beta-Glutamic acid,No
KM1906,220623_Smp_MU4_B,beta-Glutamic acid,No
KM1906,220623_Smp_MU4_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU5_A,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU5_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU5_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU6_A,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU6_B,beta-Glutamic acid,No
KM1906,220623_Smp_MU6_C,beta-Glutamic acid,No
KM1906,220623_Smp_MU7_A,beta-Glutamic acid,No
KM1906,220623_Smp_MU7_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU7_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU8_A,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU8_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU8_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU9_A,beta-Glutamic acid,No
KM1906,220623_Smp_MU9_B,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU9_C,beta-Glutamic acid,Yes
KM1906,220623_Smp_MU1_A,Betonicine,Yes
KM1906,220623_Smp_MU1_B,Betonicine,Yes
KM1906,220623_Smp_MU1_C,Betonicine,Yes
KM1906,220623_Smp_MU10_A,Betonicine,Yes
KM1906,220623_Smp_MU10_B,Betonicine,Yes
KM1906,220623_Smp_MU10_C,Betonicine,Yes
KM1906,220623_Smp_MU11_A,Betonicine,Yes
KM1906,220623_Smp_MU11_B,Betonicine,Yes
KM1906,220623_Smp_MU11_C,Betonicine,Yes
KM1906,220623_Smp_MU12_A,Betonicine,Yes
KM1906,220623_Smp_MU12_B,Betonicine,Yes
KM1906,220623_Smp_MU12_C,Betonicine,Yes
KM1906,220623_Smp_MU13_A,Betonicine,Yes
KM1906,220623_Smp_MU13_B,Betonicine,Yes
KM1906,220623_Smp_MU13_C,Betonicine,Yes
KM1906,220623_Smp_MU14_A,Betonicine,Yes
KM1906,220623_Smp_MU14_B,Betonicine,Yes
KM1906,220623_Smp_MU14_C,Betonicine,Yes
KM1906,220623_Smp_MU15_A,Betonicine,Yes
KM1906,220623_Smp_MU15_B,Betonicine,Yes
KM1906,220623_Smp_MU15_C,Betonicine,Yes
KM1906,220623_Smp_MU16_A,Betonicine,Yes
KM1906,220623_Smp_MU16_B,Betonicine,Yes
KM1906,220623_Smp_MU16_C,Betonicine,Yes
KM1906,220623_Smp_MU17_A,Betonicine,Yes
KM1906,220623_Smp_MU17_B,Betonicine,Yes
KM1906,220623_Smp_MU2_A,Betonicine,Yes
KM1906,220623_Smp_MU2_B,Betonicine,Yes
KM1906,220623_Smp_MU2_C,Betonicine,Yes
KM1906,220623_Smp_MU3_A,Betonicine,Yes
KM1906,220623_Smp_MU3_B,Betonicine,Yes
KM1906,220623_Smp_MU3_C,Betonicine,Yes
KM1906,220623_Smp_MU4_A,Betonicine,Yes
KM1906,220623_Smp_MU4_B,Betonicine,Yes
KM1906,220623_Smp_MU4_C,Betonicine,Yes
KM1906,220623_Smp_MU5_A,Betonicine,Yes
KM1906,220623_Smp_MU5_B,Betonicine,Yes
KM1906,220623_Smp_MU5_C,Betonicine,Yes
KM1906,220623_Smp_MU6_A,Betonicine,Yes
KM1906,220623_Smp_MU6_B,Betonicine,Yes
KM1906,220623_Smp_MU6_C,Betonicine,Yes
KM1906,220623_Smp_MU7_A,Betonicine,Yes
KM1906,220623_Smp_MU7_B,Betonicine,Yes
KM1906,220623_Smp_MU7_C,Betonicine,Yes
KM1906,220623_Smp_MU8_A,Betonicine,Yes
KM1906,220623_Smp_MU8_B,Betonicine,Yes
KM1906,220623_Smp_MU8_C,Betonicine,Yes
KM1906,220623_Smp_MU9_A,Betonicine,Yes
KM1906,220623_Smp_MU9_B,Betonicine,Yes
KM1906,220623_Smp_MU9_C,Betonicine,Yes
KM1906,220623_Smp_MU1_A,Carnitine,Yes
KM1906,220623_Smp_MU1_B,Carnitine,Yes
KM1906,220623_Smp_MU1_C,Carnitine,Yes
KM1906,220623_Smp_MU10_A,Carnitine,Yes
KM1906,220623_Smp_MU10_B,Carnitine,Yes
KM1906,220623_Smp_MU10_C,Carnitine,Yes
KM1906,220623_Smp_MU11_A,Carnitine,Yes
KM1906,220623_Smp_MU11_B,Carnitine,Yes
KM1906,220623_Smp_MU11_C,Carnitine,Yes
KM1906,220623_Smp_MU12_A,Carnitine,Yes
KM1906,220623_Smp_MU12_B,Carnitine,Yes
KM1906,220623_Smp_MU12_C,Carnitine,Yes
KM1906,220623_Smp_MU13_A,Carnitine,Yes
KM1906,220623_Smp_MU13_B,Carnitine,Yes
KM1906,220623_Smp_MU13_C,Carnitine,Yes
KM1906,220623_Smp_MU14_A,Carnitine,Yes
KM1906,220623_Smp_MU14_B,Carnitine,Yes
KM1906,220623_Smp_MU14_C,Carnitine,Yes
