Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av,smp.remove
220623_Smp_MU7_C,MU7,C,KM1906,5-Hydroxyectoine,235223,NA,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,5-Hydroxyectoine,35106,Flag,Flag,71315.41666666667,NA
220623_Smp_MU8_B,MU8,B,KM1906,5-Hydroxyectoine,126943,NA,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,5-Hydroxyectoine,344021,NA,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,5-Hydroxyectoine,73781,NA,Flag,71315.41666666667,NA
220623_Smp_MU9_B,MU9,B,KM1906,5-Hydroxyectoine,164480,NA,NA,NA,NA
220623_Smp_MU9_C,MU9,C,KM1906,5-Hydroxyectoine,187064,NA,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,(3-Carboxypropyl)trimethylammonium,545442,NA,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,(3-Carboxypropyl)trimethylammonium,143808,NA,NA,NA,NA
220623_Smp_MU1_C,MU1,C,KM1906,(3-Carboxypropyl)trimethylammonium,180891,NA,NA,NA,NA
220623_Smp_MU10_A,MU10,A,KM1906,(3-Carboxypropyl)trimethylammonium,1156748,NA,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,(3-Carboxypropyl)trimethylammonium,2342244,NA,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,(3-Carboxypropyl)trimethylammonium,2645744,NA,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,(3-Carboxypropyl)trimethylammonium,1229910,NA,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,(3-Carboxypropyl)trimethylammonium,2012362,NA,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,(3-Carboxypropyl)trimethylammonium,1335765,NA,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,(3-Carboxypropyl)trimethylammonium,26410056,NA,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,(3-Carboxypropyl)trimethylammonium,4968595,NA,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,(3-Carboxypropyl)trimethylammonium,18787912,NA,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,(3-Carboxypropyl)trimethylammonium,419228,NA,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,(3-Carboxypropyl)trimethylammonium,398703,NA,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,(3-Carboxypropyl)trimethylammonium,539017,NA,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,(3-Carboxypropyl)trimethylammonium,1825895,NA,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,(3-Carboxypropyl)trimethylammonium,1404500,NA,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,(3-Carboxypropyl)trimethylammonium,566817,NA,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,(3-Carboxypropyl)trimethylammonium,352204,NA,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,(3-Carboxypropyl)trimethylammonium,1262843,NA,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,(3-Carboxypropyl)trimethylammonium,595203,NA,NA,NA,NA
220623_Smp_MU16_A,MU16,A,KM1906,(3-Carboxypropyl)trimethylammonium,1045465,NA,NA,NA,NA
