Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av,smp.remove
220602_Smp_TN397_UCH1_Gluc_A,UCH1_Gluc,A,TN397,L-Aspartic acid,201053,NA,Flag,181738.66666666663,NA
220602_Smp_TN397_UCH1_Gluc_B,UCH1_Gluc,B,TN397,L-Aspartic acid,290658,NA,NA,NA,NA
220602_Smp_TN397_UCH1_Gluc_C,UCH1_Gluc,C,TN397,L-Aspartic acid,267814,NA,NA,NA,NA
220602_Smp_TN397_UKH1_0nM_A,UKH1_0nM,A,TN397,L-Aspartic acid,160595,NA,Flag,181738.66666666663,Smp_Remove
220602_Smp_TN397_UKH1_0nM_B,UKH1_0nM,B,TN397,L-Aspartic acid,453344,NA,NA,NA,NA
220602_Smp_TN397_UKH1_0nM_C,UKH1_0nM,C,TN397,L-Aspartic acid,196376,NA,Flag,181738.66666666663,Smp_Remove
220602_Smp_TN397_UKH2_0nM_A,UKH2_0nM,A,TN397,L-Aspartic acid,149087,NA,Flag,181738.66666666663,NA
220602_Smp_TN397_UKH2_0nM_B,UKH2_0nM,B,TN397,L-Aspartic acid,299682,NA,NA,NA,NA
220602_Smp_TN397_UKH2_0nM_C,UKH2_0nM,C,TN397,L-Aspartic acid,458499,NA,NA,NA,NA
220602_Smp_TN397_UKH3_0nM_A,UKH3_0nM,A,TN397,L-Aspartic acid,683906,NA,NA,NA,NA
220602_Smp_TN397_UKH3_0nM_B,UKH3_0nM,B,TN397,L-Aspartic acid,119826,NA,Flag,181738.66666666663,NA
220602_Smp_TN397_UKH3_0nM_C,UKH3_0nM,C,TN397,L-Aspartic acid,376409,NA,NA,NA,NA
220602_Smp_TN397_UKH4_0nM_A,UKH4_0nM,A,TN397,L-Aspartic acid,408630,NA,NA,NA,NA
220602_Smp_TN397_UKH4_0nM_B,UKH4_0nM,B,TN397,L-Aspartic acid,431249,NA,NA,NA,NA
220602_Smp_TN397_UKH4_0nM_C,UKH4_0nM,C,TN397,L-Aspartic acid,339215,NA,NA,NA,NA
220602_Smp_TN397_UKH5_0nM_A,UKH5_0nM,A,TN397,L-Aspartic acid,309071,NA,NA,NA,NA
220602_Smp_TN397_UKH5_0nM_B,UKH5_0nM,B,TN397,L-Aspartic acid,196134,NA,Flag,181738.66666666663,NA
220602_Smp_TN397_UKH5_0nM_C,UKH5_0nM,C,TN397,L-Aspartic acid,369565,NA,NA,NA,NA
220602_Smp_TN397_UKT1_0nM_A,UKT1_0nM,A,TN397,L-Aspartic acid,256086,NA,Flag,181738.66666666663,NA
220602_Smp_TN397_UKT1_0nM_B,UKT1_0nM,B,TN397,L-Aspartic acid,542739,NA,NA,NA,NA
220602_Smp_TN397_UKT1_0nM_C,UKT1_0nM,C,TN397,L-Aspartic acid,892255,NA,NA,NA,NA
220602_Smp_TN397_UKT2_0nM_A,UKT2_0nM,A,TN397,L-Aspartic acid,508430,NA,NA,NA,NA
220602_Smp_TN397_UKT2_0nM_B,UKT2_0nM,B,TN397,L-Aspartic acid,258809,NA,Flag,181738.66666666663,NA
220602_Smp_TN397_UKT2_0nM_C,UKT2_0nM,C,TN397,L-Aspartic acid,285050,NA,NA,NA,NA
220602_Smp_TN397_UKT3_0nM_A,UKT3_0nM,A,TN397,L-Aspartic acid,277870,NA,NA,NA,NA
220602_Smp_TN397_UKT3_0nM_B,UKT3_0nM,B,TN397,L-Aspartic acid,356110,NA,NA,NA,NA
220602_Smp_TN397_UKT3_0nM_C,UKT3_0nM,C,TN397,L-Aspartic acid,558398,NA,NA,NA,NA
220602_Smp_TN397_UKT4_0nM_A,UKT4_0nM,A,TN397,L-Aspartic acid,353805,NA,NA,NA,NA
220602_Smp_TN397_UKT4_0nM_B,UKT4_0nM,B,TN397,L-Aspartic acid,266797,NA,NA,NA,NA
220602_Smp_TN397_UKT4_0nM_C,UKT4_0nM,C,TN397,L-Aspartic acid,200397,NA,Flag,181738.66666666663,NA
220602_Smp_TN397_UKT5_0nM_A,UKT5_0nM,A,TN397,L-Aspartic acid,196817,NA,Flag,181738.66666666663,NA
220602_Smp_TN397_UKT5_0nM_B,UKT5_0nM,B,TN397,L-Aspartic acid,267692,NA,NA,NA,NA
220602_Smp_TN397_UKT5_0nM_C,UKT5_0nM,C,TN397,L-Aspartic acid,361446,NA,NA,NA,NA
220602_Smp_TN397_UnfiltMQ1_A,UnfiltMQ1,A,TN397,L-Aspartic acid,137080,NA,Flag,181738.66666666663,Smp_Remove
220602_Smp_TN397_UnfiltMQ1_B,UnfiltMQ1,B,TN397,L-Aspartic acid,170609,NA,Flag,181738.66666666663,Smp_Remove
220602_Smp_TN397_UnfiltMQ1_C,UnfiltMQ1,C,TN397,L-Aspartic acid,169607,NA,Flag,181738.66666666663,Smp_Remove
220602_Smp_TN397_S4_2400_U_A,S4_2400,A,TN397,L-Glutamic acid,2288764,NA,NA,NA,NA
220602_Smp_TN397_S4_2400_U_B,S4_2400,B,TN397,L-Glutamic acid,617022,NA,NA,NA,NA
220602_Smp_TN397_S4_2400_U_C,S4_2400,C,TN397,L-Glutamic acid,632630,NA,NA,NA,NA
220602_Smp_TN397_S4_U_1800_A,S4_1800,A,TN397,L-Glutamic acid,604953,NA,NA,NA,NA
220602_Smp_TN397_S4_U_1800_B,S4_1800,B,TN397,L-Glutamic acid,804251,NA,NA,NA,NA
220602_Smp_TN397_S4_U_1800_C,S4_1800,C,TN397,L-Glutamic acid,617433,NA,NA,NA,NA
220602_Smp_TN397_S4_U_600_A,S4_600,A,TN397,L-Glutamic acid,648469,NA,NA,NA,NA
220602_Smp_TN397_S4_U_600_B,S4_600,B,TN397,L-Glutamic acid,615161,NA,NA,NA,NA
220602_Smp_TN397_S4_U_600_C,S4_600,C,TN397,L-Glutamic acid,894510,NA,NA,NA,NA
220602_Smp_TN397_S6_U_A,S6,A,TN397,L-Glutamic acid,1481861,NA,NA,NA,NA
220602_Smp_TN397_S6_U_B,S6,B,TN397,L-Glutamic acid,1204516,NA,NA,NA,NA
220602_Smp_TN397_S6_U_C,S6,C,TN397,L-Glutamic acid,877925,NA,NA,NA,NA
220602_Smp_TN397_S7_1800_U_A,S7_1800,A,TN397,L-Glutamic acid,882918,NA,NA,NA,NA
220602_Smp_TN397_S7_1800_U_B,S7_1800,B,TN397,L-Glutamic acid,1398846,NA,NA,NA,NA
220602_Smp_TN397_S7_1800_U_C,S7_1800,C,TN397,L-Glutamic acid,994395,NA,NA,NA,NA
220602_Smp_TN397_S7_600_U_A,S7_600,A,TN397,L-Glutamic acid,536547,NA,NA,NA,NA
220602_Smp_TN397_S7_600_U_B,S7_600,B,TN397,L-Glutamic acid,690235,NA,NA,NA,NA
220602_Smp_TN397_S7_600_U_C,S7_600,C,TN397,L-Glutamic acid,769744,NA,NA,NA,NA
220602_Smp_TN397_S8_U_A,S8,A,TN397,L-Glutamic acid,1584981,NA,NA,NA,NA
220602_Smp_TN397_S8_U_B,S8,B,TN397,L-Glutamic acid,1781236,NA,NA,NA,NA
220602_Smp_TN397_S8_U_C,S8,C,TN397,L-Glutamic acid,1512207,NA,NA,NA,NA
220602_Smp_TN397_S9_1800_U_A,S9_1800,A,TN397,L-Glutamic acid,2784632,NA,NA,NA,NA
220602_Smp_TN397_S9_1800_U_B,S9_1800,B,TN397,L-Glutamic acid,1053626,NA,NA,NA,NA
220602_Smp_TN397_S9_1800_U_C,S9_1800,C,TN397,L-Glutamic acid,2521701,NA,NA,NA,NA
220602_Smp_TN397_S9_600_U_A,S9_600,A,TN397,L-Glutamic acid,1214658,NA,NA,NA,NA
220602_Smp_TN397_S9_600_U_B,S9_600,B,TN397,L-Glutamic acid,600804,NA,NA,NA,NA
220602_Smp_TN397_S9_600_U_C,S9_600,C,TN397,L-Glutamic acid,1426038,NA,NA,NA,NA
220602_Smp_TN397_U1_A,U1,A,TN397,L-Glutamic acid,4777138,NA,NA,NA,NA
220602_Smp_TN397_U1_B,U1,B,TN397,L-Glutamic acid,3381628,NA,NA,NA,NA
220602_Smp_TN397_U1_C,U1,C,TN397,L-Glutamic acid,4806691,NA,NA,NA,NA
220602_Smp_TN397_U10_A,U10,A,TN397,L-Glutamic acid,1142147,NA,NA,NA,NA
220602_Smp_TN397_U10_B,U10,B,TN397,L-Glutamic acid,1718196,NA,NA,NA,NA
220602_Smp_TN397_U10_C,U10,C,TN397,L-Glutamic acid,1669484,NA,NA,NA,NA
220602_Smp_TN397_U11_A,U11,A,TN397,L-Glutamic acid,2117438,NA,NA,NA,NA
220602_Smp_TN397_U11_B,U11,B,TN397,L-Glutamic acid,2158956,NA,NA,NA,NA
220602_Smp_TN397_U11_C,U11,C,TN397,L-Glutamic acid,1187845,NA,NA,NA,NA
220602_Smp_TN397_U12_A,U12,A,TN397,L-Glutamic acid,1408893,NA,NA,NA,NA
220602_Smp_TN397_U12_B,U12,B,TN397,L-Glutamic acid,2733737,NA,NA,NA,NA
220602_Smp_TN397_U12_C,U12,C,TN397,L-Glutamic acid,3014544,NA,NA,NA,NA
220602_Smp_TN397_U13_A,U13,A,TN397,L-Glutamic acid,1033912,NA,NA,NA,NA
220602_Smp_TN397_U13_B,U13,B,TN397,L-Glutamic acid,964152,NA,NA,NA,NA
220602_Smp_TN397_U13_C,U13,C,TN397,L-Glutamic acid,676209,NA,NA,NA,NA
220602_Smp_TN397_U2_A,U2,A,TN397,L-Glutamic acid,737568,NA,NA,NA,NA
220602_Smp_TN397_U2_B,U2,B,TN397,L-Glutamic acid,524185,NA,NA,NA,NA
220602_Smp_TN397_U2_C,U2,C,TN397,L-Glutamic acid,1668404,NA,NA,NA,NA
220602_Smp_TN397_U3_A,U3,A,TN397,L-Glutamic acid,1374821,NA,NA,NA,NA
220602_Smp_TN397_U3_B,U3,B,TN397,L-Glutamic acid,1559512,NA,NA,NA,NA
220602_Smp_TN397_U3_C,U3,C,TN397,L-Glutamic acid,2501772,NA,NA,NA,NA
220602_Smp_TN397_U4_A,U4,A,TN397,L-Glutamic acid,2860409,NA,NA,NA,NA
220602_Smp_TN397_U4_B,U4,B,TN397,L-Glutamic acid,3382031,NA,NA,NA,NA
220602_Smp_TN397_U4_C,U4,C,TN397,L-Glutamic acid,2296124,NA,NA,NA,NA
220602_Smp_TN397_U5_A,U5,A,TN397,L-Glutamic acid,801607,NA,NA,NA,NA
220602_Smp_TN397_U5_B,U5,B,TN397,L-Glutamic acid,1020594,NA,NA,NA,NA
220602_Smp_TN397_U5_C,U5,C,TN397,L-Glutamic acid,993429,NA,NA,NA,NA
220602_Smp_TN397_U6_A,U6,A,TN397,L-Glutamic acid,563295,NA,NA,NA,NA
220602_Smp_TN397_U6_B,U6,B,TN397,L-Glutamic acid,588771,NA,NA,NA,NA
220602_Smp_TN397_U6_C,U6,C,TN397,L-Glutamic acid,977426,NA,NA,NA,NA
220602_Smp_TN397_U9_A,U9,A,TN397,L-Glutamic acid,1202753,NA,NA,NA,NA
220602_Smp_TN397_U9_B,U9,B,TN397,L-Glutamic acid,1182818,NA,NA,NA,NA
220602_Smp_TN397_U9_C,U9,C,TN397,L-Glutamic acid,2061836,NA,NA,NA,NA
220602_Smp_TN397_UCH1_Gluc_A,UCH1_Gluc,A,TN397,L-Glutamic acid,291976,NA,NA,NA,NA
220602_Smp_TN397_UCH1_Gluc_B,UCH1_Gluc,B,TN397,L-Glutamic acid,834797,NA,NA,NA,NA
220602_Smp_TN397_UCH1_Gluc_C,UCH1_Gluc,C,TN397,L-Glutamic acid,613834,NA,NA,NA,NA
220602_Smp_TN397_UKH1_0nM_A,UKH1_0nM,A,TN397,L-Glutamic acid,734040,NA,NA,NA,NA
220602_Smp_TN397_UKH1_0nM_B,UKH1_0nM,B,TN397,L-Glutamic acid,1294245,NA,NA,NA,NA
220602_Smp_TN397_UKH1_0nM_C,UKH1_0nM,C,TN397,L-Glutamic acid,1061612,NA,NA,NA,NA
220602_Smp_TN397_UKH2_0nM_A,UKH2_0nM,A,TN397,L-Glutamic acid,699086,NA,NA,NA,NA
220602_Smp_TN397_UKH2_0nM_B,UKH2_0nM,B,TN397,L-Glutamic acid,1046198,NA,NA,NA,NA
220602_Smp_TN397_UKH2_0nM_C,UKH2_0nM,C,TN397,L-Glutamic acid,1847335,NA,NA,NA,NA
220602_Smp_TN397_UKH3_0nM_A,UKH3_0nM,A,TN397,L-Glutamic acid,1903902,NA,NA,NA,NA
220602_Smp_TN397_UKH3_0nM_B,UKH3_0nM,B,TN397,L-Glutamic acid,1292901,NA,NA,NA,NA
220602_Smp_TN397_UKH3_0nM_C,UKH3_0nM,C,TN397,L-Glutamic acid,2576771,NA,NA,NA,NA
220602_Smp_TN397_UKH4_0nM_A,UKH4_0nM,A,TN397,L-Glutamic acid,3206316,NA,NA,NA,NA
220602_Smp_TN397_UKH4_0nM_B,UKH4_0nM,B,TN397,L-Glutamic acid,2855794,NA,NA,NA,NA
220602_Smp_TN397_UKH4_0nM_C,UKH4_0nM,C,TN397,L-Glutamic acid,1779887,NA,NA,NA,NA
220602_Smp_TN397_UKH5_0nM_A,UKH5_0nM,A,TN397,L-Glutamic acid,1148649,NA,NA,NA,NA
220602_Smp_TN397_UKH5_0nM_B,UKH5_0nM,B,TN397,L-Glutamic acid,983407,NA,NA,NA,NA
220602_Smp_TN397_UKH5_0nM_C,UKH5_0nM,C,TN397,L-Glutamic acid,2028325,NA,NA,NA,NA
220602_Smp_TN397_UKT1_0nM_A,UKT1_0nM,A,TN397,L-Glutamic acid,926624,NA,NA,NA,NA
220602_Smp_TN397_UKT1_0nM_B,UKT1_0nM,B,TN397,L-Glutamic acid,1061181,NA,NA,NA,NA
220602_Smp_TN397_UKT1_0nM_C,UKT1_0nM,C,TN397,L-Glutamic acid,2290081,NA,NA,NA,NA
220602_Smp_TN397_UKT2_0nM_A,UKT2_0nM,A,TN397,L-Glutamic acid,1774579,NA,NA,NA,NA
220602_Smp_TN397_UKT2_0nM_B,UKT2_0nM,B,TN397,L-Glutamic acid,1644075,NA,NA,NA,NA
220602_Smp_TN397_UKT2_0nM_C,UKT2_0nM,C,TN397,L-Glutamic acid,2154351,NA,NA,NA,NA
220602_Smp_TN397_UKT3_0nM_A,UKT3_0nM,A,TN397,L-Glutamic acid,1326177,NA,NA,NA,NA
220602_Smp_TN397_UKT3_0nM_B,UKT3_0nM,B,TN397,L-Glutamic acid,2487535,NA,NA,NA,NA
220602_Smp_TN397_UKT3_0nM_C,UKT3_0nM,C,TN397,L-Glutamic acid,1510636,NA,NA,NA,NA
220602_Smp_TN397_UKT4_0nM_A,UKT4_0nM,A,TN397,L-Glutamic acid,1633068,NA,NA,NA,NA
220602_Smp_TN397_UKT4_0nM_B,UKT4_0nM,B,TN397,L-Glutamic acid,2005590,NA,NA,NA,NA
220602_Smp_TN397_UKT4_0nM_C,UKT4_0nM,C,TN397,L-Glutamic acid,1019969,NA,NA,NA,NA
220602_Smp_TN397_UKT5_0nM_A,UKT5_0nM,A,TN397,L-Glutamic acid,698128,NA,NA,NA,NA
220602_Smp_TN397_UKT5_0nM_B,UKT5_0nM,B,TN397,L-Glutamic acid,662928,NA,NA,NA,NA
220602_Smp_TN397_UKT5_0nM_C,UKT5_0nM,C,TN397,L-Glutamic acid,920366,NA,NA,NA,NA
220602_Smp_TN397_UnfiltMQ1_A,UnfiltMQ1,A,TN397,L-Glutamic acid,274717,NA,NA,NA,NA
220602_Smp_TN397_UnfiltMQ1_B,UnfiltMQ1,B,TN397,L-Glutamic acid,247749,NA,Flag,192316.26666666663,Smp_Remove
220602_Smp_TN397_UnfiltMQ1_C,UnfiltMQ1,C,TN397,L-Glutamic acid,241514,NA,Flag,192316.26666666663,Smp_Remove
220602_Smp_TN397_S4_2400_U_A,S4_2400,A,TN397,L-Glutamine,1028962,NA,NA,NA,NA
220602_Smp_TN397_S4_2400_U_B,S4_2400,B,TN397,L-Glutamine,502895,NA,NA,NA,NA
220602_Smp_TN397_S4_2400_U_C,S4_2400,C,TN397,L-Glutamine,618766,NA,NA,NA,NA
220602_Smp_TN397_S4_U_1800_A,S4_1800,A,TN397,L-Glutamine,405343,NA,NA,NA,NA
220602_Smp_TN397_S4_U_1800_B,S4_1800,B,TN397,L-Glutamine,612275,NA,NA,NA,NA
220602_Smp_TN397_S4_U_1800_C,S4_1800,C,TN397,L-Glutamine,543929,NA,NA,NA,NA
220602_Smp_TN397_S4_U_600_A,S4_600,A,TN397,L-Glutamine,588234,NA,NA,NA,NA
220602_Smp_TN397_S4_U_600_B,S4_600,B,TN397,L-Glutamine,720475,NA,NA,NA,NA
220602_Smp_TN397_S4_U_600_C,S4_600,C,TN397,L-Glutamine,925489,NA,NA,NA,NA
220602_Smp_TN397_S6_U_A,S6,A,TN397,L-Glutamine,1306710,NA,NA,NA,NA
220602_Smp_TN397_S6_U_B,S6,B,TN397,L-Glutamine,1124305,NA,NA,NA,NA
220602_Smp_TN397_S6_U_C,S6,C,TN397,L-Glutamine,607131,NA,NA,NA,NA
220602_Smp_TN397_S7_1800_U_A,S7_1800,A,TN397,L-Glutamine,1296833,NA,NA,NA,NA
220602_Smp_TN397_S7_1800_U_B,S7_1800,B,TN397,L-Glutamine,1096452,NA,NA,NA,NA
220602_Smp_TN397_S7_1800_U_C,S7_1800,C,TN397,L-Glutamine,1617771,NA,NA,NA,NA
220602_Smp_TN397_S7_600_U_A,S7_600,A,TN397,L-Glutamine,642306,NA,NA,NA,NA
220602_Smp_TN397_S7_600_U_B,S7_600,B,TN397,L-Glutamine,536353,NA,NA,NA,NA
220602_Smp_TN397_S7_600_U_C,S7_600,C,TN397,L-Glutamine,588345,NA,NA,NA,NA
220602_Smp_TN397_S8_U_A,S8,A,TN397,L-Glutamine,783387,NA,NA,NA,NA
220602_Smp_TN397_S8_U_B,S8,B,TN397,L-Glutamine,1424211,NA,NA,NA,NA
220602_Smp_TN397_S8_U_C,S8,C,TN397,L-Glutamine,1013172,NA,NA,NA,NA
220602_Smp_TN397_S9_1800_U_A,S9_1800,A,TN397,L-Glutamine,2519940,NA,NA,NA,NA
220602_Smp_TN397_S9_1800_U_B,S9_1800,B,TN397,L-Glutamine,997454,NA,NA,NA,NA
220602_Smp_TN397_S9_1800_U_C,S9_1800,C,TN397,L-Glutamine,1611011,NA,NA,NA,NA
220602_Smp_TN397_S9_600_U_A,S9_600,A,TN397,L-Glutamine,513761,NA,NA,NA,NA
220602_Smp_TN397_S9_600_U_B,S9_600,B,TN397,L-Glutamine,150078,NA,Flag,165144.46666666667,NA
220602_Smp_TN397_S9_600_U_C,S9_600,C,TN397,L-Glutamine,1016701,NA,NA,NA,NA
220602_Smp_TN397_U1_A,U1,A,TN397,L-Glutamine,5418287,NA,NA,NA,NA
220602_Smp_TN397_U1_B,U1,B,TN397,L-Glutamine,3318539,NA,NA,NA,NA
220602_Smp_TN397_U1_C,U1,C,TN397,L-Glutamine,3420951,NA,NA,NA,NA
220602_Smp_TN397_U10_A,U10,A,TN397,L-Glutamine,698863,NA,NA,NA,NA
220602_Smp_TN397_U10_B,U10,B,TN397,L-Glutamine,1173755,NA,NA,NA,NA
220602_Smp_TN397_U10_C,U10,C,TN397,L-Glutamine,789306,NA,NA,NA,NA
220602_Smp_TN397_U11_A,U11,A,TN397,L-Glutamine,1529415,NA,NA,NA,NA
220602_Smp_TN397_U11_B,U11,B,TN397,L-Glutamine,1255692,NA,NA,NA,NA
220602_Smp_TN397_U11_C,U11,C,TN397,L-Glutamine,637893,NA,NA,NA,NA
220602_Smp_TN397_U12_A,U12,A,TN397,L-Glutamine,835158,NA,NA,NA,NA
220602_Smp_TN397_U12_B,U12,B,TN397,L-Glutamine,1451802,NA,NA,NA,NA
220602_Smp_TN397_U12_C,U12,C,TN397,L-Glutamine,1806891,NA,NA,NA,NA
220602_Smp_TN397_U13_A,U13,A,TN397,L-Glutamine,941011,NA,NA,NA,NA
220602_Smp_TN397_U13_B,U13,B,TN397,L-Glutamine,829149,NA,NA,NA,NA
220602_Smp_TN397_U13_C,U13,C,TN397,L-Glutamine,645932,NA,NA,NA,NA
220602_Smp_TN397_U2_A,U2,A,TN397,L-Glutamine,1007317,NA,NA,NA,NA
220602_Smp_TN397_U2_B,U2,B,TN397,L-Glutamine,509078,NA,NA,NA,NA
220602_Smp_TN397_U2_C,U2,C,TN397,L-Glutamine,1432638,NA,NA,NA,NA
220602_Smp_TN397_U3_A,U3,A,TN397,L-Glutamine,2274971,NA,NA,NA,NA
220602_Smp_TN397_U3_B,U3,B,TN397,L-Glutamine,1753680,NA,NA,NA,NA
220602_Smp_TN397_U3_C,U3,C,TN397,L-Glutamine,3111731,NA,NA,NA,NA
220602_Smp_TN397_U4_A,U4,A,TN397,L-Glutamine,3151425,NA,NA,NA,NA
220602_Smp_TN397_U4_B,U4,B,TN397,L-Glutamine,3800371,NA,NA,NA,NA
220602_Smp_TN397_U4_C,U4,C,TN397,L-Glutamine,2487547,NA,NA,NA,NA
220602_Smp_TN397_U5_A,U5,A,TN397,L-Glutamine,603990,NA,NA,NA,NA
220602_Smp_TN397_U5_B,U5,B,TN397,L-Glutamine,1046405,NA,NA,NA,NA
220602_Smp_TN397_U5_C,U5,C,TN397,L-Glutamine,1206850,NA,NA,NA,NA
220602_Smp_TN397_U6_A,U6,A,TN397,L-Glutamine,304918,NA,NA,NA,NA
220602_Smp_TN397_U6_B,U6,B,TN397,L-Glutamine,515529,NA,NA,NA,NA
220602_Smp_TN397_U6_C,U6,C,TN397,L-Glutamine,1063457,NA,NA,NA,NA
220602_Smp_TN397_U9_A,U9,A,TN397,L-Glutamine,618303,NA,NA,NA,NA
220602_Smp_TN397_U9_B,U9,B,TN397,L-Glutamine,687305,NA,NA,NA,NA
220602_Smp_TN397_U9_C,U9,C,TN397,L-Glutamine,847451,NA,NA,NA,NA
220602_Smp_TN397_UCH1_Gluc_A,UCH1_Gluc,A,TN397,L-Glutamine,636509,NA,NA,NA,NA
220602_Smp_TN397_UCH1_Gluc_B,UCH1_Gluc,B,TN397,L-Glutamine,483467,NA,NA,NA,NA
220602_Smp_TN397_UCH1_Gluc_C,UCH1_Gluc,C,TN397,L-Glutamine,459852,NA,NA,NA,NA
220602_Smp_TN397_UKH1_0nM_A,UKH1_0nM,A,TN397,L-Glutamine,607378,NA,NA,NA,NA
220602_Smp_TN397_UKH1_0nM_B,UKH1_0nM,B,TN397,L-Glutamine,1074647,NA,NA,NA,NA
220602_Smp_TN397_UKH1_0nM_C,UKH1_0nM,C,TN397,L-Glutamine,502828,NA,NA,NA,NA
220602_Smp_TN397_UKH2_0nM_A,UKH2_0nM,A,TN397,L-Glutamine,792992,NA,NA,NA,NA
220602_Smp_TN397_UKH2_0nM_B,UKH2_0nM,B,TN397,L-Glutamine,1688221,NA,NA,NA,NA
220602_Smp_TN397_UKH2_0nM_C,UKH2_0nM,C,TN397,L-Glutamine,2489067,NA,NA,NA,NA
220602_Smp_TN397_UKH3_0nM_A,UKH3_0nM,A,TN397,L-Glutamine,1257821,NA,NA,NA,NA
220602_Smp_TN397_UKH3_0nM_B,UKH3_0nM,B,TN397,L-Glutamine,847054,NA,NA,NA,NA
220602_Smp_TN397_UKH3_0nM_C,UKH3_0nM,C,TN397,L-Glutamine,1686875,NA,NA,NA,NA
220602_Smp_TN397_UKH4_0nM_A,UKH4_0nM,A,TN397,L-Glutamine,1150435,NA,NA,NA,NA
220602_Smp_TN397_UKH4_0nM_B,UKH4_0nM,B,TN397,L-Glutamine,969931,NA,NA,NA,NA
220602_Smp_TN397_UKH4_0nM_C,UKH4_0nM,C,TN397,L-Glutamine,819477,NA,NA,NA,NA
220602_Smp_TN397_UKH5_0nM_A,UKH5_0nM,A,TN397,L-Glutamine,608991,NA,NA,NA,NA
220602_Smp_TN397_UKH5_0nM_B,UKH5_0nM,B,TN397,L-Glutamine,985199,NA,NA,NA,NA
220602_Smp_TN397_UKH5_0nM_C,UKH5_0nM,C,TN397,L-Glutamine,1121774,NA,NA,NA,NA
220602_Smp_TN397_UKT1_0nM_A,UKT1_0nM,A,TN397,L-Glutamine,1107942,NA,NA,NA,NA
220602_Smp_TN397_UKT1_0nM_B,UKT1_0nM,B,TN397,L-Glutamine,1261893,NA,NA,NA,NA
220602_Smp_TN397_UKT1_0nM_C,UKT1_0nM,C,TN397,L-Glutamine,1975021,NA,NA,NA,NA
220602_Smp_TN397_UKT2_0nM_A,UKT2_0nM,A,TN397,L-Glutamine,948571,NA,NA,NA,NA
220602_Smp_TN397_UKT2_0nM_B,UKT2_0nM,B,TN397,L-Glutamine,445710,NA,NA,NA,NA
220602_Smp_TN397_UKT2_0nM_C,UKT2_0nM,C,TN397,L-Glutamine,956475,NA,NA,NA,NA
220602_Smp_TN397_UKT3_0nM_A,UKT3_0nM,A,TN397,L-Glutamine,884670,NA,NA,NA,NA
220602_Smp_TN397_UKT3_0nM_B,UKT3_0nM,B,TN397,L-Glutamine,1483068,NA,NA,NA,NA
220602_Smp_TN397_UKT3_0nM_C,UKT3_0nM,C,TN397,L-Glutamine,880381,NA,NA,NA,NA
220602_Smp_TN397_UKT4_0nM_A,UKT4_0nM,A,TN397,L-Glutamine,1119425,NA,NA,NA,NA
220602_Smp_TN397_UKT4_0nM_B,UKT4_0nM,B,TN397,L-Glutamine,1212696,NA,NA,NA,NA
220602_Smp_TN397_UKT4_0nM_C,UKT4_0nM,C,TN397,L-Glutamine,484003,NA,NA,NA,NA
220602_Smp_TN397_UKT5_0nM_A,UKT5_0nM,A,TN397,L-Glutamine,831787,NA,NA,NA,NA
220602_Smp_TN397_UKT5_0nM_B,UKT5_0nM,B,TN397,L-Glutamine,846178,NA,NA,NA,NA
220602_Smp_TN397_UKT5_0nM_C,UKT5_0nM,C,TN397,L-Glutamine,916426,NA,NA,NA,NA
220602_Smp_TN397_UnfiltMQ1_A,UnfiltMQ1,A,TN397,L-Glutamine,408502,NA,NA,NA,NA
220602_Smp_TN397_UnfiltMQ1_B,UnfiltMQ1,B,TN397,L-Glutamine,655597,NA,NA,NA,NA
220602_Smp_TN397_UnfiltMQ1_C,UnfiltMQ1,C,TN397,L-Glutamine,254399,NA,NA,NA,NA
220602_Smp_TN397_S4_2400_U_A,S4_2400,A,TN397,L-Isoleucine,12006519,NA,NA,NA,NA
220602_Smp_TN397_S4_2400_U_B,S4_2400,B,TN397,L-Isoleucine,6342098,NA,NA,NA,NA
220602_Smp_TN397_S4_2400_U_C,S4_2400,C,TN397,L-Isoleucine,4365008,NA,NA,NA,NA
220602_Smp_TN397_S4_U_1800_A,S4_1800,A,TN397,L-Isoleucine,6207227,NA,NA,NA,NA
220602_Smp_TN397_S4_U_1800_B,S4_1800,B,TN397,L-Isoleucine,5931527,NA,NA,NA,NA
220602_Smp_TN397_S4_U_1800_C,S4_1800,C,TN397,L-Isoleucine,5507628,NA,NA,NA,NA
220602_Smp_TN397_S4_U_600_A,S4_600,A,TN397,L-Isoleucine,5778957,NA,NA,NA,NA
220602_Smp_TN397_S4_U_600_B,S4_600,B,TN397,L-Isoleucine,6131126,NA,NA,NA,NA
220602_Smp_TN397_S4_U_600_C,S4_600,C,TN397,L-Isoleucine,5793702,NA,NA,NA,NA
220602_Smp_TN397_S6_U_A,S6,A,TN397,L-Isoleucine,4704973,NA,NA,NA,NA
220602_Smp_TN397_S6_U_B,S6,B,TN397,L-Isoleucine,7612958,NA,NA,NA,NA
220602_Smp_TN397_S6_U_C,S6,C,TN397,L-Isoleucine,8615743,NA,NA,NA,NA
220602_Smp_TN397_S7_1800_U_A,S7_1800,A,TN397,L-Isoleucine,11666467,NA,NA,NA,NA
220602_Smp_TN397_S7_1800_U_B,S7_1800,B,TN397,L-Isoleucine,8564254,NA,NA,NA,NA
220602_Smp_TN397_S7_1800_U_C,S7_1800,C,TN397,L-Isoleucine,15058035,NA,NA,NA,NA
