Cruise,Parent_ID,Part.SampID,Diss.SampID
TN397,TN397_S12_1800_U_B,220902_Smp_TN397_S12_1800_U_B,220602_Smp_TN397_S12_1800_U_B
TN397,TN397_S12_1800_U_C,220902_Smp_TN397_S12_1800_U_C,220602_Smp_TN397_S12_1800_U_C
TN397,TN397_S13_1800_U_A,220902_Smp_TN397_S13_1800_U_A,220602_Smp_TN397_S13_1800_U_A
TN397,TN397_S13_1800_U_B,220902_Smp_TN397_S13_1800_U_B,220602_Smp_TN397_S13_1800_U_B
TN397,TN397_S13_1800_U_C,220902_Smp_TN397_S13_1800_U_C,220602_Smp_TN397_S13_1800_U_C
TN397,TN397_S14_U_A,220902_Smp_TN397_S14_U_A,220602_Smp_TN397_S14_U_A
TN397,TN397_S14_U_B,220902_Smp_TN397_S14_U_B,220602_Smp_TN397_S14_U_B
TN397,TN397_S14_U_C,220902_Smp_TN397_S14_U_C,220602_Smp_TN397_S14_U_C
TN397,TN397_S15_U_A,220902_Smp_TN397_S15_U_A,220602_Smp_TN397_S15_U_A
TN397,TN397_S15_U_B,220902_Smp_TN397_S15_U_B,220602_Smp_TN397_S15_U_B
TN397,TN397_S15_U_C,220902_Smp_TN397_S15_U_C,220602_Smp_TN397_S15_U_C
TN397,TN397_S16_U_A,220902_Smp_TN397_S16_U_A,220602_Smp_TN397_S16_U_A
TN397,TN397_S16_U_B,220902_Smp_TN397_S16_U_B,220602_Smp_TN397_S16_U_B
TN397,TN397_S16_U_C,220902_Smp_TN397_S16_U_C,220602_Smp_TN397_S16_U_C
TN397,TN397_S17_U_A,220902_Smp_TN397_S17_U_A,220602_Smp_TN397_S17_U_A
TN397,TN397_S17_U_B,220902_Smp_TN397_S17_U_B,220602_Smp_TN397_S17_U_B
TN397,TN397_S17_U_C,220902_Smp_TN397_S17_U_C,220602_Smp_TN397_S17_U_C
TN397,TN397_S18_U_A,220902_Smp_TN397_S18_U_A,NA
TN397,TN397_S18_U_B,220902_Smp_TN397_S18_U_B,NA
TN397,TN397_S18_U_C,220902_Smp_TN397_S18_U_C,NA
TN397,TN397_U1_A,220902_Smp_TN397_U1_A,220602_Smp_TN397_U1_A
TN397,TN397_U1_B,220902_Smp_TN397_U1_B,220602_Smp_TN397_U1_B
TN397,TN397_U1_C,220902_Smp_TN397_U1_C,220602_Smp_TN397_U1_C
TN397,TN397_U2_A,220902_Smp_TN397_U2_A,220602_Smp_TN397_U2_A
TN397,TN397_U2_B,220902_Smp_TN397_U2_B,220602_Smp_TN397_U2_B
TN397,TN397_U2_C,220902_Smp_TN397_U2_C,220602_Smp_TN397_U2_C
TN397,TN397_U3_A,220902_Smp_TN397_U3_A,220602_Smp_TN397_U3_A
TN397,TN397_U3_B,220902_Smp_TN397_U3_B,220602_Smp_TN397_U3_B
TN397,TN397_U3_C,220902_Smp_TN397_U3_C,220602_Smp_TN397_U3_C
TN397,TN397_U4_A,220902_Smp_TN397_U4_A,220602_Smp_TN397_U4_A
TN397,TN397_U4_B,220902_Smp_TN397_U4_B,220602_Smp_TN397_U4_B
TN397,TN397_U4_C,220902_Smp_TN397_U4_C,220602_Smp_TN397_U4_C
TN397,TN397_U5_A,220902_Smp_TN397_U5_A,220602_Smp_TN397_U5_A
TN397,TN397_U5_B,220902_Smp_TN397_U5_B,220602_Smp_TN397_U5_B
TN397,TN397_U5_C,220902_Smp_TN397_U5_C,220602_Smp_TN397_U5_C
TN397,TN397_U6_A,220902_Smp_TN397_U6_A,220602_Smp_TN397_U6_A
TN397,TN397_U6_B,220902_Smp_TN397_U6_B,220602_Smp_TN397_U6_B
TN397,TN397_U6_C,220902_Smp_TN397_U6_C,220602_Smp_TN397_U6_C
TN397,TN397_U7_A,220902_Smp_TN397_U7_A,NA
TN397,TN397_U7_B,220902_Smp_TN397_U7_B,NA
TN397,TN397_U7_C,220902_Smp_TN397_U7_C,NA
