Cruise,Parent_ID,Part.SampID,Compound,Part.detected,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.Impute.Conc.nM,Treatment,Replicate,POC_uM,PN_uM,Chlorophyte,Diatom,Dinoflagellate,Haptophyte,Metazoa,Other,N,P,Fe,N_status
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Isethionic acid,No,0.4612651067541418,0.02050067141129518,0.04100134282259037,NA,0.02050067141129518,0.17420923829734003,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Sucrose,Yes,1.769516370690558,0.07864517203069145,0.9437420643682974,NA,NA,0.02214543697793795,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Taurine,Yes,0.8259503037356646,0.03670890238825176,0.07341780477650352,0.03670890238825176,0.03670890238825176,0.00589488231192166,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Trehalose,No,0.2928101544146202,0.01301378464064978,0.15616541568779746,NA,NA,0.0055611955664161,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,(3-Carboxypropyl)trimethylammonium,Yes,0.27897527150554957,0.01253821444968762,0.08776750114781334,0.01253821444968762,NA,1.4748221703194964e-4,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,"(R)-2,3-Dihydroxypropane-1-sulfonate",No,0.5422557052641518,0.0243710429332203,0.0731131287996609,NA,0.0243710429332203,0.04362338352522229,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,2-O-alpha-D-Glucosylglycerol,Yes,1.5067074986475777,0.06771719095045292,0.6094547185540763,NA,NA,0.02543113352544702,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,5-Hydroxyectoine,No,6.362047741396786e-4,2.8593472995041736e-5,1.7156083797025042e-4,5.718694599008347e-5,NA,2.1232344580739436e-5,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Betonicine,Yes,0.13892425734979488,0.00624378684718179,0.04370650793027254,0.00624378684718179,NA,4.456111528599378e-4,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Carnitine,Yes,0.26114435220915677,0.01173682481838906,0.08215777372872347,0.01173682481838906,NA,0.00123641021695191,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
PERIFIX,T0Tote_2,230213_Smp_T0Tote_2,Dimethylsulfonioacetate,Yes,1.2254326489260183,0.05507562467083227,0.2203024986833291,NA,0.05507562467083227,0.00327854815056055,Tote,2,2.909,0.367,0,0.002,0.348,0.061,0.119,0.469,0,0,0,minus_N
