Rep,Compound,detected
170706_Smp_S3E15D15_C,Proline betaine,Yes
170706_Smp_S3E15E15_Ds,Proline betaine,Yes
170706_Smp_S4E16D15_A,Proline betaine,Yes
170706_Smp_S4E16D15_B,Proline betaine,Yes
170706_Smp_S4E16D15_C,Proline betaine,Yes
170706_Smp_S4E16D15_Ds,Proline betaine,Yes
170706_Smp_S5E28D15_A,Proline betaine,Yes
170706_Smp_S5E28D15_B,Proline betaine,Yes
170706_Smp_S5E28D15_C,Proline betaine,Yes
170706_Smp_S5E28D15_Ds,Proline betaine,Yes
170706_Smp_S6E37D15_A,Proline betaine,Yes
170706_Smp_S6E37D15_B,Proline betaine,Yes
170706_Smp_S6E37D15_C,Proline betaine,Yes
170706_Smp_S6E37D15_Ds,Proline betaine,Yes
170706_Smp_S3E15D15_A,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S3E15D15_B,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S3E15D15_C,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S3E15E15_Ds,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S4E16D15_A,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S4E16D15_B,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S4E16D15_C,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S4E16D15_Ds,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S5E28D15_A,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S5E28D15_B,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S5E28D15_C,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S5E28D15_Ds,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S6E37D15_A,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S6E37D15_B,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S6E37D15_C,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S6E37D15_Ds,(3-Carboxypropyl)trimethylammonium,Yes
170706_Smp_S3E15D15_A,L-Glutamine,Yes
170706_Smp_S3E15D15_B,L-Glutamine,Yes
170706_Smp_S3E15D15_C,L-Glutamine,Yes
170706_Smp_S3E15E15_Ds,L-Glutamine,Yes
170706_Smp_S4E16D15_A,L-Glutamine,Yes
170706_Smp_S4E16D15_B,L-Glutamine,Yes
170706_Smp_S4E16D15_C,L-Glutamine,Yes
170706_Smp_S4E16D15_Ds,L-Glutamine,Yes
170706_Smp_S5E28D15_A,L-Glutamine,Yes
170706_Smp_S5E28D15_B,L-Glutamine,Yes
170706_Smp_S5E28D15_C,L-Glutamine,Yes
170706_Smp_S5E28D15_Ds,L-Glutamine,Yes
170706_Smp_S6E37D15_A,L-Glutamine,Yes
170706_Smp_S6E37D15_B,L-Glutamine,Yes
170706_Smp_S6E37D15_C,L-Glutamine,Yes
170706_Smp_S6E37D15_Ds,L-Glutamine,Yes
170706_Smp_S3E15D15_A,L-Lysine,Yes
170706_Smp_S3E15D15_B,L-Lysine,Yes
170706_Smp_S3E15D15_C,L-Lysine,Yes
170706_Smp_S3E15E15_Ds,L-Lysine,Yes
170706_Smp_S4E16D15_A,L-Lysine,Yes
170706_Smp_S4E16D15_B,L-Lysine,Yes
170706_Smp_S4E16D15_C,L-Lysine,Yes
170706_Smp_S4E16D15_Ds,L-Lysine,Yes
170706_Smp_S5E28D15_A,L-Lysine,Yes
170706_Smp_S5E28D15_B,L-Lysine,Yes
170706_Smp_S5E28D15_C,L-Lysine,Yes
170706_Smp_S5E28D15_Ds,L-Lysine,Yes
170706_Smp_S6E37D15_A,L-Lysine,Yes
170706_Smp_S6E37D15_B,L-Lysine,Yes
170706_Smp_S6E37D15_C,L-Lysine,Yes
170706_Smp_S6E37D15_Ds,L-Lysine,Yes
170706_Smp_S3E15D15_A,beta-Glutamic acid,Yes
170706_Smp_S3E15D15_B,beta-Glutamic acid,Yes
170706_Smp_S3E15D15_C,beta-Glutamic acid,Yes
170706_Smp_S3E15E15_Ds,beta-Glutamic acid,Yes
170706_Smp_S4E16D15_A,beta-Glutamic acid,Yes
170706_Smp_S4E16D15_B,beta-Glutamic acid,Yes
170706_Smp_S4E16D15_C,beta-Glutamic acid,Yes
170706_Smp_S4E16D15_Ds,beta-Glutamic acid,Yes
170706_Smp_S5E28D15_A,beta-Glutamic acid,Yes
170706_Smp_S5E28D15_B,beta-Glutamic acid,Yes
170706_Smp_S5E28D15_C,beta-Glutamic acid,Yes
170706_Smp_S5E28D15_Ds,beta-Glutamic acid,Yes
170706_Smp_S6E37D15_A,beta-Glutamic acid,Yes
170706_Smp_S6E37D15_B,beta-Glutamic acid,Yes
170706_Smp_S6E37D15_C,beta-Glutamic acid,Yes
170706_Smp_S6E37D15_Ds,beta-Glutamic acid,Yes
170706_Smp_S3E15D15_A,L-Glutamic acid,Yes
170706_Smp_S3E15D15_B,L-Glutamic acid,Yes
170706_Smp_S3E15D15_C,L-Glutamic acid,Yes
170706_Smp_S3E15E15_Ds,L-Glutamic acid,Yes
170706_Smp_S4E16D15_A,L-Glutamic acid,Yes
170706_Smp_S4E16D15_B,L-Glutamic acid,Yes
170706_Smp_S4E16D15_C,L-Glutamic acid,Yes
170706_Smp_S4E16D15_Ds,L-Glutamic acid,Yes
170706_Smp_S5E28D15_A,L-Glutamic acid,Yes
170706_Smp_S5E28D15_B,L-Glutamic acid,Yes
170706_Smp_S5E28D15_C,L-Glutamic acid,Yes
170706_Smp_S5E28D15_Ds,L-Glutamic acid,Yes
170706_Smp_S6E37D15_A,L-Glutamic acid,Yes
170706_Smp_S6E37D15_B,L-Glutamic acid,Yes
170706_Smp_S6E37D15_C,L-Glutamic acid,Yes
170706_Smp_S6E37D15_Ds,L-Glutamic acid,Yes
170706_Smp_S3E15D15_A,Hydroxyisoleucine,Yes
170706_Smp_S3E15D15_B,Hydroxyisoleucine,Yes
170706_Smp_S3E15D15_C,Hydroxyisoleucine,Yes
170706_Smp_S3E15E15_Ds,Hydroxyisoleucine,Yes
170706_Smp_S4E16D15_A,Hydroxyisoleucine,Yes
170706_Smp_S4E16D15_B,Hydroxyisoleucine,Yes
170706_Smp_S4E16D15_C,Hydroxyisoleucine,Yes
170706_Smp_S4E16D15_Ds,Hydroxyisoleucine,Yes
170706_Smp_S5E28D15_A,Hydroxyisoleucine,Yes
170706_Smp_S5E28D15_B,Hydroxyisoleucine,Yes
170706_Smp_S5E28D15_C,Hydroxyisoleucine,Yes
170706_Smp_S5E28D15_Ds,Hydroxyisoleucine,Yes
170706_Smp_S6E37D15_A,Hydroxyisoleucine,Yes
170706_Smp_S6E37D15_B,Hydroxyisoleucine,Yes
170706_Smp_S6E37D15_C,Hydroxyisoleucine,Yes
170706_Smp_S6E37D15_Ds,Hydroxyisoleucine,Yes
170706_Smp_S3E15D15_A,L-Methionine,Yes
170706_Smp_S3E15D15_B,L-Methionine,Yes
170706_Smp_S3E15D15_C,L-Methionine,Yes
170706_Smp_S3E15E15_Ds,L-Methionine,Yes
170706_Smp_S4E16D15_A,L-Methionine,Yes
170706_Smp_S4E16D15_B,L-Methionine,Yes
170706_Smp_S4E16D15_C,L-Methionine,Yes
170706_Smp_S4E16D15_Ds,L-Methionine,Yes
170706_Smp_S5E28D15_A,L-Methionine,Yes
170706_Smp_S5E28D15_B,L-Methionine,Yes
170706_Smp_S5E28D15_C,L-Methionine,Yes
170706_Smp_S5E28D15_Ds,L-Methionine,Yes
170706_Smp_S6E37D15_A,L-Methionine,Yes
170706_Smp_S6E37D15_B,L-Methionine,Yes
170706_Smp_S6E37D15_C,L-Methionine,Yes
170706_Smp_S6E37D15_Ds,L-Methionine,Yes
170706_Smp_S3E15D15_A,5-Hydroxyectoine,Yes
170706_Smp_S3E15D15_B,5-Hydroxyectoine,Yes
170706_Smp_S3E15D15_C,5-Hydroxyectoine,Yes
170706_Smp_S3E15E15_Ds,5-Hydroxyectoine,Yes
170706_Smp_S4E16D15_A,5-Hydroxyectoine,Yes
170706_Smp_S4E16D15_B,5-Hydroxyectoine,Yes
170706_Smp_S4E16D15_C,5-Hydroxyectoine,Yes
170706_Smp_S4E16D15_Ds,5-Hydroxyectoine,Yes
170706_Smp_S5E28D15_A,5-Hydroxyectoine,Yes
170706_Smp_S5E28D15_B,5-Hydroxyectoine,Yes
170706_Smp_S5E28D15_C,5-Hydroxyectoine,Yes
170706_Smp_S5E28D15_Ds,5-Hydroxyectoine,Yes
170706_Smp_S6E37D15_A,5-Hydroxyectoine,Yes
170706_Smp_S6E37D15_B,5-Hydroxyectoine,Yes
170706_Smp_S6E37D15_C,5-Hydroxyectoine,Yes
170706_Smp_S6E37D15_Ds,5-Hydroxyectoine,Yes
170706_Smp_S3E15D15_A,Betonicine,Yes
170706_Smp_S3E15D15_B,Betonicine,Yes
170706_Smp_S3E15D15_C,Betonicine,Yes
170706_Smp_S3E15E15_Ds,Betonicine,Yes
170706_Smp_S4E16D15_A,Betonicine,Yes
170706_Smp_S4E16D15_B,Betonicine,Yes
170706_Smp_S4E16D15_C,Betonicine,Yes
170706_Smp_S4E16D15_Ds,Betonicine,Yes
170706_Smp_S5E28D15_A,Betonicine,Yes
170706_Smp_S5E28D15_B,Betonicine,Yes
170706_Smp_S5E28D15_C,Betonicine,Yes
170706_Smp_S5E28D15_Ds,Betonicine,Yes
170706_Smp_S6E37D15_A,Betonicine,Yes
170706_Smp_S6E37D15_B,Betonicine,Yes
170706_Smp_S6E37D15_C,Betonicine,Yes
170706_Smp_S6E37D15_Ds,Betonicine,Yes
170706_Smp_S3E15D15_A,Carnitine,Yes
170706_Smp_S3E15D15_B,Carnitine,Yes
170706_Smp_S3E15D15_C,Carnitine,Yes
170706_Smp_S3E15E15_Ds,Carnitine,Yes
170706_Smp_S4E16D15_A,Carnitine,Yes
170706_Smp_S4E16D15_B,Carnitine,Yes
170706_Smp_S4E16D15_C,Carnitine,Yes
170706_Smp_S4E16D15_Ds,Carnitine,Yes
170706_Smp_S5E28D15_A,Carnitine,Yes
170706_Smp_S5E28D15_B,Carnitine,Yes
170706_Smp_S5E28D15_C,Carnitine,Yes
170706_Smp_S5E28D15_Ds,Carnitine,Yes
170706_Smp_S6E37D15_A,Carnitine,Yes
170706_Smp_S6E37D15_B,Carnitine,Yes
170706_Smp_S6E37D15_C,Carnitine,Yes
170706_Smp_S6E37D15_Ds,Carnitine,Yes
170706_Smp_S3E15D15_A,L-Arginine,Yes
170706_Smp_S3E15D15_B,L-Arginine,Yes
170706_Smp_S3E15D15_C,L-Arginine,Yes
170706_Smp_S3E15E15_Ds,L-Arginine,Yes
170706_Smp_S4E16D15_A,L-Arginine,Yes
170706_Smp_S4E16D15_B,L-Arginine,Yes
170706_Smp_S4E16D15_C,L-Arginine,Yes
170706_Smp_S4E16D15_Ds,L-Arginine,Yes
170706_Smp_S5E28D15_A,L-Arginine,Yes
170706_Smp_S5E28D15_B,L-Arginine,Yes
170706_Smp_S5E28D15_C,L-Arginine,Yes
170706_Smp_S5E28D15_Ds,L-Arginine,Yes
170706_Smp_S6E37D15_A,L-Arginine,Yes
170706_Smp_S6E37D15_B,L-Arginine,Yes
170706_Smp_S6E37D15_C,L-Arginine,Yes
170706_Smp_S6E37D15_Ds,L-Arginine,Yes
170706_Smp_S3E15D15_A,Arsenobetaine,Yes
170706_Smp_S3E15D15_B,Arsenobetaine,Yes
170706_Smp_S3E15D15_C,Arsenobetaine,Yes
170706_Smp_S3E15E15_Ds,Arsenobetaine,Yes
170706_Smp_S4E16D15_A,Arsenobetaine,Yes
170706_Smp_S4E16D15_B,Arsenobetaine,Yes
170706_Smp_S4E16D15_C,Arsenobetaine,Yes
170706_Smp_S4E16D15_Ds,Arsenobetaine,Yes
170706_Smp_S5E28D15_A,Arsenobetaine,Yes
170706_Smp_S5E28D15_B,Arsenobetaine,Yes
170706_Smp_S5E28D15_C,Arsenobetaine,Yes
170706_Smp_S5E28D15_Ds,Arsenobetaine,Yes
