Region,compound.name.figure,mean.relabun
NPSG,Hydroxyisoleucine,-0.27889843133919756
NPSG,Isethionic acid,-0.7135296367525619
NPSG,Proline,-1.1979454950296826
NPSG,Proline betaine,-1.9129332212208794
NPSG,Sarcosine,-1.99898577279515
NPSG,Sucrose,-0.6621225101806438
NPSG,TMAB,-1.623920184988573
NPSG,TMAO,-1.0054372569673027
NPSG,Taurine,-0.6627434841244197
NPSG,Threonine,-1.4304332319128525
NPSG,Trehalose,-1.4960913966406804
NPSG,Trigonelline,-1.4065765533836099
NPSG,beta-Alanine,-1.460542221227492
NPSG,beta-Alanine betaine,-0.6881471441487383
NPSG,beta-Glutamic acid,-1.7376929100026255
NPTZ,(Iso)leucine,-0.5096983128726257
NPTZ,Alanine,-0.47580342182921065
NPTZ,Arsenobetaine,-3.619620391220218
NPTZ,Asparagine,-1.4551857737073712
NPTZ,Aspartic acid,-0.8731633138629167
NPTZ,Betonicine,-1.7959219244884304
NPTZ,Carnitine,-1.7258844897153136
NPTZ,DHPS,-0.8329438861745564
NPTZ,DMSA,-0.6516912001340995
NPTZ,DMSP,-0.6336733095598333
NPTZ,Ectoine,-2.878737146327415
NPTZ,GBT,-0.3234840259204735
NPTZ,GG,-0.3770439669478281
NPTZ,Glutamic acid,-0.18918559584577221
NPTZ,Glutamine,-0.7046544394577073
NPTZ,Gonyol,-0.1785929121621512
NPTZ,Homarine,-0.5024667223994779
NPTZ,Hydroxyectoine,-4.3269077023002405
NPTZ,Hydroxyisoleucine,-0.901455097175531
NPTZ,Isethionic acid,-0.097263263215304
NPTZ,Proline,-0.8414737101304443
NPTZ,Proline betaine,-2.215580533383772
NPTZ,Sarcosine,-2.3357983389952666
NPTZ,Sucrose,-1.421341750997371
NPTZ,TMAB,-1.3084872646779462
NPTZ,TMAO,-0.8667596140115144
NPTZ,Taurine,-0.2216062429084704
NPTZ,Threonine,-1.3731944077516436
NPTZ,Trehalose,-1.731284200489443
NPTZ,Trigonelline,-1.2738216218490643
NPTZ,beta-Alanine,-0.9470284220206155
NPTZ,beta-Alanine betaine,-0.6751902549596102
NPTZ,beta-Glutamic acid,-1.7187502166093402
PEDP,(Iso)leucine,-0.1840163288514474
PEDP,Alanine,-0.5380915688496016
PEDP,Arsenobetaine,-3.0760983787182914
PEDP,Asparagine,-1.4648119220592601
PEDP,Aspartic acid,-0.815543268952163
PEDP,Betonicine,-2.2196761999685126
PEDP,Carnitine,-2.1738207682759927
PEDP,DHPS,-0.8219086082970084
PEDP,DMSA,-1.7715776683963451
PEDP,DMSP,-1.2788186733750067
PEDP,Ectoine,-2.2615068248683725
PEDP,GBT,-0.41506158976768187
PEDP,GG,-0.6948138649320259
PEDP,Glutamic acid,-0.007276014456350668
PEDP,Glutamine,-1.106399865460844
