Rep,Compound,Area,Batch
170706_Smp_S4E16D15_C,"DL-Histidine, 15N",16402010,G2
170706_Smp_S4E16D15_Ds,"DL-Histidine, 15N",15437314,G2
170706_Smp_S5E28D15_A,"DL-Histidine, 15N",11323159,G2
170706_Smp_S5E28D15_B,"DL-Histidine, 15N",12894494,G2
170706_Smp_S5E28D15_C,"DL-Histidine, 15N",75446120,G2
170706_Smp_S5E28D15_Ds,"DL-Histidine, 15N",17727812,G2
170706_Smp_S6E37D15_A,"DL-Histidine, 15N",20890572,G2
170706_Smp_S6E37D15_B,"DL-Histidine, 15N",21213492,G2
170706_Smp_S6E37D15_C,"DL-Histidine, 15N",26902526,G2
170706_Smp_S6E37D15_Ds,"DL-Histidine, 15N",13534529,G2
170706_Std_4uM-StdsInH2O_1,"Succinic acid, 2H4",NA,G2
170706_Std_4uM-StdsInH2O_2,"Succinic acid, 2H4",15317,G2
170706_Std_4uM-StdsInH2O_3,"Succinic acid, 2H4",9064,G2
170706_Std_4uM-StdsInH2O_4,"Succinic acid, 2H4",15754,G2
170706_Std_4uM-StdsInH2O_5,"Succinic acid, 2H4",9799,G2
170706_Std_4uM-StdsInH2O_6,"Succinic acid, 2H4",10693,G2
170706_Std_4uM-StdsInAqMatrix_1,"Succinic acid, 2H4",45251444,G2
170706_Std_4uM-StdsInAqMatrix_2,"Succinic acid, 2H4",33239346,G2
170706_Std_4uM-StdsInAqMatrix_3,"Succinic acid, 2H4",35301596,G2
170706_Std_4uM-StdsInAqMatrix_4,"Succinic acid, 2H4",47111948,G2
170706_Std_4uM-StdsInAqMatrix_5,"Succinic acid, 2H4",20570366,G2
170706_Blk_Blk0p2_1,"Succinic acid, 2H4",86826968,G2
170706_Blk_Blk0p2_2,"Succinic acid, 2H4",95167952,G2
170706_Blk_BlkMQ_1,"Succinic acid, 2H4",110799824,G2
170706_Blk_BlkMQ_3,"Succinic acid, 2H4",88456112,G2
170706_Blk_MQBlk_2,"Succinic acid, 2H4",102045728,G2
170706_Poo_TruePoo_Full1,"Succinic acid, 2H4",86153376,G2
170706_Poo_TruePoo_Full2,"Succinic acid, 2H4",90290512,G2
170706_Poo_TruePoo_Full3,"Succinic acid, 2H4",99621272,G2
170706_Poo_TruePoo_Full4,"Succinic acid, 2H4",100845832,G2
170706_Poo_TruePoo_Full5,"Succinic acid, 2H4",85055088,G2
170706_Poo_TruePoo_Full6,"Succinic acid, 2H4",111976280,G2
170706_Poo_TruePoo_Full7,"Succinic acid, 2H4",105979816,G2
170706_Poo_TruePoo_Half1,"Succinic acid, 2H4",41036156,G2
170706_Poo_TruePoo_Half2,"Succinic acid, 2H4",46255112,G2
170706_Poo_TruePoo_Half3,"Succinic acid, 2H4",48626228,G2
170706_Poo_TruePoo_Half4,"Succinic acid, 2H4",51050928,G2
170706_Poo_TruePoo_Half5,"Succinic acid, 2H4",41676920,G2
170706_Poo_TruePoo_Half6,"Succinic acid, 2H4",54612872,G2
170706_Poo_TruePoo_Half7,"Succinic acid, 2H4",52853388,G2
170706_Smp_S3E15D15_A,"Succinic acid, 2H4",110420720,G2
170706_Smp_S3E15D15_B,"Succinic acid, 2H4",81260632,G2
170706_Smp_S3E15D15_C,"Succinic acid, 2H4",98416552,G2
170706_Smp_S3E15E15_Ds,"Succinic acid, 2H4",84732912,G2
170706_Smp_S4E16D15_A,"Succinic acid, 2H4",79856520,G2
170706_Smp_S4E16D15_B,"Succinic acid, 2H4",90584096,G2
170706_Smp_S4E16D15_C,"Succinic acid, 2H4",84820504,G2
170706_Smp_S4E16D15_Ds,"Succinic acid, 2H4",84755024,G2
170706_Smp_S5E28D15_A,"Succinic acid, 2H4",85646200,G2
170706_Smp_S5E28D15_B,"Succinic acid, 2H4",89769080,G2
170706_Smp_S5E28D15_C,"Succinic acid, 2H4",93994016,G2
170706_Smp_S5E28D15_Ds,"Succinic acid, 2H4",83824800,G2
170706_Smp_S6E37D15_A,"Succinic acid, 2H4",85915952,G2
170706_Smp_S6E37D15_B,"Succinic acid, 2H4",81286272,G2
170706_Smp_S6E37D15_C,"Succinic acid, 2H4",87213400,G2
170706_Smp_S6E37D15_Ds,"Succinic acid, 2H4",85188664,G2
170706_Std_4uM-StdsInH2O_1,"Isethionic acid, 13C2",NA,G2
170706_Std_4uM-StdsInH2O_2,"Isethionic acid, 13C2",NA,G2
170706_Std_4uM-StdsInH2O_3,"Isethionic acid, 13C2",NA,G2
170706_Std_4uM-StdsInH2O_4,"Isethionic acid, 13C2",NA,G2
170706_Std_4uM-StdsInH2O_5,"Isethionic acid, 13C2",NA,G2
170706_Std_4uM-StdsInH2O_6,"Isethionic acid, 13C2",NA,G2
170706_Std_4uM-StdsInAqMatrix_1,"Isethionic acid, 13C2",9662355,G2
170706_Std_4uM-StdsInAqMatrix_2,"Isethionic acid, 13C2",8149392,G2
170706_Std_4uM-StdsInAqMatrix_3,"Isethionic acid, 13C2",9014698,G2
170706_Std_4uM-StdsInAqMatrix_4,"Isethionic acid, 13C2",17046036,G2
170706_Std_4uM-StdsInAqMatrix_5,"Isethionic acid, 13C2",11153257,G2
170706_Blk_Blk0p2_1,"Isethionic acid, 13C2",42489068,G2
170706_Blk_Blk0p2_2,"Isethionic acid, 13C2",89318872,G2
170706_Blk_BlkMQ_1,"Isethionic acid, 13C2",45194060,G2
170706_Blk_BlkMQ_3,"Isethionic acid, 13C2",66679208,G2
170706_Blk_MQBlk_2,"Isethionic acid, 13C2",44249596,G2
170706_Poo_TruePoo_Full1,"Isethionic acid, 13C2",26356518,G2
170706_Poo_TruePoo_Full2,"Isethionic acid, 13C2",28276488,G2
170706_Poo_TruePoo_Full3,"Isethionic acid, 13C2",33016756,G2
170706_Poo_TruePoo_Full4,"Isethionic acid, 13C2",35414304,G2
170706_Poo_TruePoo_Full5,"Isethionic acid, 13C2",56853984,G2
170706_Poo_TruePoo_Full6,"Isethionic acid, 13C2",59778332,G2
170706_Poo_TruePoo_Full7,"Isethionic acid, 13C2",65113204,G2
170706_Poo_TruePoo_Half1,"Isethionic acid, 13C2",12731416,G2
170706_Poo_TruePoo_Half2,"Isethionic acid, 13C2",15586816,G2
170706_Poo_TruePoo_Half3,"Isethionic acid, 13C2",15872780,G2
170706_Poo_TruePoo_Half4,"Isethionic acid, 13C2",19120958,G2
170706_Poo_TruePoo_Half5,"Isethionic acid, 13C2",33022822,G2
170706_Poo_TruePoo_Half6,"Isethionic acid, 13C2",33878364,G2
170706_Poo_TruePoo_Half7,"Isethionic acid, 13C2",41578772,G2
170706_Smp_S3E15D15_A,"Isethionic acid, 13C2",74095392,G2
170706_Smp_S3E15D15_B,"Isethionic acid, 13C2",31291788,G2
170706_Smp_S3E15D15_C,"Isethionic acid, 13C2",82572416,G2
170706_Smp_S3E15E15_Ds,"Isethionic acid, 13C2",73361520,G2
170706_Smp_S4E16D15_A,"Isethionic acid, 13C2",41784280,G2
170706_Smp_S4E16D15_B,"Isethionic acid, 13C2",78286928,G2
170706_Smp_S4E16D15_C,"Isethionic acid, 13C2",43483452,G2
170706_Smp_S4E16D15_Ds,"Isethionic acid, 13C2",41597276,G2
170706_Smp_S5E28D15_A,"Isethionic acid, 13C2",47109732,G2
170706_Smp_S5E28D15_B,"Isethionic acid, 13C2",69841856,G2
170706_Smp_S5E28D15_C,"Isethionic acid, 13C2",36246056,G2
170706_Smp_S5E28D15_Ds,"Isethionic acid, 13C2",46974692,G2
170706_Smp_S6E37D15_A,"Isethionic acid, 13C2",28236542,G2
170706_Smp_S6E37D15_B,"Isethionic acid, 13C2",27555122,G2
170706_Smp_S6E37D15_C,"Isethionic acid, 13C2",43155392,G2
