SampID,Cruise,Lat,Long,Local_Date,Local_Time,depth_m,station,Treatment
220902_Smp_TN397_S16_U_C,TN397,9.2497,-148.6967,11/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S17_U_A,TN397,11.92,-150.6948,12/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S17_U_B,TN397,11.92,-150.6948,12/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S17_U_C,TN397,11.92,-150.6948,12/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S18_U_A,TN397,14.772,-152.8644,13/12/2021,06:40:00,7,NA,NA
220902_Smp_TN397_S18_U_B,TN397,14.772,-152.8644,13/12/2022,06:40:00,7,NA,NA
220902_Smp_TN397_S18_U_C,TN397,14.772,-152.8644,13/12/2023,06:40:00,7,NA,NA
220628_Smp_MU1_A,KM1906,22.24,-158,4/10/19,05:30:00,7,NA,NA
220628_Smp_MU1_B,KM1906,22.24,-158,4/10/19,05:30:00,7,NA,NA
220628_Smp_MU1_C,KM1906,22.24,-158,4/10/19,05:30:00,7,NA,NA
220628_Smp_MU2_A,KM1906,24.1,-158,4/10/19,18:40:00,7,NA,NA
220628_Smp_MU2_B,KM1906,24.1,-158,4/10/19,18:40:00,7,NA,NA
220628_Smp_MU2_C,KM1906,24.1,-158,4/10/19,18:40:00,7,NA,NA
220628_Smp_MU3_A,KM1906,25.55,-158,4/11/19,05:45:00,7,NA,NA
220628_Smp_MU3_B,KM1906,25.55,-158,4/11/19,05:45:00,7,NA,NA
220628_Smp_MU3_C,KM1906,25.55,-158,4/11/19,05:45:00,7,NA,NA
220628_Smp_MU4_A,KM1906,27.47,-158,4/11/19,18:40:00,7,NA,NA
220628_Smp_MU4_B,KM1906,27.47,-158,4/11/19,18:40:00,7,NA,NA
220628_Smp_MU4_C,KM1906,27.47,-158,4/11/19,18:40:00,7,NA,NA
220628_Smp_MU5_A,KM1906,29.28,-158,4/12/19,05:40:00,7,NA,NA
220628_Smp_MU5_B,KM1906,29.28,-158,4/12/19,05:40:00,7,NA,NA
220628_Smp_MU5_C,KM1906,29.28,-158,4/12/19,05:40:00,7,NA,NA
220628_Smp_MU6_A,KM1906,31.1,-158,4/12/19,18:20:00,7,NA,NA
220628_Smp_MU6_B,KM1906,31.1,-158,4/12/19,18:20:00,7,NA,NA
220628_Smp_MU6_C,KM1906,31.1,-158,4/12/19,18:20:00,7,NA,NA
220628_Smp_MU7_A,KM1906,32.18,-158,4/13/19,05:45:00,7,NA,NA
220628_Smp_MU7_B,KM1906,32.18,-158,4/13/19,05:45:00,7,NA,NA
220628_Smp_MU7_C,KM1906,32.18,-158,4/13/19,05:45:00,7,NA,NA
220628_Smp_MU8_A,KM1906,34.16,-158,4/13/19,18:45:00,7,NA,NA
220628_Smp_MU8_B,KM1906,34.16,-158,4/13/19,18:45:00,7,NA,NA
220628_Smp_MU8_C,KM1906,34.16,-158,4/13/19,18:45:00,7,NA,NA
220628_Smp_MU9_A,KM1906,35.59,-158,4/14/19,06:00:00,7,NA,NA
220628_Smp_MU9_B,KM1906,35.59,-158,4/14/19,06:00:00,7,NA,NA
220628_Smp_MU9_C,KM1906,35.59,-158,4/14/19,06:00:00,7,NA,NA
220628_Smp_MU10_A,KM1906,36.57,-158,4/14/19,18:20:00,7,NA,NA
220628_Smp_MU10_B,KM1906,36.57,-158,4/14/19,18:20:00,7,NA,NA
220628_Smp_MU10_C,KM1906,36.57,-158,4/14/19,18:20:00,7,NA,NA
220628_Smp_MU11_A,KM1906,38.58,-158,4/15/19,05:30:00,7,NA,NA
220628_Smp_MU11_B,KM1906,38.58,-158,4/15/19,05:30:00,7,NA,NA
220628_Smp_MU11_C,KM1906,38.58,-158,4/15/19,05:30:00,7,NA,NA
220628_Smp_MU12_A,KM1906,37,-158,4/19/19,18:50:00,7,NA,NA
220628_Smp_MU12_B,KM1906,37,-158,4/19/19,18:50:00,7,NA,NA
220628_Smp_MU12_C,KM1906,37,-158,4/19/19,18:50:00,7,NA,NA
220628_Smp_MU13_A,KM1906,33,-158,4/21/19,18:15:00,7,NA,NA
220628_Smp_MU13_B,KM1906,33,-158,4/21/19,18:15:00,7,NA,NA
220628_Smp_MU13_C,KM1906,33,-158,4/21/19,18:15:00,7,NA,NA
220628_Smp_MU14_A,KM1906,37.38,-158,4/23/19,12:00:00,7,NA,NA
220628_Smp_MU14_B,KM1906,37.38,-158,4/23/19,12:00:00,7,NA,NA
220628_Smp_MU14_C,KM1906,37.38,-158,4/23/19,12:00:00,7,NA,NA
220628_Smp_MU15_A,KM1906,38.45,-158,4/23/19,18:25:00,7,NA,NA
220628_Smp_MU15_B,KM1906,38.45,-158,4/23/19,18:25:00,7,NA,NA
220628_Smp_MU15_C,KM1906,38.45,-158,4/23/19,18:25:00,7,NA,NA
220628_Smp_MU16_A,KM1906,40.53,-158,4/24/19,06:00:00,7,NA,NA
220628_Smp_MU16_B,KM1906,40.53,-158,4/24/19,06:00:00,7,NA,NA
220628_Smp_MU16_C,KM1906,40.53,-158,4/24/19,06:00:00,7,NA,NA
220628_Smp_MU17_A,KM1906,42.334,-158,4/24/19,14:20:00,7,NA,NA
220628_Smp_MU17_B,KM1906,42.334,-158,4/24/19,14:20:00,7,NA,NA
220628_Smp_MU17_C,KM1906,42.334,-158,4/24/19,14:20:00,7,NA,NA
220628_Smp_MU18_A,KM1906,42.09,-158,4/24/19,18:30:00,7,NA,NA
220628_Smp_MU18_B,KM1906,42.09,-158,4/24/19,18:30:00,7,NA,NA
220628_Smp_MU18_C,KM1906,42.09,-158,4/24/19,18:30:00,7,NA,NA
220628_Smp_MU19_A,KM1906,40.09,-158,4/25/19,05:40:00,7,NA,NA
220628_Smp_MU19_B,KM1906,40.09,-158,4/25/19,05:40:00,7,NA,NA
220628_Smp_MU19_C,KM1906,40.09,-158,4/25/19,05:40:00,7,NA,NA
220628_Smp_MU20_A,KM1906,37.48,-158,4/25/19,18:24:00,7,NA,NA
220628_Smp_MU20_B,KM1906,37.48,-158,4/25/19,18:24:00,7,NA,NA
220628_Smp_MU20_C,KM1906,37.48,-158,4/25/19,18:24:00,7,NA,NA
220628_Smp_MU21_A,KM1906,35.55,-158,4/26/19,06:00:00,7,NA,NA
220628_Smp_MU21_B,KM1906,35.55,-158,4/26/19,06:00:00,7,NA,NA
220628_Smp_MU21_C,KM1906,35.55,-158,4/26/19,06:00:00,7,NA,NA
220628_Smp_MU22_A,KM1906,34.39,-158,4/26/19,12:00:00,7,NA,NA
220628_Smp_MU22_B,KM1906,34.39,-158,4/26/19,12:00:00,7,NA,NA
220628_Smp_MU22_C,KM1906,34.39,-158,4/26/19,12:00:00,7,NA,NA
220628_Smp_MU23_A,KM1906,33.34,-158,4/26/19,18:30:00,7,NA,NA
220628_Smp_MU23_B,KM1906,33.34,-158,4/26/19,18:30:00,7,NA,NA
220628_Smp_MU23_C,KM1906,33.34,-158,4/26/19,18:30:00,7,NA,NA
220628_Smp_MU24_A,KM1906,31.24,-158,4/27/19,06:00:00,7,NA,NA
220628_Smp_MU24_B,KM1906,31.24,-158,4/27/19,06:00:00,7,NA,NA
220628_Smp_MU24_C,KM1906,31.24,-158,4/27/19,06:00:00,7,NA,NA
