parent_id,sample_id,Local_Date,Local_Time
S3_C1_D2,S3_C1_D2_C,6/5/22,9:00
S3_C2_D3,S3_C2_D3_A,6/5/22,11:00
S3_C2_D3,S3_C2_D3_B,6/5/22,11:00
S3_C2_D3,S3_C2_D3_C,6/5/22,11:00
S3_C2_D4,S3_C2_D4_A,6/5/22,11:00
S3_C2_D4,S3_C2_D4_B,6/5/22,11:00
S3_C2_D4,S3_C2_D4_C,6/5/22,11:00
S4_C1_D1,S4_C1_D1_A,6/6/22,16:00
S4_C1_D1,S4_C1_D1_B,6/6/22,16:00
S4_C1_D1,S4_C1_D1_C,6/6/22,16:00
S4_C1_D2,S4_C1_D2_A,6/6/22,16:00
S4_C1_D2,S4_C1_D2_B,6/6/22,16:00
S4_C1_D2,S4_C1_D2_C,6/6/22,16:00
S4_C2_D3,S4_C2_D3_A,6/6/22,16:00
S4_C2_D3,S4_C2_D3_B,6/6/22,16:00
S4_C2_D3,S4_C2_D3_C,6/6/22,16:00
S4_C2_D4,S4_C2_D4_A,6/6/22,16:00
S4_C2_D4,S4_C2_D4_B,6/6/22,16:00
S4_C2_D4,S4_C2_D4_C,6/6/22,16:00
S4_C1_D1,S4_C1_D1_Blk,,
S4_C1_D2,S4_C1_D2_Blk,,
S4_C2_D3,S4_C2_D3_Blk,,
S4_C2_D4,S4_C2_D4_Blk,,
S5_C3_D3,S5_C3_D3_A,6/7/22,10:00
S5_C3_D3,S5_C3_D3_B,6/7/22,10:00
S5_C3_D3,S5_C3_D3_C,6/7/22,10:00
S5_C3_D2,S5_C3_D2_A,6/7/22,10:00
S5_C3_D2,S5_C3_D2_B,6/7/22,10:00
S5_C3_D2,S5_C3_D2_C,6/7/22,10:00
S5_C3_D1,S5_C3_D1_A,6/7/22,10:00
S5_C3_D1,S5_C3_D1_B,6/7/22,10:00
S5_C3_D1,S5_C3_D1_C,6/7/22,10:00
S6_C1_D1,S6_C1_D1_A,6/7/22,17:30
S6_C1_D1,S6_C1_D1_B,6/7/22,17:30
S6_C1_D1,S6_C1_D1_C,6/7/22,17:30
S6_C1_D2,S6_C1_D2_A,6/7/22,17:30
S6_C1_D2,S6_C1_D2_B,6/7/22,17:30
S6_C1_D2,S6_C1_D2_C,6/7/22,17:30
S6_C2_D3,S6_C2_D3_A,6/7/22,19:00
S6_C2_D3,S6_C2_D3_B,6/7/22,19:00
