Part.SampID,Diss.SampID,Cruise,Region,Lat,Long,depth_m,station,Treatment,sst,sss,poc,pn
220628_Smp_MU22_B,NA,KM1906,NPSG,34.39,-158,7,NA,NA,15.094179166666668,34.1763075,NA,NA
220628_Smp_MU22_C,NA,KM1906,NPSG,34.39,-158,7,NA,NA,15.094179166666668,34.1763075,NA,NA
220628_Smp_MU23_A,NA,KM1906,NPSG,33.34,-158,7,NA,NA,17.005975700400228,34.542236706689536,NA,NA
220628_Smp_MU23_B,NA,KM1906,NPSG,33.34,-158,7,NA,NA,17.005975700400228,34.542236706689536,NA,NA
220628_Smp_MU23_C,NA,KM1906,NPSG,33.34,-158,7,NA,NA,17.005975700400228,34.542236706689536,NA,NA
220628_Smp_MU24_A,NA,KM1906,NPSG,31.24,-158,7,NA,NA,18.385036419238254,34.70488323603003,NA,NA
220628_Smp_MU24_B,NA,KM1906,NPSG,31.24,-158,7,NA,NA,18.385036419238254,34.70488323603003,NA,NA
220628_Smp_MU24_C,NA,KM1906,NPSG,31.24,-158,7,NA,NA,18.385036419238254,34.70488323603003,NA,NA
220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,TN397,NPSG,28.32288,-124.13627,7,NA,NA,19.653716555555555,33.453830833333335,1.2024732609467603,0.2050536367020175
220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,TN397,NPSG,28.32288,-124.13627,7,NA,NA,19.653716555555555,33.453830833333335,1.2024732609467603,0.2050536367020175
220902_Smp_TN397_S1_U_C,220602_Smp_TN397_S1_U_C,TN397,NPSG,28.32288,-124.13627,7,NA,NA,19.653716555555555,33.453830833333335,1.2024732609467603,0.2050536367020175
220902_Smp_TN397_S2_U_A,220602_Smp_TN397_S2_U_A,TN397,NPSG,27.0673,-126.6739,7,NA,NA,20.515452944444444,33.854922944444446,1.2262864054732383,0.1841865711547452
220902_Smp_TN397_S2_U_B,220602_Smp_TN397_S2_U_B,TN397,NPSG,27.0673,-126.6739,7,NA,NA,20.515452944444444,33.854922944444446,1.2262864054732383,0.1841865711547452
220902_Smp_TN397_S2_U_C,220602_Smp_TN397_S2_U_C,TN397,NPSG,27.0673,-126.6739,7,NA,NA,20.515452944444444,33.854922944444446,1.2262864054732383,0.1841865711547452
220902_Smp_TN397_S3_U_A,220602_Smp_TN397_S3_U_A,TN397,NPSG,21,-135,7,NA,NA,23.6995645,34.88767061111111,1.3772827596613069,0.23948307612485495
220902_Smp_TN397_S3_U_B,220602_Smp_TN397_S3_U_B,TN397,NPSG,21,-135,7,NA,NA,23.6995645,34.88767061111111,1.3772827596613069,0.23948307612485495
220902_Smp_TN397_S3_U_C,220602_Smp_TN397_S3_U_C,TN397,NPSG,21,-135,7,NA,NA,23.6995645,34.88767061111111,1.3772827596613069,0.23948307612485495
220902_Smp_TN397_S4_2400_U_A,220602_Smp_TN397_S4_2400_U_A,TN397,NPSG,19.639,-138.6135,7,NA,NA,23.766552527777776,35.07553188888889,1.6369038793616362,0.247631764341424
220902_Smp_TN397_S4_2400_U_B,220602_Smp_TN397_S4_2400_U_B,TN397,NPSG,19.639,-138.6135,7,NA,NA,23.766552527777776,35.07553188888889,1.6369038793616362,0.247631764341424
220902_Smp_TN397_S4_2400_U_C,220602_Smp_TN397_S4_2400_U_C,TN397,NPSG,19.639,-138.6135,7,NA,NA,23.766552527777776,35.07553188888889,1.6369038793616362,0.247631764341424
220902_Smp_TN397_S4_U_600_A,220602_Smp_TN397_S4_U_600_A,TN397,NPSG,19.6377,-138.6154,7,NA,NA,23.834037805555557,35.05780163888889,1.5130693105268762,0.24518873535664276
220902_Smp_TN397_S4_U_600_B,220602_Smp_TN397_S4_U_600_B,TN397,NPSG,19.6377,-138.6154,7,NA,NA,23.834037805555557,35.05780163888889,1.5130693105268762,0.24518873535664276
220902_Smp_TN397_S4_U_600_C,220602_Smp_TN397_S4_U_600_C,TN397,NPSG,19.6377,-138.6154,7,NA,NA,23.834037805555557,35.05780163888889,1.5130693105268762,0.24518873535664276
220902_Smp_TN397_S4_U_1800_A,220602_Smp_TN397_S4_U_1800_A,TN397,NPSG,19.69,-138.58,7,NA,NA,23.804163,35.07203669444444,1.6140039857488468,0.24859961432903332
220902_Smp_TN397_S4_U_1800_B,220602_Smp_TN397_S4_U_1800_B,TN397,NPSG,19.69,-138.58,7,NA,NA,23.804163,35.07203669444444,1.6140039857488468,0.24859961432903332
220902_Smp_TN397_S4_U_1800_C,220602_Smp_TN397_S4_U_1800_C,TN397,NPSG,19.69,-138.58,7,NA,NA,23.804163,35.07203669444444,1.6140039857488468,0.24859961432903332
220902_Smp_TN397_S6_U_A,220602_Smp_TN397_S6_U_A,TN397,NPSG,13.9487,-140.0016,7,NA,NA,26.400018888888887,33.73397627777778,1.9529965391719737,0.3377078633663451
