compound.name.figure,Leg,lat_bin,mean_lat,mean_part_conc,sd_part_conc
Arsenobetaine,Leg_2,"[-2,-1)",-1.06,0.0015002011267813867,4.618268239382172e-5
Arsenobetaine,Leg_2,"[0,1)",0.23776,0.00185517475474301,4.4160606542165734e-4
Arsenobetaine,Leg_2,"[1,2)",1.1248,0.0015284925238858466,1.325733891107087e-4
Arsenobetaine,Leg_2,"[3,4)",3.015,0.0017462727903946433,1.3341633846530706e-5
Arsenobetaine,Leg_2,"[4,5)",4.760149999999999,0.001734991495244525,1.3458144425950016e-4
Arsenobetaine,Leg_2,"[6,7)",6.7602,0.0013954536588398833,1.659211283202449e-4
Arsenobetaine,Leg_2,"[8,9)",8.388,0.0013886337685491367,2.6932745167813283e-5
Arsenobetaine,Leg_2,"[10,11)",10.69765,0.0010933051715700652,7.011110525944869e-5
Arsenobetaine,Leg_2,"[12,13)",12.389,0.0010507009823828117,8.373971733423093e-5
Arsenobetaine,Leg_2,"[13,14)",13.9487,0.0012437797096582733,1.1626047458947125e-4
Asparagine,Leg_2,"[-3,-2)",-2.409,0.0689334704149969,0.01695346195199267
Asparagine,Leg_2,"[-2,-1)",-1.06,0.07922680046487553,0.014116050222113654
Asparagine,Leg_2,"[0,1)",0.23776,0.05467484287100563,0.016888325209892988
Asparagine,Leg_2,"[1,2)",1.1248,0.06681464754136272,0.00755065459297532
Asparagine,Leg_2,"[3,4)",3.015,0.07101934563328142,0.01659587295989263
Asparagine,Leg_2,"[4,5)",4.760149999999999,0.07970655480657557,0.011597467294374266
Asparagine,Leg_2,"[6,7)",6.7602,0.0433849388704453,0.00741523562330095
Asparagine,Leg_2,"[8,9)",8.388,0.03098724689358665,3.0761370738133627e-4
Asparagine,Leg_2,"[10,11)",10.69765,0.028533149475237114,0.004155859352860781
Asparagine,Leg_2,"[12,13)",12.389,0.027743012920345412,0.006442864086530163
Asparagine,Leg_2,"[13,14)",13.9487,0.034496385843233224,0.004307128302410623
Aspartic acid,Leg_2,"[-3,-2)",-2.409,0.2629709098605722,0.048227456599593446
Aspartic acid,Leg_2,"[-2,-1)",-1.06,0.4599892190806263,0.09891519469269491
Aspartic acid,Leg_2,"[0,1)",0.23776,0.27143422193372396,0.06245854558096934
Aspartic acid,Leg_2,"[1,2)",1.1248,0.2785358509151175,0.02974189304786708
Aspartic acid,Leg_2,"[3,4)",3.015,0.32698943075802206,0.04781734905085189
Aspartic acid,Leg_2,"[4,5)",4.760149999999999,0.35485436002895393,0.08858943031007112
Aspartic acid,Leg_2,"[6,7)",6.7602,0.2915942855800907,0.06111444533259926
Aspartic acid,Leg_2,"[8,9)",8.388,0.22399055912027888,0.02743897562157501
Aspartic acid,Leg_2,"[10,11)",10.69765,0.24284106339665112,0.045727954392033955
Aspartic acid,Leg_2,"[12,13)",12.389,0.2129345058327103,0.03677054318401584
Aspartic acid,Leg_2,"[13,14)",13.9487,0.28401525370398883,0.04458734387908197
Betonicine,Leg_2,"[-3,-2)",-2.409,0.011010715641809405,0.0017242237961126539
Betonicine,Leg_2,"[-2,-1)",-1.06,0.017751708030707823,0.003978747266752018
Betonicine,Leg_2,"[0,1)",0.23776,0.00812785663820993,7.723822070080706e-4
Betonicine,Leg_2,"[1,2)",1.1248,0.009931691076938594,0.002183379003784631
Betonicine,Leg_2,"[3,4)",3.015,0.013608739865690604,0.0012906647254171382
Betonicine,Leg_2,"[4,5)",4.760149999999999,0.015131599371083984,0.0020788330549962757
Betonicine,Leg_2,"[6,7)",6.7602,0.01252527121245952,0.0015684748345655961
Betonicine,Leg_2,"[8,9)",8.388,0.00797162849782392,0.0015031384190908968
Betonicine,Leg_2,"[10,11)",10.69765,0.009321798440441169,0.0011860731903509817
Betonicine,Leg_2,"[12,13)",12.389,0.01383805442457172,0.003019044766108266
Betonicine,Leg_2,"[13,14)",13.9487,0.01438704129512672,0.001192034760025168
Carnitine,Leg_2,"[-3,-2)",-2.409,0.011659315051192439,0.0022864861291176006
Carnitine,Leg_2,"[-2,-1)",-1.06,0.01774125969418426,0.0047743883226833836
Carnitine,Leg_2,"[0,1)",0.23776,0.011806398382751779,0.0018047610505698536
Carnitine,Leg_2,"[1,2)",1.1248,0.011022383893496617,8.316335439333344e-4
Carnitine,Leg_2,"[3,4)",3.015,0.01604705549192521,2.2375899672796103e-4
